,0
0,https://lnb.com.br/noticias/2-x-1-cap/
1,https://lnb.com.br/noticias/paulistano-campeao/
2,https://lnb.com.br/partidas/nbb-20162017-paulistano-x-vitoria-14052017-1100/
3,https://lnb.com.br/partidas/nbb-20162017-bauru-x-pinheiros-15052017-1930/
4,https://lnb.com.br/partidas/nbb-20162017-pinheiros-x-bauru-20052017-1400/
5,https://lnb.com.br/partidas/nbb-20162017-bauru-x-pinheiros-23052017-1930/
6,https://lnb.com.br/partidas/nbb-20162017-paulistano-x-bauru-27052017-1400/
7,https://lnb.com.br/partidas/nbb-20162017-bauru-x-paulistano-02062017-1930/
8,https://lnb.com.br/partidas/nbb-20162017-paulistano-x-bauru-10062017-1400/
9,https://lnb.com.br/partidas/nbb-20162017-bauru-x-paulistano-17062017-1430/
