Quarto,Tempo,Time,placar_casa,placar_visitante,Indicador,Nomes
4,00:00,NaN,87,63,fim_partida,
4,00:00,NaN,87,63,fim_quarto, 
4,00:28,SPF,87,63,AS,Danilo
4,00:28,SPF,87,63,2_Pts_C,Murilo
4,00:33,SPF,85,63,BR,Danilo
4,00:33,APB,85,63,ER,Paulo
4,00:45,SPF,85,63,AS,Cassiano
4,00:45,SPF,85,63,2_Pts_C,Danilo
4,00:47,SPF,83,63,RD,Cassiano
4,00:50,APB,83,63,2_Pts_T,Paulo
4,00:55,APB,83,63,substituicao_entra,Aquiles
4,00:55,APB,83,63,substituicao_sai,Phillips
4,00:55,SPF,83,63,substituicao_entra,Cassiano
4,00:55,SPF,83,63,substituicao_sai,De Paula
4,00:55,SPF,83,63,ER,Igor
4,00:55,SPF,83,63,RD,De Paula
4,00:57,APB,83,63,2_Pts_T,Phillips
4,00:59,APB,83,63,RD,Paulo
4,01:03,SPF,83,63,3_Pts_T,De Paula
4,01:14,SPF,83,63,BR,Igor
4,01:14,APB,83,63,ER,Phillips
4,01:19,APB,83,63,LL_Pts_C,Phillips
4,01:19,SPF,83,62,FC_T,Técnico do São Paulo
4,01:19,APB,83,62,substituicao_entra,Augusto
4,01:19,APB,83,62,substituicao_entra,Paulo
4,01:19,APB,83,62,substituicao_sai,Gegê
4,01:19,APB,83,62,substituicao_sai,Funches III
4,01:19,SPF,83,62,substituicao_entra,Mamedes
4,01:19,SPF,83,62,substituicao_sai,Shamell
4,01:19,SPF,83,62,AS,De Paula
4,01:19,SPF,83,62,3_Pts_C,Danilo
4,01:22,SPF,80,62,RD,Murilo
4,01:26,APB,80,62,2_Pts_T,Phillips
4,01:39,SPF,80,62,AS,De Paula
4,01:39,SPF,80,62,3_Pts_C,Danilo
4,01:49,APB,77,62,AS,Funches III
4,01:49,APB,77,62,3_Pts_C,Thornton
4,02:00,SPF,77,59,substituicao_entra,Murilo
4,02:00,SPF,77,59,substituicao_entra,Igor
4,02:00,SPF,77,59,substituicao_sai,Kurtz
4,02:00,SPF,77,59,substituicao_sai,Jefferson
4,02:01,APB,77,59,RD,Pato Basquete
4,02:03,SPF,77,59,2_Pts_T,De Paula
4,02:15,SPF,77,59,RD,Jefferson
4,02:15,APB,77,59,LL_Pts_T,Phillips
4,02:15,APB,77,59,LL_Pts_T,Phillips
4,02:15,APB,77,59,LL_Pts_C,Phillips
4,02:15,SPF,77,58,FC_T,Kurtz
4,02:15,APB,77,58,FR,Phillips
4,02:15,SPF,77,58,FC,Kurtz
4,02:30,SPF,77,58,2_Pts_C,Shamell
4,02:44,SPF,75,58,substituicao_entra,Danilo
4,02:44,SPF,75,58,substituicao_sai,Léo Meindl
4,02:44,SPF,75,58,RD,São Paulo
4,02:46,APB,75,58,3_Pts_T,Gegê
4,02:59,SPF,75,58,AS,Léo Meindl
4,02:59,SPF,75,58,2_Pts_C,Kurtz
4,03:05,SPF,73,58,RD,Kurtz
4,03:08,APB,73,58,3_Pts_T,Phillips
4,03:33,APB,73,58,substituicao_entra,Paulo
4,03:33,APB,73,58,substituicao_sai,Leandro
4,03:33,APB,73,58,tempo_tecnico,Pato Basquete
4,03:34,SPF,73,58,AS,Jefferson
4,03:34,SPF,73,58,3_Pts_C,Shamell
4,03:39,SPF,70,58,RO,De Paula
4,03:42,SPF,70,58,2_Pts_T,Kurtz
4,04:07,SPF,70,58,FR,De Paula
4,04:07,APB,70,58,ER,Funches III
4,04:07,APB,70,58,FC_O,Funches III
4,04:19,SPF,70,58,LL_Pts_C,Kurtz
4,04:19,SPF,69,58,LL_Pts_C,Kurtz
4,04:20,SPF,68,58,FR,Kurtz
4,04:20,APB,68,58,FC,Leandro
4,04:34,APB,68,58,AS,Leandro
4,04:34,APB,68,58,EN,Funches III
4,04:38,APB,68,56,RD,Funches III
4,04:44,SPF,68,56,2_Pts_T,Shamell
4,04:52,SPF,68,56,LL_Pts_C,De Paula
4,04:52,SPF,67,56,LL_Pts_C,De Paula
4,04:52,SPF,66,56,FR,De Paula
4,04:52,APB,66,56,FC_A,Phillips
4,05:05,APB,66,56,AS,Leandro
4,05:05,APB,66,56,2_Pts_C,Gegê
