Quarto,Tempo,Time,placar_casa,placar_visitante,Indicador,Nomes
4,00:00,NaN,72,85,fim_partida,
4,00:00,NaN,72,85,fim_quarto, 
4,00:01,FRA,72,85,AS,Elinho
4,00:01,FRA,72,85,2_Pts_C,Jimmy
4,00:07,FRA,72,83,RD,Elinho
4,00:07,CAP,72,83,2_Pts_T,Yago
4,00:13,FRA,72,83,LL_Pts_C,Schattmann
4,00:13,FRA,72,82,LL_Pts_C,Schattmann
4,00:13,FRA,72,81,FR,Schattmann
4,00:13,CAP,72,81,FC,Yago
4,00:17,CAP,72,81,3_Pts_C,Yago
4,00:21,CAP,69,81,RD,Yago
4,00:24,FRA,69,81,2_Pts_T,Guilherme
4,00:48,CAP,69,81,AS,Ruivo
4,00:48,CAP,69,81,3_Pts_C,Maique
4,00:50,CAP,66,81,tempo_tecnico,Paulistano
4,00:50,FRA,66,81,substituicao_entra,Jimmy
4,00:50,FRA,66,81,substituicao_sai,David Jackson
4,00:50,FRA,66,81,LL_Pts_C,David Jackson
4,00:50,FRA,66,80,substituicao_entra,Guilherme
4,00:50,FRA,66,80,substituicao_sai,Hettsheimeir
4,00:50,CAP,66,80,substituicao_entra,Eddy
4,00:50,CAP,66,80,substituicao_sai,D  Coleman
4,00:50,FRA,66,80,FR,David Jackson
4,00:50,CAP,66,80,FC,D  Coleman
4,00:50,FRA,66,80,AS,Lucas Dias
4,00:50,FRA,66,80,2_Pts_C,David Jackson
4,00:53,CAP,66,78,2_Pts_C,Yago
4,00:57,CAP,64,78,FR,Yago
4,00:57,FRA,64,78,FC,Lucas Dias
4,00:59,CAP,64,78,RD,Yago
4,01:03,FRA,64,78,2_Pts_T,Lucas Dias
4,01:23,CAP,64,78,ER,Dikembe
4,01:29,CAP,64,78,BR,Yago
4,01:29,FRA,64,78,ER,Elinho
4,01:31,FRA,64,78,RD,Elinho
4,01:33,CAP,64,78,3_Pts_T,Ruivo
4,01:37,CAP,64,78,tempo_tecnico,Paulistano
4,01:37,FRA,64,78,LL_Pts_C,Elinho
4,01:37,FRA,64,77,LL_Pts_C,Elinho
4,01:37,CAP,64,76,substituicao_entra,Dikembe
4,01:37,CAP,64,76,substituicao_entra,D  Coleman
4,01:37,CAP,64,76,substituicao_sai,Eddy
4,01:37,CAP,64,76,substituicao_sai,Victão
4,01:37,FRA,64,76,FR,Elinho
4,01:37,CAP,64,76,FC,Yago
4,01:39,FRA,64,76,RO,Elinho
4,01:42,FRA,64,76,3_Pts_T,Hettsheimeir
4,02:03,FRA,64,76,RD,Schattmann
4,02:06,CAP,64,76,3_Pts_T,Victão
4,02:21,FRA,64,76,LL_Pts_C,David Jackson
4,02:21,FRA,64,75,LL_Pts_C,David Jackson
4,02:21,FRA,64,74,FR,David Jackson
4,02:21,CAP,64,74,FC,Eddy
