Quarto,Tempo,Time,placar_casa,placar_visitante,Indicador,Nomes
4,00:00,NaN,97,89,fim_partida,
4,00:00,NaN,97,89,fim_quarto, 
4,00:04,SJO,97,89,LL_Pts_C,Duda
4,00:04,SJO,96,89,LL_Pts_C,Duda
4,00:04,SJO,95,89,FR,Duda
4,00:04,MOG,95,89,FC,Fúlvio
4,00:10,MOG,95,89,2_Pts_C,Alexey
4,00:12,SJO,95,87,LL_Pts_C,Duda
4,00:12,SJO,94,87,LL_Pts_C,Duda
4,00:12,SJO,93,87,FR,Duda
4,00:12,MOG,93,87,FC,André Goes
4,00:12,SJO,93,87,RD,Duda
4,00:12,MOG,93,87,3_Pts_T,André Goes
4,00:13,SJO,93,87,AS,Figueredo
4,00:13,SJO,93,87,2_Pts_C,Rafael
4,00:13,SJO,91,87,FR,L  Eltink
4,00:13,MOG,91,87,FC,Fúlvio
4,00:14,MOG,91,87,substituicao_entra,Fúlvio
4,00:14,MOG,91,87,substituicao_sai,Alex
4,00:14,SJO,91,87,FR,L  Eltink
4,00:14,MOG,91,87,FC,André Goes
4,00:16,SJO,91,87,FR,L  Eltink
4,00:16,MOG,91,87,FC,Alexey
4,00:20,MOG,91,87,2_Pts_C,Fuzaro
4,00:34,SJO,91,85,AS,Figueredo
4,00:34,SJO,91,85,3_Pts_C,Duda
4,00:56,MOG,88,85,substituicao_entra,Lessa
4,00:56,MOG,88,85,substituicao_sai,Paranhos
4,00:56,SJO,88,85,substituicao_entra,L  Eltink
4,00:56,SJO,88,85,substituicao_sai,Lupa
4,00:56,MOG,88,85,AS,Alexey
4,00:56,MOG,88,85,EN,Paranhos
4,01:10,SJO,88,83,AS,Figueredo
4,01:10,SJO,88,83,2_Pts_C,Lupa
4,01:30,SJO,86,83,substituicao_entra,Duda
4,01:30,SJO,86,83,substituicao_sai,L  Eltink
4,01:30,SJO,86,83,RD,São José
4,01:31,MOG,86,83,2_Pts_T,Fuzaro
4,01:42,MOG,86,83,BR,Alex
4,01:42,SJO,86,83,ER,Rafael
4,01:52,MOG,86,83,2_Pts_C,Paranhos
4,01:52,MOG,86,81,RO,Paranhos
4,02:03,SJO,86,81,TO,L  Eltink
4,02:03,MOG,86,81,2_Pts_T,Paranhos
4,02:13,MOG,86,81,tempo_tecnico,Mogi
4,02:14,SJO,86,81,2_Pts_C,Figueredo
4,02:28,MOG,84,81,LL_Pts_C,Fuzaro
4,02:28,MOG,84,80,LL_Pts_T,Fuzaro
4,02:28,SJO,84,80,substituicao_entra,L  Eltink
4,02:28,SJO,84,80,substituicao_sai,Duda
4,02:28,MOG,84,80,FR,Fuzaro
4,02:28,SJO,84,80,FC,Duda
4,02:34,MOG,84,80,BR,Alex
4,02:34,SJO,84,80,ER,Morillo
4,02:35,SJO,84,80,RD,Morillo
4,02:40,MOG,84,80,3_Pts_T,Alex
4,02:52,MOG,84,80,RD,Alex
4,02:57,SJO,84,80,2_Pts_T,Morillo
4,03:20,MOG,84,80,AS,André Goes
4,03:20,MOG,84,80,3_Pts_C,Fuzaro
4,03:22,MOG,84,77,RO,André Goes
4,03:26,MOG,84,77,3_Pts_T,André Goes
4,03:38,SJO,84,77,LL_Pts_C,Morillo
4,03:38,SJO,83,77,LL_Pts_T,Morillo
4,03:38,SJO,83,77,FR,Morillo
4,03:38,MOG,83,77,FC,André Goes
4,04:04,SJO,83,77,tempo_tecnico,São José
