Quarto,Tempo,Time,placar_casa,placar_visitante,Indicador,Nomes
4,00:00,NaN,71,86,fim_partida,
4,00:00,NaN,71,86,fim_quarto, 
4,00:27,FLA,71,86,,
4,00:27,FLA,71,86,RD,Pedro Nunes
4,00:31,APB,71,86,2_Pts_T,Paulo
4,00:37,APB,71,86,RD,Paulo
4,00:40,FLA,71,86,3_Pts_T,Pedro Nunes
4,01:05,FLA,71,86,RD,Maciel
4,01:05,APB,71,86,LL_Pts_T,Aquiles
4,01:05,APB,71,86,FR,Aquiles
4,01:05,FLA,71,86,FC,Maciel
4,01:05,APB,71,86,AS,Augusto
4,01:05,APB,71,86,2_Pts_C,Aquiles
4,01:09,FLA,69,86,substituicao_entra,Pedro Nunes
4,01:09,FLA,69,86,substituicao_sai,Jhonatan
4,01:09,APB,69,86,FR,Augusto
4,01:09,FLA,69,86,FC,Jhonatan
4,01:09,APB,69,86,RO,Pato Basquete
4,01:09,APB,69,86,3_Pts_T,Thornton
4,01:18,APB,69,86,RO,Paulo
4,01:21,APB,69,86,2_Pts_T,Thornton
4,01:38,FLA,69,86,substituicao_entra,Maciel
4,01:38,FLA,69,86,substituicao_sai,Léo Demétrio
4,01:38,APB,69,86,FR,Paulo
4,01:38,FLA,69,86,FC,Deryk
4,01:38,APB,69,86,RD,Paulo
4,01:40,FLA,69,86,2_Pts_T,Deryk
4,02:06,APB,69,86,AS,Augusto
4,02:06,APB,69,86,2_Pts_C,Paulo
4,02:18,FLA,67,86,substituicao_entra,Zach Graham
4,02:18,FLA,67,86,substituicao_sai,Marquinhos
4,02:18,FLA,67,86,LL_Pts_C,Marquinhos
4,02:18,FLA,67,85,LL_Pts_C,Marquinhos
4,02:18,FLA,67,84,substituicao_entra,Barrera
4,02:18,FLA,67,84,substituicao_sai,Balbi
4,02:18,APB,67,84,substituicao_entra,Augusto
4,02:18,APB,67,84,substituicao_sai,Gegê
4,02:18,APB,67,84,substituicao_entra,Paulo
4,02:18,APB,67,84,substituicao_entra,Aquiles
4,02:18,APB,67,84,substituicao_sai,Gustavo
4,02:18,APB,67,84,substituicao_sai,Funches III
4,02:18,FLA,67,84,FR,Marquinhos
4,02:18,APB,67,84,FC,Funches III
4,02:24,FLA,67,84,tempo_tecnico,Flamengo
4,02:24,FLA,67,84,FR,Marquinhos
4,02:24,APB,67,84,FC,Gegê
4,02:44,APB,67,84,AS,Gustavo
4,02:44,APB,67,84,2_Pts_C,Thornton
4,02:51,APB,65,84,RO,Paulo
4,02:55,APB,65,84,2_Pts_T,Thornton
4,03:11,FLA,65,84,AS,Jhonatan
4,03:11,FLA,65,84,2_Pts_C,Léo Demétrio
4,03:23,APB,65,82,ER,Gustavo
4,03:30,FLA,65,82,AS,Jhonatan
4,03:30,FLA,65,82,3_Pts_C,Deryk
4,03:56,APB,65,79,LL_Pts_C,Gustavo
4,03:56,APB,64,79,LL_Pts_C,Gustavo
4,03:56,APB,63,79,substituicao_entra,Paulo
4,03:56,APB,63,79,substituicao_sai,Augusto
4,03:56,APB,63,79,FR,Gustavo
4,03:56,FLA,63,79,FC,Balbi
4,04:08,FLA,63,79,2_Pts_C,Jhonatan
4,04:30,APB,63,77,AS,Funches III
4,04:30,APB,63,77,3_Pts_C,Thornton
4,04:50,FLA,60,77,AS,Jhonatan
4,04:50,FLA,60,77,2_Pts_C,Léo Demétrio
4,05:02,FLA,60,75,FR,Deryk
4,05:02,APB,60,75,FC,Gegê
