,Temporada,time,adversário,casa/fora,Jogador,Min,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN
0,14,Bauru,Flamengo,1,Robert Day,26.1,23,33,6,9,2,2,1,2,2,1,3,1,1,0,5.0,2.0,0,0
1,14,Bauru,Flamengo,1,Fischer,36.2,14,32,1,2,3,10,5,6,5,0,5,2,1,0,4.0,8.0,3,0
2,14,Bauru,Flamengo,1,Larry,26.3,11,27,0,3,3,6,5,6,3,4,7,6,2,0,1.0,3.0,2,0
3,14,Bauru,Flamengo,1,Hettsheimeir,35.8,10,23,1,3,3,6,1,2,4,2,6,1,0,1,1.0,3.0,0,0
4,14,Bauru,Flamengo,1,Alex,39.1,7,40,1,8,2,8,0,0,4,4,8,2,1,3,4.0,0.0,2,0
5,14,Bauru,Flamengo,1,Murilo,23.8,2,20,0,2,1,6,0,2,3,1,4,0,0,1,4.0,4.0,1,0
6,14,Bauru,Flamengo,1,Deodato,7.3,0,6,0,2,0,0,0,0,2,0,2,0,1,0,2.0,0.0,1,0
7,14,Bauru,Flamengo,1,Gabriel,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
8,14,Bauru,Flamengo,1,L. Eltink,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
9,14,Bauru,Flamengo,1,Mathias,5.4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1.0,0.0,0,0
10,14,Bauru,Flamengo,1,Wesley,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
11,14,Bauru,Flamengo,1,Vieira,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
12,14,Bauru,Flamengo,1,Equipe,0.0,67,181,9,29,14,38,12,18,30,12,42,12,7,5,22.0,20.0,9,0
0,14,Flamengo,Bauru,2,Laprovittola,33.9,19,43,2,7,2,6,9,10,6,1,7,4,1,0,3.0,6.0,2,0
1,14,Flamengo,Bauru,2,Olivinha,34.8,17,33,3,7,3,4,2,4,6,2,8,1,1,0,1.0,4.0,1,0
2,14,Flamengo,Bauru,2,Benite,24.9,15,22,1,2,5,7,2,2,5,1,6,1,0,0,3.0,3.0,1,0
3,14,Flamengo,Bauru,2,Meyinsse,25.1,8,19,0,0,4,9,0,1,7,1,8,2,1,2,4.0,1.0,1,2
4,14,Flamengo,Bauru,2,Marcelinho,19.5,8,13,2,3,1,2,0,0,2,0,2,2,1,0,2.0,1.0,0,0
5,14,Flamengo,Bauru,2,Marquinhos,34.3,6,31,0,7,1,3,4,4,3,0,3,2,0,0,1.0,4.0,2,0
6,14,Flamengo,Bauru,2,Felicio,16.1,3,10,0,0,1,3,1,4,4,1,5,0,0,0,2.0,3.0,0,0
7,14,Flamengo,Bauru,2,Herrmann,5.2,1,5,0,1,0,0,1,2,1,0,1,0,0,0,2.0,0.0,0,0
8,14,Flamengo,Bauru,2,Mingau,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
9,14,Flamengo,Bauru,2,Danielzinho,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
10,14,Flamengo,Bauru,2,Gegê,6.3,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2.0,0.0,1,0
11,14,Flamengo,Bauru,2,Gigante,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
12,14,Flamengo,Bauru,2,Equipe,0.0,77,176,8,27,17,34,19,27,34,8,42,14,7,2,20.0,22.0,8,2
0,14,Flamengo,Bauru,1,Benite,36.3,16,36,2,6,5,9,0,0,5,0,5,2,0,1,3.0,2.0,3,0
1,14,Flamengo,Bauru,1,Laprovittola,26.3,15,30,1,4,6,9,0,0,5,0,5,7,2,0,2.0,0.0,0,0
2,14,Flamengo,Bauru,1,Olivinha,20.0,15,28,1,5,5,5,2,3,7,0,7,1,1,0,2.0,2.0,1,0
3,14,Flamengo,Bauru,1,Marquinhos,22.2,15,23,1,3,3,4,6,6,4,2,6,3,4,0,2.0,6.0,0,0
4,14,Flamengo,Bauru,1,Marcelinho,21.3,11,16,3,4,1,2,0,0,2,0,2,2,1,0,3.0,3.0,0,0
5,14,Flamengo,Bauru,1,Meyinsse,25.1,8,14,0,0,3,6,2,2,3,2,5,1,0,3,3.0,1.0,1,1
6,14,Flamengo,Bauru,1,Herrmann,20.0,7,24,1,6,2,3,0,0,1,0,1,2,0,0,1.0,0.0,1,0
7,14,Flamengo,Bauru,1,Gegê,13.7,2,8,0,2,1,1,0,0,1,0,1,4,1,0,1.0,0.0,0,0
8,14,Flamengo,Bauru,1,Felicio,14.6,2,2,0,0,1,1,0,0,5,3,8,1,0,1,2.0,0.0,4,0
9,14,Flamengo,Bauru,1,Gigante,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
10,14,Flamengo,Bauru,1,Mingau,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
11,14,Flamengo,Bauru,1,Danielzinho,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
12,14,Flamengo,Bauru,1,Equipe,0.0,91,181,9,30,27,40,10,11,34,9,43,23,9,5,20.0,14.0,10,1
0,14,Bauru,Flamengo,2,Fischer,38.6,20,34,1,4,5,7,7,8,3,1,4,8,3,0,2.0,5.0,3,0
1,14,Bauru,Flamengo,2,Alex,34.2,16,37,1,4,5,10,3,5,5,0,5,1,0,0,4.0,5.0,2,0
2,14,Bauru,Flamengo,2,Hettsheimeir,36.8,14,37,2,5,3,10,2,2,2,2,4,0,1,0,2.0,1.0,0,0
3,14,Bauru,Flamengo,2,Murilo,19.0,9,18,0,0,2,5,5,8,3,2,5,0,0,0,1.0,5.0,3,0
4,14,Bauru,Flamengo,2,Deodato,22.6,6,16,2,4,0,2,0,0,2,0,2,0,1,0,2.0,1.0,0,0
