Quarto,Tempo,Time,placar_casa,placar_visitante,Indicador,Nomes
4,00:00,NaN.,82,67,fim_partida, 
4,00:06,RCB,82,67,EN, Cravada Atílio 
4,00:06,RCB,80,67,,
4,00:11,RCB,80,67,RD,F  Penna
4,00:11,LSB,80,67,LL_Pts_T,Fernando
4,00:11,LSB,80,67,LL_Pts_C,Fernando
4,00:11,LSB,80,66,FR,Fernando
4,00:11,RCB,80,66,FC,Nicolas
4,00:11,LSB,80,66,,
4,00:11,RCB,80,66,ER,Atílio 
4,00:16,RCB,80,66,RO,Rio Claro
4,00:16,LSB,80,66,TO,Ridley
4,00:16,RCB,80,66,2_Pts_T,Atílio 
4,00:43,LSB,80,66,3_Pts_C,Neto
4,00:43,LSB,80,63,,
4,00:55,RCB,80,63,substituicao_entra,Nicolas 
4,00:55,RCB,80,63,substituicao_sai,Caio 
4,00:55,RCB,80,63,LL_Pts_C,Pastor
4,00:55,RCB,79,63,LL_Pts_C,Pastor
4,00:55,LSB,78,63,substituicao_entra,Victor 
4,00:55,LSB,78,63,substituicao_sai,Renato Scholz 
4,00:55,RCB,78,63,FR,Pastor
4,00:55,LSB,78,63,FC,Renato Scholz
4,01:05,LSB,78,63,3_Pts_C,Renato Scholz
4,01:05,LSB,78,60,,
4,01:11,RCB,78,60,substituicao_sai,Gui Deodato 
4,01:11,RCB,78,60,substituicao_entra,Léo 
4,01:11,RCB,78,60,substituicao_sai,Teichmann 
4,01:11,RCB,78,60,substituicao_entra,Pastor 
4,01:11,RCB,78,60,LL_Pts_C,F  Penna
4,01:11,RCB,77,60,LL_Pts_C,F  Penna
4,01:11,RCB,76,60,FR,F  Penna
4,01:11,LSB,76,60,FC,Ridley
4,01:18,RCB,76,60,RD,F  Penna
4,01:18,LSB,76,60,2_Pts_T,Ridley
4,01:33,LSB,76,60,RD,Lupa
4,01:33,RCB,76,60,2_Pts_T,Atílio 
4,01:51,RCB,76,60,RD,Teichmann
4,01:51,LSB,76,60,LL_Pts_T,Lupa
4,01:51,LSB,76,60,LL_Pts_T,Lupa
4,01:51,LSB,76,60,FR,Lupa
4,01:51,RCB,76,60,FC,Teichmann
4,01:56,RCB,76,60,RD,F  Penna
4,01:56,LSB,76,60,3_Pts_T,Ridley
4,02:19,LSB,76,60,substituicao_sai,Leandro 
4,02:19,LSB,76,60,substituicao_entra,Lupa 
4,02:26,LSB,76,60,tempo_tecnico, Liga Sorocabana
4,02:26,RCB,76,60,LL_Pts_C,Atílio 
4,02:26,RCB,75,60,LL_Pts_C,Atílio 
4,02:26,RCB,74,60,FR,Atílio 
4,02:26,LSB,74,60,FC,Leandro
4,02:49,LSB,74,60,2_Pts_C,Renato Scholz
4,02:49,LSB,74,58,,
4,02:50,RCB,74,58,ER,Atílio 
4,03:10,LSB,74,58,2_Pts_C,Ridley
4,03:13,LSB,74,56,BR,Ridley
4,03:13,RCB,74,56,ER,Atílio 
4,03:21,RCB,74,56,RD,Atílio 
4,03:21,LSB,74,56,3_Pts_T,Fernando
4,03:33,LSB,74,56,BR,Neto
4,03:33,RCB,74,56,ER,Atílio 
4,03:50,LSB,74,56,LL_Pts_C,Fernando
4,03:50,LSB,74,55,LL_Pts_C,Fernando
4,03:50,RCB,74,54,substituicao_sai,Daniel Alemão 
4,03:50,RCB,74,54,substituicao_entra,Atílio  
4,03:50,LSB,74,54,FR,Fernando
4,03:50,RCB,74,54,FC,Caio
4,04:06,LSB,74,54,FR,Ridley
4,04:06,RCB,74,54,FC,Caio
4,04:15,RCB,74,54,3_Pts_C,F  Penna
4,04:15,RCB,71,54,,
4,04:37,RCB,71,54,RD,Teichmann
4,04:37,LSB,71,54,3_Pts_T,Neto
4,04:54,RCB,71,54,LL_Pts_T,Teichmann
4,04:54,LSB,71,54,substituicao_sai,Gaúcho 
4,04:54,LSB,71,54,substituicao_entra,Fernando 
4,04:54,RCB,71,54,,
4,04:59,RCB,71,54,2_Pts_C,Teichmann
4,04:59,RCB,69,54,FR,Teichmann
4,04:59,LSB,69,54,FC,Gaúcho
4,05:21,LSB,69,54,2_Pts_C,Renato Scholz
4,05:41,LSB,69,52,substituicao_entra,Leandro 
4,05:41,LSB,69,52,substituicao_sai,Clahar 
4,05:47,LSB,69,52,RD,Liga Sorocabana
4,05:47,RCB,69,52,3_Pts_T,Daniel Alemão
4,06:08,RCB,69,52,RD,Daniel Alemão
4,06:08,LSB,69,52,3_Pts_T,Ridley
4,06:16,LSB,69,52,RO,Renato Scholz
4,06:16,LSB,69,52,2_Pts_T,Gaúcho
4,06:33,RCB,69,52,2_Pts_C,Teichmann
4,06:33,RCB,67,52,,
4,07:01,LSB,67,52,3_Pts_C,Ridley
4,07:05,LSB,67,49,FR,Ridley
4,07:05,RCB,67,49,FC,Teichmann
4,07:30,LSB,67,49,tempo_tecnico, Liga Sorocabana
4,07:30,RCB,67,49,2_Pts_C,Teichmann
4,07:30,RCB,65,49,,
4,07:58,LSB,65,49,LL_Pts_C,Clahar
4,07:58,LSB,65,48,2_Pts_C,Clahar
4,07:58,LSB,65,46,FR,Clahar
4,07:58,RCB,65,46,FC,F  Penna
4,08:03,LSB,65,46,RD,Ridley
4,08:03,RCB,65,46,2_Pts_T,F  Penna
4,08:08,RCB,65,46,FR,Gui Deodato
4,08:08,LSB,65,46,FC,Ridley
4,08:16,RCB,65,46,FR,Teichmann
4,08:16,LSB,65,46,FC,Clahar
4,08:42,RCB,65,46,RD,F  Penna
4,08:42,LSB,65,46,2_Pts_T,Gaúcho
4,09:01,RCB,65,46,LL_Pts_C,Daniel Alemão
4,09:01,RCB,64,46,LL_Pts_T,Daniel Alemão
4,09:01,RCB,64,46,FR,Daniel Alemão
4,09:01,LSB,64,46,FC,Renato Scholz
4,09:22,LSB,64,46,substituicao_entra,Gaúcho 
4,09:22,LSB,64,46,substituicao_sai,Gradnigo 
4,09:22,LSB,64,46,,
4,09:29,RCB,64,46,3_Pts_C,Gui Deodato
4,09:29,RCB,61,46,,
4,09:49,RCB,61,46,,
4,09:49,LSB,61,46,ER,Gradnigo
3,00:00,NaN.,61,46,fim_quarto, 
3,00:01,RCB,61,46,LL_Pts_T,Tom
3,00:01,RCB,61,46,LL_Pts_T,Tom
3,00:01,RCB,61,46,FR,Tom
3,00:01,LSB,61,46,FC,Ridley
3,00:02,RCB,61,46,RO,Tom
3,00:02,RCB,61,46,3_Pts_T,Pastor
3,00:24,LSB,61,46,LL_Pts_C,Ridley
3,00:24,LSB,61,45,LL_Pts_C,Ridley
3,00:24,LSB,61,44,FR,Ridley
3,00:24,RCB,61,44,FC,Tom
3,00:31,LSB,61,44,RO,Ridley
3,00:31,LSB,61,44,2_Pts_T,Gaúcho
3,00:37,LSB,61,44,RD,Gaúcho
3,00:37,RCB,61,44,3_Pts_T,Caio
3,00:46,RCB,61,44,RD,Gui Deodato
3,00:46,RCB,61,44,TO,Pastor
3,00:46,LSB,61,44,2_Pts_T,Victor
3,00:51,LSB,61,44,RD,Leandro
3,00:51,RCB,61,44,2_Pts_T,Tom
3,01:09,LSB,61,44,3_Pts_C,Ridley
3,01:09,LSB,61,41,,
3,01:29,LSB,61,41,RO,Leandro
3,01:29,LSB,61,41,2_Pts_T,Neto
3,01:39,LSB,61,41,substituicao_sai,Renato Scholz 
3,01:39,LSB,61,41,substituicao_entra,Leandro 
3,01:39,RCB,61,41,substituicao_sai,Daniel Alemão 
3,01:39,RCB,61,41,substituicao_entra,Tom 
3,01:39,RCB,61,41,substituicao_sai,Tatu 
3,01:39,RCB,61,41,substituicao_entra,F  Penna 
3,01:39,RCB,61,41,LL_Pts_C,Daniel Alemão
3,01:39,RCB,60,41,LL_Pts_C,Daniel Alemão
3,01:39,RCB,59,41,FR,Daniel Alemão
3,01:39,LSB,59,41,FC,Victor
3,01:56,LSB,59,41,2_Pts_C,Renato Scholz
3,02:07,RCB,59,39,3_Pts_C,Caio
3,02:07,RCB,56,39,,
3,02:14,RCB,56,39,substituicao_entra,Pastor 
3,02:14,RCB,56,39,substituicao_sai,Teichmann 
3,02:14,RCB,56,39,FR,Gui Deodato
3,02:14,LSB,56,39,FC,Victor
3,02:22,RCB,56,39,RD,Daniel Alemão
3,02:22,LSB,56,39,2_Pts_T,Renato Scholz
3,02:26,LSB,56,39,RO,Renato Scholz
3,02:26,LSB,56,39,3_Pts_T,Gaúcho
3,02:27,LSB,56,39,FR,Ridley
3,02:27,RCB,56,39,FC,Caio
3,02:50,RCB,56,39,2_Pts_C,Teichmann
3,02:50,RCB,54,39,,
3,03:09,LSB,54,39,2_Pts_C,Ridley
3,03:19,RCB,54,37,LL_Pts_C,Caio
3,03:19,RCB,53,37,LL_Pts_C,Caio
3,03:19,RCB,52,37,FR,Caio
3,03:19,LSB,52,37,FC,Victor
3,03:23,RCB,52,37,BR,Gui Deodato
3,03:23,LSB,52,37,ER,Neto
3,03:39,RCB,52,37,2_Pts_C,Daniel Alemão
3,03:39,RCB,50,37,,
3,03:55,LSB,50,37,3_Pts_C,Neto
3,03:55,LSB,50,34,,
3,04:12,RCB,50,34,tempo_tecnico, Rio Claro
3,04:12,LSB,50,34,FR,Renato Scholz
3,04:12,RCB,50,34,FC,Daniel Alemão
3,04:17,LSB,50,34,RO,Renato Scholz
3,04:17,LSB,50,34,2_Pts_T,Gaúcho
3,04:23,LSB,50,34,BR,Victor
3,04:23,RCB,50,34,ER,Gui Deodato
3,04:30,LSB,50,34,2_Pts_C,Gaúcho
3,04:30,LSB,50,32,,
3,04:50,LSB,50,32,RD,Renato Scholz
3,04:50,RCB,50,32,2_Pts_T,Tatu
3,04:57,LSB,50,32,substituicao_sai,Chupeta 
3,04:57,LSB,50,32,substituicao_entra,Victor 
3,05:06,RCB,50,32,FR,Gui Deodato
3,05:06,LSB,50,32,FC_O,Chupeta
3,05:12,RCB,50,32,2_Pts_C,Daniel Alemão
3,05:12,RCB,48,32,,
3,05:34,RCB,48,32,RD,Daniel Alemão
3,05:34,LSB,48,32,3_Pts_T,Chupeta
3,05:45,LSB,48,32,substituicao_entra,Renato Scholz 
3,05:45,LSB,48,32,substituicao_sai,Lacerda 
3,05:45,LSB,48,32,,
3,05:45,RCB,48,32,ER,Teichmann
3,05:49,RCB,48,32,RD,Teichmann
3,05:49,LSB,48,32,2_Pts_T,Ridley
3,06:07,LSB,48,32,RD,Ridley
