FIM DE PARTIDA
FIM DE QUARTO
Tentativa para três pontos Queirós erra tentativa para três pontos
 1 PONTO Marquinhos acerta o lance livre
 1 PONTO Marquinhos acerta o lance livre
Falta sofrida Marquinhos sofre falta
FALTA Alex comete falta
REBOTE DEFENSIVO Léo Demétrio pega rebote defensivo
Tentativa para dois pontos Cobb erra tentativa para dois pontos
REBOTE OFENSIVO Cobb pega rebote ofensivo
Tentativa para dois pontos Cobb erra tentativa para dois pontos
REBOTE OFENSIVO Davi pega rebote ofensivo
Tentativa para três pontos Alex erra tentativa para três pontos
Substituição Entra Léo Demétrio
Substituição Sai Balbi
Substituição Entra Davi
Substituição Sai Alexei
""
 1 PONTO Mineiro acerta o lance livre
 1 PONTO Mineiro acerta o lance livre
Falta sofrida Mineiro sofre falta
FALTA Queirós comete falta
""
Tentativa para dois pontos Balbi erra tentativa para dois pontos
REBOTE DEFENSIVO Marquinhos pega rebote defensivo
Tentativa para três pontos Leandrinho erra tentativa para três pontos
 1 PONTO Balbi acerta o lance livre
 1 PONTO Balbi acerta o lance livre
Substituição Entra Queirós
Substituição Sai Scott
Falta sofrida Balbi sofre falta
FALTA Scott comete falta
É DE TRÊS  É de três  Leandrinho acerta arremesso de três pontos
Erro Marquinhos perde posse de bola
 2 PONTOS Leandrinho acerta arremesso de dois pontos
""
""
É DE TRÊS  É de três  Leandrinho acerta arremesso de três pontos
REBOTE DEFENSIVO Scott pega rebote defensivo
Tentativa para dois pontos Mineiro erra tentativa para dois pontos
ASSISTÊNCIA Assistência do Cobb
 2 PONTOS Alex acerta arremesso de dois pontos
Bola recuperada Cobb recupera a bola
Erro Balbi perde posse de bola
 1 PONTO Leandrinho acerta o lance livre
Lance Livre Errado Leandrinho erra o lance livre
Substituição Entra Mineiro
Substituição Sai Léo Demétrio
Falta sofrida Leandrinho sofre falta
FALTA Léo Demétrio comete falta
Bola recuperada Leandrinho recupera a bola
Erro Léo Demétrio perde posse de bola
REBOTE DEFENSIVO Zach Graham pega rebote defensivo
TOCO  Marquinhos dá um toco
Tentativa para dois pontos Scott erra tentativa para dois pontos
 1 PONTO Zach Graham acerta o lance livre
 1 PONTO Zach Graham acerta o lance livre
Substituição Entra Léo Demétrio
Substituição Sai Mineiro
Falta sofrida Zach Graham sofre falta
FALTA Alexei comete falta
Falta sofrida Mineiro sofre falta
FALTA Scott comete falta
""
Tentativa para três pontos Cobb erra tentativa para três pontos
REBOTE DEFENSIVO Alexei pega rebote defensivo
TOCO  Alex dá um toco
Tentativa para dois pontos Mineiro erra tentativa para dois pontos
Substituição Entra Marquinhos
Substituição Sai Olivinha
Substituição Entra Jhonatan
Substituição Sai Deryk
""
 2 PONTOS Scott acerta arremesso de dois pontos
REBOTE OFENSIVO Scott pega rebote ofensivo
Tentativa para três pontos Alexei erra tentativa para três pontos
REBOTE DEFENSIVO Scott pega rebote defensivo
Tentativa para dois pontos Balbi erra tentativa para dois pontos
ASSISTÊNCIA Assistência do Cobb
É DE TRÊS  É de três  Alex acerta arremesso de três pontos
Substituição Entra Balbi
Substituição Sai Marquinhos
 2 PONTOS Mineiro acerta arremesso de dois pontos
ASSISTÊNCIA Assistência do Alex
É DE TRÊS  É de três  Cobb acerta arremesso de três pontos
REBOTE DEFENSIVO Alex pega rebote defensivo
Tentativa para dois pontos Deryk erra tentativa para dois pontos
Falta sofrida Olivinha sofre falta
FALTA Alex comete falta
ASSISTÊNCIA Assistência do Leandrinho
 2 PONTOS Scott acerta arremesso de dois pontos
REBOTE DEFENSIVO Leandrinho pega rebote defensivo
Tentativa para três pontos Zach Graham erra tentativa para três pontos
Falta sofrida Marquinhos sofre falta
FALTA Alexei comete falta
 1 PONTO Scott acerta o lance livre
 1 PONTO Scott acerta o lance livre
Falta sofrida Scott sofre falta
FALTA Zach Graham comete falta
Substituição Entra Alexei
Substituição Sai Deodato
""
ASSISTÊNCIA Assistência do Mineiro
 2 PONTOS Zach Graham acerta arremesso de dois pontos
REBOTE DEFENSIVO Olivinha pega rebote defensivo
Lance Livre Errado Alex erra o lance livre
 1 PONTO Alex acerta o lance livre
Substituição Entra Mineiro
Substituição Sai Léo Demétrio
Substituição Entra Zach Graham
Substituição Sai Jhonatan
Substituição Entra Olivinha
Substituição Sai Balbi
Substituição Entra Cobb
Substituição Sai Davi
Falta sofrida Alex sofre falta
FALTA Jhonatan comete falta
REBOTE OFENSIVO Alex pega rebote ofensivo
Tentativa para três pontos Leandrinho erra tentativa para três pontos
Falta sofrida Scott sofre falta
FALTA Léo Demétrio comete falta
REBOTE DEFENSIVO Scott pega rebote defensivo
Tentativa para dois pontos Léo Demétrio erra tentativa para dois pontos
Falta sofrida Jhonatan sofre falta
Erro Alex perde posse de bola
FALTA OFENSIVA Alex comete falta ofensiva
ASSISTÊNCIA Assistência do Balbi
 2 PONTOS Léo Demétrio acerta arremesso de dois pontos
 1 PONTO Leandrinho acerta o lance livre
Lance Livre Errado Leandrinho erra o lance livre
Falta sofrida Leandrinho sofre falta
FALTA Jhonatan comete falta
Falta sofrida Scott sofre falta
FALTA Marquinhos comete falta
""
Tentativa para três pontos Davi erra tentativa para três pontos
ASSISTÊNCIA Assistência do Deryk
É DE TRÊS  É de três  Jhonatan acerta arremesso de três pontos
ASSISTÊNCIA Assistência do Scott
 2 PONTOS Leandrinho acerta arremesso de dois pontos
REBOTE DEFENSIVO Scott pega rebote defensivo
Tentativa para três pontos Deryk erra tentativa para três pontos
INÍCIO DE QUARTO Início do
FIM DE QUARTO
Tentativa para três pontos Deryk erra tentativa para três pontos
Substituição Entra Queirós
Substituição Sai Tyrone 
Falta sofrida Balbi sofre falta
FALTA Tyrone
REBOTE DEFENSIVO Jhonatan pega rebote defensivo
Tentativa para três pontos Alex erra tentativa para três pontos
 2 PONTOS Jhonatan acerta arremesso de dois pontos
REBOTE OFENSIVO Jhonatan pega rebote ofensivo
Tentativa para dois pontos Balbi erra tentativa para dois pontos
 1 PONTO Deodato acerta o lance livre
 1 PONTO Deodato acerta o lance livre
ASSISTÊNCIA Assistência do Davi
 1 PONTO Deodato acerta o lance livre
Falta sofrida Deodato sofre falta
FALTA Léo Demétrio comete falta
