Quarto,Tempo,Time,Indicador_01,placar_casa,placar_visitante
4,02:47,APB,Gustavo comete falta ,68,51
4,02:47,UFC,UNIFACISA pega rebote ofensivo ,68,51
4,02:52,UFC,D  Nunes erra tentativa para dois pontos ,68,51
4,02:59,UFC,Barnes pega rebote ofensivo ,68,51
4,03:05,UFC,Spencer erra tentativa para dois pontos ,68,51
4,03:30,APB,Paulo acerta arremesso de dois pontos ,68,51
4,03:49,UFC,João Vitor acerta arremesso de dois pontos ,68,49
4,03:49,UFC,João Vitor pega rebote ofensivo ,66,49
4,03:53,UFC,D  Nunes erra tentativa para três pontos ,66,49
4,04:06,APB,Augusto comete violação de saída de quadra ,66,49
4,04:08,UFC,Entra Barnes,66,49
4,04:08,UFC,Sai Gemadinha,66,49
4,04:22,APB,Entra Gegê,66,49
4,04:22,APB,Sai Funches III,66,49
4,04:22,UFC,D  Nunes comete violação de saída de quadra ,66,49
4,04:44,UFC,D  Nunes pega rebote defensivo ,66,49
4,04:47,APB,Augusto erra tentativa para três pontos ,66,49
4,04:55,APB,Coimbra pega rebote ofensivo ,66,49
4,04:58,APB,Gustavo erra tentativa para dois pontos ,66,49
4,05:16,UFC,Assistência do Gemadinha,66,49
4,05:16,UFC,Spencer acerta arremesso de dois pontos ,66,49
4,05:22,UFC,Pepo Vidal recupera a bola ,64,49
4,05:22,APB,Paulo perde posse de bola ,64,49
4,05:25,APB,Entra Coimbra,64,49
4,05:25,APB,Sai Rodrigues,64,49
4,05:32,UFC,Gemadinha acerta arremesso de dois pontos ,64,49
4,05:38,UFC,João Vitor sofre falta ,62,49
4,05:38,APB,Rodrigues comete falta ,62,49
4,05:57,APB,Gustavo acerta arremesso de dois pontos ,62,49
4,05:57,APB,Augusto pega rebote defensivo ,62,47
4,06:03,UFC,João Vitor erra tentativa para dois pontos ,62,47
4,06:07,UFC,Pepo Vidal pega rebote defensivo ,62,47
4,06:11,APB,Augusto erra tentativa para três pontos ,62,47
4,06:28,UFC,Assistência do Pepo Vidal,62,47
4,06:28,UFC,É de três  D  Nunes acerta arremesso de três pontos ,62,47
4,06:36,UFC,Gemadinha pega rebote ofensivo ,59,47
4,06:39,UFC,D  Nunes erra tentativa para três pontos ,59,47
4,06:49,APB,Entra Paulo,59,47
4,06:49,APB,Sai Gegê,59,47
4,06:49,APB,Gegê andou com a bola ,59,47
4,07:07,APB,Rodrigues pega rebote defensivo ,59,47
4,07:07,UFC,João Vitor erra o lance livre ,59,47
4,07:07,UFC,João Vitor erra o lance livre ,59,47
4,07:07,UFC,Entra D  Nunes,59,47
4,07:07,UFC,Sai Antonio,59,47
