Data,Hora,Casa,Visitante,Fase,Local
24/11/2019,11:00,Corinthians,Basq. Cearense,7ª SEMANA,Ginásio Wlamir Marques
25/11/2019,19:30,Pinheiros,Paulistano,7ª SEMANA,Poliesportivo H. Villaboim
25/11/2019,20:00,Flamengo,Botafogo,7ª SEMANA,Arena Carioca 2
26/11/2019,20:00,Corinthians,UNIFACISA,7ª SEMANA,Ginásio Wlamir Marques
26/11/2019,20:00,Rio Claro,Bauru,7ª SEMANA,Gin. Felipe Karam
27/11/2019,20:00,Pinheiros,Basq. Cearense,7ª SEMANA,Poliesportivo H. Villaboim
28/11/2019,20:00,Paulistano,UNIFACISA,7ª SEMANA,Gin. Antonio Prado Jr
29/11/2019,20:00,Pato Basquete,Corinthians,7ª SEMANA,Ginásio do Sesi
29/11/2019,21:10,São Paulo,Basq. Cearense,7ª SEMANA,Ginásio Pol. Dr. Antônio L. Nunes Galvão - (Morumbi)
30/11/2019,12:50,Bauru,Botafogo,7ª SEMANA,Gin. Panela de Pressão
30/11/2019,18:00,São José,Brasília,7ª SEMANA,Gin. Linneu de Moura
01/12/2019,11:00,Pinheiros,UNIFACISA,8ª SEMANA,Poliesportivo H. Villaboim
02/12/2019,20:00,Mogi,Brasília,8ª SEMANA,Prof. Hugo Ramos
02/12/2019,20:00,Sesi Franca,Botafogo,8ª SEMANA,Ginásio Pedrocão
03/12/2019,20:00,Paulistano,Rio Claro,8ª SEMANA,Gin. Antonio Prado Jr
03/12/2019,20:00,São Paulo,UNIFACISA,8ª SEMANA,Ginásio Pol. Dr. Antônio L. Nunes Galvão - (Morumbi)
04/12/2019,20:00,Mogi,Minas,8ª SEMANA,Prof. Hugo Ramos
05/12/2019,20:00,Bauru,Flamengo,8ª SEMANA,Gin. Panela de Pressão
06/12/2019,20:00,Basq. Cearense,Brasília,8ª SEMANA,Centro de Formação Olímpica
06/12/2019,21:10,São José,Minas,8ª SEMANA,Gin. Linneu de Moura
07/12/2019,12:50,Sesi Franca,Flamengo,8ª SEMANA,Ginásio Pedrocão
08/12/2019,10:00,Botafogo,Rio Claro,9ª SEMANA,Ginásio Oscar Zelaya
08/12/2019,16:00,UNIFACISA,Brasília,9ª SEMANA,Arena UNIFACISA
08/12/2019,18:00,Bauru,São Paulo,9ª SEMANA,Gin. Panela de Pressão
09/12/2019,19:30,Basq. Cearense,Mogi,9ª SEMANA,Centro de Formação Olímpica
09/12/2019,20:00,Corinthians,Pinheiros,9ª SEMANA,Ginásio Wlamir Marques
10/12/2019,20:00,Sesi Franca,São Paulo,9ª SEMANA,Ginásio Pedrocão
10/12/2019,20:00,Flamengo,Rio Claro,9ª SEMANA,Arena Carioca 1
11/12/2019,20:00,UNIFACISA,Mogi,9ª SEMANA,Arena UNIFACISA
12/12/2019,20:00,Basq. Cearense,Minas,9ª SEMANA,Centro de Formação Olímpica
13/12/2019,21:10,Rio Claro,Sesi Franca,9ª SEMANA,Gin. Felipe Karam
14/12/2019,12:50,Paulistano,São Paulo,9ª SEMANA,Gin. Antonio Prado Jr
14/12/2019,16:00,UNIFACISA,Minas,9ª SEMANA,Arena UNIFACISA
16/12/2019,20:00,Flamengo,São José,10ª SEMANA,Tijuca Tênis Clube
17/12/2019,20:00,São Paulo,Rio Claro,10ª SEMANA,Ginásio Pol. Dr. Antônio L. Nunes Galvão - (Morumbi)
17/12/2019,20:00,Pato Basquete,Bauru,10ª SEMANA,Ginásio do Sesi
18/12/2019,20:00,Botafogo,São José,10ª SEMANA,Ginásio Oscar Zelaya
19/12/2019,19:00,Minas,Pinheiros,10ª SEMANA,Arena Minas Tênis Clube
19/12/2019,20:00,Brasília,Corinthians,10ª SEMANA,ASCEB
20/12/2019,20:00,Pato Basquete,Rio Claro,10ª SEMANA,Ginásio do Sesi
20/12/2019,21:10,Botafogo,Mogi,10ª SEMANA,Ginásio Oscar Zelaya
21/12/2019,12:50,Minas,Corinthians,10ª SEMANA,Arena Minas Tênis Clube
21/12/2019,17:00,Brasília,Pinheiros,10ª SEMANA,ASCEB
27/12/2019,19:30,Paulistano,Pato Basquete,11ª SEMANA,Gin. Antonio Prado Jr
27/12/2019,20:00,Pinheiros,Botafogo,11ª SEMANA,Poliesportivo H. Villaboim
27/12/2019,21:10,Bauru,Sesi Franca,11ª SEMANA,Gin. Panela de Pressão
28/12/2019,12:50,Corinthians,Flamengo,11ª SEMANA,Ginásio Wlamir Marques
28/12/2019,16:00,UNIFACISA,Basq. Cearense,11ª SEMANA,Arena UNIFACISA
28/12/2019,19:00,Mogi,São José,11ª SEMANA,Prof. Hugo Ramos
29/12/2019,11:00,São Paulo,Pato Basquete,11ª SEMANA,Ginásio Pol. Dr. Antônio L. Nunes Galvão - (Morumbi)
29/12/2019,11:00,Minas,Brasília,11ª SEMANA,Arena Minas Tênis Clube
13/01/2020,20:00,Brasília,Pato Basquete,12ª SEMANA,ASCEB
14/01/2020,20:00,Rio Claro,São Paulo,12ª SEMANA,Gin. Felipe Karam
14/01/2020,20:00,Corinthians,São José,12ª SEMANA,Ginásio Wlamir Marques
15/01/2020,19:30,Basq. Cearense,Pinheiros,12ª SEMANA,Centro de Formação Olímpica
15/01/2020,20:00,Minas,Pato Basquete,12ª SEMANA,Arena Minas Tênis Clube
16/01/2020,20:00,Paulistano,Botafogo,12ª SEMANA,Gin. Antonio Prado Jr
17/01/2020,20:00,UNIFACISA,Pinheiros,12ª SEMANA,Arena UNIFACISA
17/01/2020,21:10,São José,Bauru,12ª SEMANA,Gin. Linneu de Moura
18/01/2020,12:50,São Paulo,Botafogo,12ª SEMANA,Ginásio Pol. Dr. Antônio L. Nunes Galvão - (Morumbi)
20/01/2020,20:00,Brasília,Rio Claro,13ª SEMANA,ASCEB
21/01/2020,19:00,São José,São Paulo,13ª SEMANA,Gin. Linneu de Moura
21/01/2020,20:00,UNIFACISA,Corinthians,13ª SEMANA,Arena UNIFACISA
22/01/2020,20:00,Minas,Rio Claro,13ª SEMANA,Arena Minas Tênis Clube
23/01/2020,20:00,Basq. Cearense,Corinthians,13ª SEMANA,Centro de Formação Olímpica
24/01/2020,20:00,Rio Claro,São José,13ª SEMANA,Gin. Felipe Karam
24/01/2020,21:10,Flamengo,Brasília,13ª SEMANA,ASCEB
25/01/2020,12:50,Paulistano,Sesi Franca,13ª SEMANA,Gin. Antonio Prado Jr
25/01/2020,18:00,Pinheiros,Mogi,13ª SEMANA,Poliesportivo H. Villaboim
27/01/2020,20:00,São Paulo,Sesi Franca,14ª SEMANA,Ginásio Pol. Dr. Antônio L. Nunes Galvão - (Morumbi)
27/01/2020,20:00,Mogi,Basq. Cearense,14ª SEMANA,Prof. Hugo Ramos
28/01/2020,20:00,Botafogo,Minas,14ª SEMANA,Ginásio Oscar Zelaya
28/01/2020,20:00,Flamengo,UNIFACISA,14ª SEMANA,Ginásio do Maracanazinho
29/01/2020,20:00,Mogi,Sesi Franca,14ª SEMANA,Prof. Hugo Ramos
29/01/2020,20:00,Bauru,Rio Claro,14ª SEMANA,Gin. Panela de Pressão
30/01/2020,20:00,Botafogo,UNIFACISA,14ª SEMANA,Ginásio Oscar Zelaya
30/01/2020,20:00,São José,Basq. Cearense,14ª SEMANA,Gin. Linneu de Moura
31/01/2020,20:00,São Paulo,Paulistano,14ª SEMANA,Ginásio Pol. Dr. Antônio L. Nunes Galvão - (Morumbi)
31/01/2020,21:10,Flamengo,Minas,14ª SEMANA,ASCEB
01/02/2020,12:50,Sesi Franca,Corinthians,14ª SEMANA,Ginásio Pedrocão
01/02/2020,16:00,Botafogo,Basq. Cearense,14ª SEMANA,Ginásio Oscar Zelaya
