temporada;time;adversario;fase;cf;posicao;Jogador;frequencia ;Min;Pts C;Pts T;Arc;Art;3P C;3P T;2P C;2P T;LL C;LL T;O;D;RT;AS;BR;TO;FC;FR;ER;EN
15;4;19;1;1;2;Rashaun;1;14,12;5;11;2;4;1;3;1;1;0;0;0;1;1;1;0;0;1;0;0;0
15;4;19;1;1;4;Felipe 3;1;11,17;2;10;1;4;0;2;1;2;0;0;0;1;1;0;0;0;5;0;1;1
15;4;19;1;1;1;Victor 3;1;4,58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0
15;4;19;1;1;3;Sualisson;1;0,56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
15;4;19;1;1;5;Leal;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;4;19;1;1;4;Romulo;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;4;19;1;1;0;1;1;;72;160;23;55;9;30;14;25;17;20;7;21;28;10;15;1;20;21;15;1
15;19;4;1;2;1;Dawkins;1;36,2;18;29;6;10;2;3;4;7;4;6;1;3;4;3;2;0;2;5;3;0
15;19;4;1;2;1;Arthur Pecos;1;24,47;6;15;2;6;0;1;2;5;2;2;1;1;2;4;1;0;1;2;2;0
15;19;4;1;2;5;C, Torres;1;24,32;10;24;3;10;2;2;1;8;2;2;3;1;4;1;1;0;2;1;3;0
15;19;4;1;2;3;Jhonatan;1;20,54;2;7;1;3;0;1;1;2;0;0;1;2;3;0;0;0;4;0;1;0
15;19;4;1;2;5;Toyloy;1;20,45;12;17;4;6;0;0;4;6;4;5;4;4;8;0;1;0;3;5;2;0
15;19;4;1;2;1;Valtinho;1;19,58;0;8;0;3;0;2;0;1;0;0;0;1;1;2;1;0;3;0;2;0
15;19;4;1;2;4;Gruber;1;19,24;13;32;4;11;1;5;3;6;4;5;1;2;3;0;1;1;1;4;1;0
15;19;4;1;2;4;Gemerson;1;16,57;6;12;2;4;1;3;1;1;1;1;0;3;3;2;0;0;3;3;1;0
15;19;4;1;2;4;Guilherme 1;1;8,25;0;9;0;3;0;3;0;0;0;0;0;1;1;0;0;0;2;0;1;0
15;19;4;1;2;2;Mogi;1;7,48;2;2;1;1;0;0;1;1;0;0;0;1;1;0;0;0;1;0;0;1
15;19;4;1;2;0;1;1;;69;155;23;57;6;20;17;37;17;21;13;24;37;12;11;1;22;20;16;1
15;4;12;1;1;1;Davi;1;33,3;16;32;5;11;1;4;4;7;5;6;0;4;4;12;1;0;2;5;2;0
15;4;12;1;1;4;Toledo;1;33,19;11;24;5;10;1;4;4;6;0;0;5;2;7;3;1;0;3;2;1;1
15;4;12;1;1;2;Duda Machado;1;32,42;13;33;5;12;2;7;3;5;1;2;0;1;1;4;1;0;2;2;1;1
15;4;12;1;1;4;Felipe 3;1;25,5;13;24;5;9;3;6;2;3;0;0;1;5;6;2;2;0;2;0;1;0
15;4;12;1;1;5;Tiagao;1;22,15;15;15;5;5;1;1;4;4;4;4;0;3;3;0;0;1;4;2;1;1
15;4;12;1;1;3;Sualisson;1;14,17;6;11;3;5;0;1;3;4;0;0;1;1;2;0;0;0;3;3;0;0
15;4;12;1;1;5;Lao Waszkiewicz;1;13,48;5;8;1;2;0;0;1;2;3;4;2;3;5;0;1;0;4;3;1;0
15;4;12;1;1;1;Victor 3;1;12,33;3;12;1;4;1;2;0;2;0;2;0;1;1;1;1;0;0;1;0;0
15;4;12;1;1;5;Leal;1;3,56;2;2;1;1;0;0;1;1;0;0;1;0;1;0;0;0;0;1;0;0
15;4;12;1;1;4;Romulo;1;3,45;2;2;1;1;0;0;1;1;0;0;2;1;3;1;0;0;1;0;0;0
15;4;12;1;1;3;Audrei;1;3,17;2;2;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
15;4;12;1;1;6;Joel;1;0,41;0;5;0;2;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0
15;4;12;1;1;0;1;1;;88;170;33;63;9;26;24;37;13;18;13;22;35;23;8;1;21;19;7;3
15;12;4;1;2;2;Neto;1;37,36;16;45;5;16;2;7;3;9;4;6;0;2;2;3;2;0;1;7;2;0
15;12;4;1;2;4;Renato Scholz;1;33;12;29;4;10;2;5;2;5;2;4;2;2;4;3;1;1;2;5;1;0
15;12;4;1;2;5;Fab Melo;1;26,42;9;19;3;8;1;1;2;7;2;2;1;3;4;0;2;1;4;2;2;1
