temporada;time;adversario;fase;cf;posicao;Jogador;frequencia ;Min;Pts C;Pts T;Arc;Art;3P C;3P T;2P C;2P T;LL C;LL T;O;D;RT;AS;BR;TO;FC;FR;ER;EN
15;5;4;1;2;4;G, Giovannoni;1;31,01;17;33;5;11;2;4;3;7;5;7;1;7;8;5;0;0;2;5;2;0
15;5;4;1;2;2;Jefferson;1;29,2;17;31;5;10;3;7;2;3;4;4;0;1;1;1;1;0;2;4;0;0
15;5;4;1;2;1;Fulvio;1;28,55;8;19;3;7;1;4;2;3;1;1;0;2;2;5;2;0;1;3;5;0
15;5;4;1;2;1;Deryk;1;22,43;10;36;3;13;2;8;1;5;2;2;1;2;3;3;0;0;0;1;0;0
15;5;4;1;2;5;Cipolini;1;18,4;12;22;4;8;2;4;2;4;2;2;3;2;5;0;1;1;1;1;1;0
15;5;4;1;2;5;Ronald;1;15,07;12;14;5;6;0;0;5;6;2;2;3;4;7;0;0;0;5;5;1;1
15;5;4;1;2;5;Coimbra;1;13,11;3;5;1;1;0;0;1;1;1;3;1;2;3;0;0;1;4;1;0;0
15;5;4;1;2;3;Diego 1;1;7,15;0;0;0;0;0;0;0;0;0;0;1;1;2;1;1;0;2;0;1;0
15;5;4;1;2;3;Pureza;1;1,25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;5;4;1;2;0;1;1;;85;174;29;63;10;27;19;36;17;21;12;29;41;17;10;2;18;20;13;1
15;4;16;1;1;5;Lao Waszkiewicz;1;36,33;16;31;6;12;0;0;6;12;4;7;7;5;12;0;1;2;1;7;0;2
15;4;16;1;1;3;Audrei;1;33,15;12;29;5;12;2;5;3;7;0;0;3;1;4;1;1;0;3;1;0;0
15;4;16;1;1;1;Davi;1;33,08;9;23;2;7;1;3;1;4;4;6;0;5;5;4;1;0;4;3;1;0
15;4;16;1;1;2;Duda Machado;1;31,38;15;44;5;15;2;10;3;5;3;4;1;3;4;4;2;0;1;6;4;0
15;4;16;1;1;4;Toledo;1;28,23;4;17;1;5;1;3;0;2;1;4;1;6;7;0;0;0;3;3;1;0
15;4;16;1;1;2;Rashaun;1;15,33;4;16;2;6;0;4;2;2;0;0;0;1;1;1;0;0;2;0;1;1
15;4;16;1;1;4;Felipe 3;1;9,07;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;2;0;1;0
15;4;16;1;1;5;Tiagao;1;8,4;2;2;1;1;0;0;1;1;0;0;0;1;1;1;0;0;3;2;0;0
15;4;16;1;1;1;Victor 3;1;2,28;2;2;1;1;0;0;1;1;0;0;0;0;0;0;1;0;1;0;0;0
15;4;16;1;1;4;Romulo;1;1,09;0;2;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
15;4;16;1;1;6;Joel;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;4;16;1;1;3;Sualisson;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;4;16;1;1;0;1;1;;64;166;23;60;6;25;17;35;12;21;14;24;38;12;7;2;21;22;8;3
15;16;4;1;2;1;Coelho;1;36,49;7;27;2;10;1;4;1;6;2;3;3;2;5;2;2;0;2;6;0;0
15;16;4;1;2;5;Shilton;1;35,28;6;18;3;9;0;0;3;9;0;0;2;5;7;4;2;0;2;3;3;1
15;16;4;1;2;3;Sosa;1;31,19;30;39;10;13;6;9;4;4;4;4;0;2;2;1;0;0;2;3;2;0
15;16;4;1;2;4;Lao Dematrio;1;25,22;8;20;4;8;0;2;4;6;0;2;3;5;8;1;1;0;1;1;1;0
15;16;4;1;2;2;Siqueira;1;24,54;10;21;3;8;0;1;3;7;4;4;0;2;2;5;1;0;4;4;4;0
15;16;4;1;2;3;P, Macedo;1;20,36;5;13;2;5;1;3;1;2;0;0;2;4;6;0;0;0;3;0;0;0
15;16;4;1;2;5;Ansaloni;1;18,15;3;11;0;3;0;1;0;2;3;4;1;3;4;1;0;1;5;3;1;0
15;16;4;1;2;6;Rafael;1;3,23;0;6;0;2;0;2;0;0;0;0;0;0;0;0;0;0;1;1;1;0
15;16;4;1;2;2;Pitico;1;2,35;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;2;0;0;0
15;16;4;1;2;6;Panunzio;1;1,14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;16;4;1;2;6;Gustavo;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;16;4;1;2;0;1;1;;69;155;24;58;8;22;16;36;13;17;11;26;37;14;8;1;22;21;12;1
15;4;7;1;1;2;Duda Machado;1;31,09;17;32;5;11;5;8;0;3;2;2;0;4;4;0;3;0;3;3;5;0
15;4;7;1;1;1;Davi;1;29,3;6;28;2;11;1;4;1;7;1;2;0;6;6;4;0;0;2;2;1;0
15;4;7;1;1;4;Felipe 3;1;23;8;13;4;6;0;1;4;5;0;0;1;3;4;0;0;0;2;1;0;1
15;4;7;1;1;3;Audrei;1;22,46;10;25;2;9;0;1;2;8;6;6;1;2;3;0;0;0;2;5;2;0
