Nr.,Jogador,Min,AS,BR,TO,FC,FR,ER,EN,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT
#1,Solano,31.5,4,4,0,2.0,3.0,1,0,15,44,0,4,5,13,5,6,4,3,7
#20,Dikembe,23.9,3,1,0,1.0,5.0,3,0,14,27,0,0,6,11,2,5,4,5,9
#4,Ruivo,19.1,5,0,0,3.0,3.0,1,0,13,23,1,2,4,7,2,3,1,1,2
#33,Eddy,27.6,2,2,1,3.0,0.0,1,0,12,17,4,5,0,1,0,0,3,0,3
#7,D. Coleman,32.5,1,0,0,3.0,1.0,3,1,11,19,3,5,1,2,0,0,2,1,3
#35,Maique,22.2,0,0,1,2.0,1.0,2,0,10,14,1,2,3,3,1,2,7,0,7
#10,Vitão,16.6,0,0,0,2.0,3.0,2,0,8,15,0,1,2,4,4,4,3,0,3
#2,Yago,22.5,7,0,0,0.0,4.0,0,0,5,19,0,4,1,2,3,3,0,0,0
#16,Buiú,0.2,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
#12,Rafael,1.3,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
#32,Anderson,2.6,0,0,0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
#9,Daniel,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equipe,Equipe,0.0,22,7,2,18.0,20.0,14,1,88,178,9,23,22,43,17,23,24,10,34
#3,Faggiano,36.1,7,1,0,3.0,3.0,1,0,24,31,3,4,6,8,3,3,3,0,3
#15,Renato,31.7,0,0,0,2.0,5.0,3,0,18,38,1,3,6,13,3,3,7,4,11
#8,Crescenzi,33.7,0,1,0,2.0,1.0,0,0,17,32,3,6,4,7,0,0,3,1,4
#10,Draper,19.1,2,0,1,3.0,1.0,3,1,10,20,0,0,5,10,0,0,4,0,4
#7,Wiggins,30.0,1,0,0,0.0,4.0,2,0,10,26,0,3,2,5,6,7,3,1,4
#4,Larry,21.3,3,0,0,3.0,1.0,2,0,10,21,2,4,1,3,2,3,4,3,7
#13,Malachias,5.2,0,2,0,1.0,1.0,0,0,2,2,0,0,0,0,2,2,1,1,2
#25,Gabriel Jaú,10.3,1,0,0,4.0,1.0,1,0,1,4,0,0,0,1,1,2,1,1,2
#20,Pará,11.1,1,0,0,1.0,1.0,1,0,1,7,0,1,0,1,1,2,2,0,2
#6,Brito,1.5,0,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equipe,Equipe,0.0,15,4,1,20.0,18.0,14,1,93,181,9,21,24,48,18,22,30,12,42
