Nr.,Jogador,Min,AS,BR,TO,FC,FR,ER,EN,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT
#9,Lucas Dias,32.4,4,0,0,2.0,5.0,0,0,19,28,2,3,3,5,7,9,4,1,5
#87,Guilherme,20.7,0,0,4,2.0,1.0,0,0,15,25,1,3,6,8,0,0,3,2,5
#30,Hettsheimeir,25.5,3,0,1,3.0,4.0,2,0,14,25,1,3,3,5,5,6,5,1,6
#20,Schattmann,23.3,0,0,0,1.0,2.0,2,0,10,19,1,4,2,2,3,3,4,0,4
#32,David Jackson,28.8,4,2,0,2.0,3.0,1,0,10,19,2,3,1,4,2,2,3,0,3
#21,Parodi,28.0,2,2,1,4.0,1.0,3,0,8,21,2,5,1,3,0,0,5,1,6
#18,Jimmy,12.4,0,0,0,0.0,0.0,0,0,2,10,0,2,1,2,0,0,1,0,1
#33,Guilherme,2.2,0,0,0,1.0,0.0,0,0,0,3,0,1,0,0,0,0,0,0,0
#3,Márcio,0.6,0,0,0,0.0,0.0,0,0,0,3,0,1,0,0,0,0,0,0,0
#5,Elinho,25.5,6,2,0,1.0,1.0,0,0,0,7,0,1,0,2,0,0,4,0,4
#4,Adyel,0.4,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
#11,Edu Marília,0.4,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equipe,Equipe,0.0,19,6,6,16.0,17.0,10,0,78,160,9,26,17,31,17,20,30,5,35
#3,Bennett,37.2,2,1,0,2.0,5.0,3,0,17,30,3,4,4,9,0,0,1,1,2
#9,Buffat,33.7,0,0,0,2.0,2.0,1,0,13,24,1,4,4,5,2,2,2,2,4
#33,C. Torres,18.7,2,0,0,2.0,1.0,0,1,9,20,1,4,3,4,0,0,4,3,7
#50,Ware,23.3,0,0,0,1.0,1.0,1,0,7,18,1,3,1,3,2,3,5,1,6
#23,L. Cauê,17.4,3,1,0,3.0,3.0,1,1,6,23,0,1,1,8,4,4,3,3,6
#26,Betinho,27.4,3,1,0,5.0,1.0,4,0,6,25,2,5,0,5,0,0,5,0,5
#6,Scaglia,18.7,0,0,0,1.0,2.0,0,0,5,15,1,2,1,4,0,1,2,0,2
#13,Toledo,18.8,1,0,0,2.0,1.0,0,0,3,14,0,0,1,6,1,2,0,1,1
#2,G. Campos,2.1,0,0,0,0.0,0.0,1,0,3,3,1,1,0,0,0,0,0,0,0
#12,D. Souza,2.1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
#17,Viana,0.9,0,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equipe,Equipe,0.0,11,3,0,20.0,16.0,12,2,69,172,10,24,15,44,9,12,26,14,40
