Nr.,Jogador,Min,AS,BR,TO,FC,FR,ER,EN,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT
#10,Vezaro,28.4,2,3,0,2.0,1.0,0,0,29,36,9,10,1,3,0,0,3,0,3
#2,Fuller,26.8,6,0,0,0.0,1.0,3,0,14,36,4,9,1,4,0,1,4,0,4
#1,Fischer,17.2,1,1,0,3.0,3.0,3,0,10,14,2,2,0,2,4,4,3,0,3
#23,Pecos,27.2,3,0,0,1.0,1.0,0,0,10,21,2,3,2,6,0,0,3,1,4
#21,Wesley,15.8,0,1,0,0.0,2.0,1,0,8,18,0,1,3,6,2,3,2,2,4
#25,Nesbitt,31.0,6,0,0,3.0,4.0,1,1,7,24,0,2,3,8,1,2,3,5,8
#32,Johnson,12.9,0,2,0,4.0,3.0,1,0,6,10,0,0,3,4,0,2,2,2,4
#11,Teichmann,9.1,0,0,0,1.0,2.0,0,0,4,7,0,0,1,2,2,3,3,1,4
#0,Douglas Santos,5.4,0,0,0,1.0,0.0,0,0,0,2,0,0,0,1,0,0,1,0,1
#31,Robinson,26.3,1,0,0,3.0,2.0,1,0,0,18,0,4,0,3,0,0,4,1,5
#12,Humberto,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equipe,Equipe,0.0,19,7,0,18.0,19.0,10,1,88,186,17,31,14,39,9,15,30,16,46
#7,Wiggins,33.1,2,1,0,2.0,4.0,1,2,19,40,2,5,5,10,3,5,7,1,8
#3,Faggiano,29.9,6,2,0,3.0,7.0,3,0,15,26,0,2,3,5,9,10,3,0,3
#5,Massey,35.2,2,3,1,1.0,1.0,1,0,12,33,3,9,1,2,1,2,6,0,6
#15,Renato,24.4,0,0,0,2.0,1.0,1,1,9,19,1,3,3,5,0,0,4,0,4
#25,Gabriel Jaú,18.0,0,1,1,4.0,2.0,2,0,7,18,0,2,3,5,1,2,3,2,5
#8,Crescenzi,22.6,2,1,0,2.0,0.0,1,0,5,16,1,4,1,2,0,0,1,1,2
#6,Brito,11.5,0,0,0,4.0,2.0,0,0,4,7,0,1,0,0,4,4,0,0,0
#20,Pará,11.2,0,0,0,0.0,0.0,0,0,0,4,0,0,0,2,0,0,0,0,0
#13,Malachias,12.7,1,1,0,1.0,1.0,1,0,0,2,0,0,0,1,0,0,1,0,1
#11,Emanuel,1.3,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
#30,Mendes,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equipe,Equipe,0.0,13,9,2,19.0,18.0,11,3,71,165,7,26,16,32,18,23,27,6,33
