Nr.,Jogador,Min,AS,BR,TO,FC,FR,ER,EN,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT
#11,Marquinhos,36.2,3,0,1,1.0,5.0,2,0,22,51,2,8,4,7,8,13,5,1,6
#32,Zach Graham,33.7,0,2,0,2.0,1.0,2,0,15,43,2,10,4,6,1,1,2,1,3
#6,Balbi,38.6,6,1,0,4.0,3.0,2,0,15,40,2,9,3,4,3,5,5,2,7
#9,Deryk,22.3,2,0,0,1.0,0.0,1,0,12,21,2,5,3,3,0,0,0,1,1
#12,Mineiro,35.7,2,1,0,5.0,6.0,1,1,10,17,0,1,3,4,4,6,2,3,5
#71,Demétrio,26.5,1,0,0,4.0,2.0,0,0,9,14,1,2,2,3,2,2,5,0,5
#16,Olivinha,16.9,1,1,0,3.0,1.0,2,0,5,13,0,1,2,4,1,2,3,0,3
#33,Vargas,14.3,1,1,1,4.0,3.0,0,0,3,15,0,0,1,5,1,5,2,1,3
#1,Pedro Nunes,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
#34,Maciel,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
#55,Barrera,15.6,4,1,0,3.0,0.0,1,0,0,7,0,1,0,2,0,0,1,0,1
#7,Jhonatan,10.2,0,1,0,2.0,1.0,1,0,0,2,0,0,0,1,0,0,2,0,2
Equipe,Equipe,0.0,20,8,2,29.0,22.0,13,1,91,223,9,37,22,39,20,34,27,12,39
#19,Leandrinho,38.6,3,1,0,1.0,9.0,0,0,25,48,1,3,8,15,6,9,1,0,1
#22,Scott,30.6,2,0,0,4.0,6.0,5,1,18,32,0,0,6,11,6,10,9,3,12
#10,Alex,39.9,6,1,0,3.0,5.0,5,0,16,41,1,7,5,8,3,4,4,4,8
#0,Tyrone,37.1,1,1,0,4.0,3.0,2,0,14,21,1,2,4,6,3,3,8,2,10
#5,Davi,42.3,1,0,0,3.0,4.0,1,0,11,22,1,4,4,4,0,2,3,0,3
#6,Shilton,19.3,1,0,0,5.0,1.0,1,0,4,4,0,0,1,1,2,2,2,1,3
#8,Jackson Jr,6.2,0,2,0,2.0,0.0,0,0,4,6,0,0,2,3,0,0,0,1,1
#1,Deodato,24.9,0,1,0,0.0,0.0,1,0,2,13,0,3,1,2,0,0,2,0,2
#7,Black,7.9,0,0,0,0.0,1.0,1,0,1,8,0,2,0,0,1,2,3,1,4
#3,Queiroz,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
#20,Alexei,3.2,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
#11,Gui Carvalho,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equipe,Equipe,0.0,14,6,0,22.0,29.0,18,1,95,195,4,21,31,50,21,32,37,13,50
