Nr.,Jogador,Min,AS,BR,TO,FC,FR,ER,EN,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT
#4,Mariani,32.6,2,0,0,2.0,3.0,3,0,23,43,4,8,3,7,5,5,0,0,0
#16,Rafael,29.6,2,1,0,4.0,6.0,0,0,20,40,0,4,8,11,4,6,4,0,4
#9,Figueredo,40.6,4,1,0,3.0,2.0,2,0,13,28,2,6,3,4,1,2,3,0,3
#10,Duda,28.5,1,0,0,3.0,5.0,5,0,8,23,0,5,1,1,6,6,4,0,4
#24,L. Eltink,22.3,1,0,1,1.0,0.0,0,1,7,12,1,2,2,3,0,0,1,0,1
#7,Ambrosino,15.4,0,0,0,3.0,0.0,2,0,6,15,0,1,3,6,0,0,2,0,2
#8,Buemo,7.8,3,0,0,1.0,0.0,1,0,3,3,1,1,0,0,0,0,0,0,0
#21,Conceição,16.6,3,0,0,5.0,2.0,1,0,3,4,0,0,1,1,1,2,1,2,3
#18,Lupa,22.8,5,0,1,4.0,1.0,0,0,1,2,0,0,0,0,1,2,4,3,7
#33,Abner,5.6,0,1,0,0.0,0.0,0,0,0,2,0,0,0,1,0,0,1,0,1
#0,Guga,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
#6,Eugeniusz,3.2,0,1,0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,1
Equipe,Equipe,0.0,21,4,2,28.0,19.0,16,1,84,172,8,27,21,34,18,23,23,7,30
#3,Bennett,40.0,4,1,0,1.0,3.0,0,1,22,31,0,2,10,11,2,3,1,0,1
#13,Toledo,36.0,2,4,0,3.0,9.0,3,0,14,30,0,0,3,10,8,10,5,8,13
#26,Betinho,28.5,2,1,0,5.0,6.0,3,0,14,25,0,2,4,6,6,7,1,0,1
#14,Dawkins,37.1,2,0,0,2.0,7.0,0,0,13,31,1,5,1,3,8,10,8,0,8
#50,Ware,17.5,0,0,1,1.0,1.0,1,0,8,16,1,3,2,3,1,1,3,1,4
#9,Buffat,24.9,1,0,0,4.0,1.0,2,0,7,13,0,1,3,4,1,2,3,1,4
#33,C. Torres,14.2,1,0,0,1.0,0.0,0,0,5,13,1,1,1,5,0,0,0,0,0
#23,L. Cauê,13.9,0,0,0,0.0,0.0,0,1,4,11,0,1,2,4,0,0,1,0,1
#5,Mãozinha,5.9,0,1,0,2.0,0.0,0,1,2,2,0,0,1,1,0,0,0,0,0
#7,Isaac,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
#6,Scaglia,6.1,1,1,0,0.0,0.0,0,0,0,9,0,3,0,0,0,0,0,0,0
#2,G. Campos,1.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equipe,Equipe,0.0,13,8,1,19.0,27.0,10,3,89,181,3,18,27,47,26,33,26,12,38
