Nr.,Jogador,Min,AS,BR,TO,FC,FR,ER,EN,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT
#19,Gegê,30.5,7,5,0,1.0,1.0,4,0,13,19,4,5,0,1,1,2,2,0,2
#55,Augusto,16.3,2,0,0,2.0,3.0,3,0,11,34,3,8,1,3,0,4,0,1,1
#10,Gustavo,29.6,2,1,0,4.0,0.0,0,0,11,23,3,5,1,4,0,0,0,1,1
#16,Rodrigues,26.3,0,2,0,3.0,2.0,1,1,10,16,0,0,4,6,2,4,2,0,2
#2,Smith,18.7,2,0,0,1.0,1.0,1,0,7,20,1,4,2,4,0,0,2,1,3
#6,Leandro,18.8,1,0,0,2.0,3.0,0,0,5,21,1,5,0,2,2,2,1,3,4
#22,Paulo,21.5,3,2,1,3.0,1.0,2,1,4,13,0,1,2,5,0,0,6,0,6
#1,Funches III,19.4,0,1,0,1.0,2.0,4,0,4,6,0,0,1,2,2,2,1,1,2
#25,Scheuer,12.9,0,0,0,0.0,0.0,0,1,2,4,0,0,1,2,0,0,0,0,0
#5,Murilo,6.0,0,0,0,1.0,2.0,1,0,0,3,0,1,0,0,0,0,1,0,1
#20,Aquiles,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
#3,R. Bibiano,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equipe,Equipe,0.0,17,11,1,18.0,15.0,17,3,67,159,12,29,12,29,7,14,17,7,24
#3,Bennett,28.2,2,2,0,1.0,4.0,4,0,18,23,0,1,8,9,2,2,3,0,3
#26,Betinho,26.1,2,1,0,0.0,2.0,4,0,14,28,2,6,4,5,0,0,1,0,1
#7,Isaac,19.9,1,1,0,1.0,4.0,0,0,12,21,2,3,1,4,4,4,2,1,3
#9,Buffat,20.4,1,0,0,3.0,1.0,0,0,11,14,3,4,1,1,0,0,4,1,5
#50,Ware,14.0,2,0,0,2.0,1.0,3,0,11,17,3,5,1,1,0,0,3,2,5
#13,Toledo,22.1,2,2,0,2.0,3.0,1,0,5,10,0,0,1,3,3,4,1,1,2
#14,Dawkins,22.6,3,3,0,0.0,1.0,4,0,3,14,1,4,0,1,0,0,2,0,2
#23,L. Cauê,23.1,2,0,1,2.0,1.0,3,0,3,4,0,0,1,1,1,2,5,0,5
#33,C. Torres,17.9,0,2,0,2.0,1.0,1,0,2,11,0,3,0,0,2,2,7,0,7
#6,Scaglia,6.0,0,0,0,2.0,0.0,0,0,2,5,0,1,1,1,0,0,0,0,0
Equipe,Equipe,0.0,15,11,1,15.0,18.0,22,0,81,147,11,27,18,26,12,14,28,7,35
