Nr.,Jogador,Min,AS,BR,TO,FC,FR,ER,EN,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT
#10,Alex,35.3,4,1,1,2.0,3.0,4,0,29,53,3,7,6,12,8,8,5,3,8
#0,Tyrone,30.0,1,2,0,4.0,4.0,2,0,15,24,2,3,3,5,3,5,3,2,5
#5,Davi,36.8,1,0,0,4.0,5.0,2,0,13,27,1,5,2,3,6,6,2,0,2
#22,Scott,27.0,1,0,4,2.0,8.0,2,1,13,25,0,0,3,8,7,9,6,4,10
#1,Deodato,36.6,2,0,0,3.0,3.0,1,1,12,38,2,7,2,7,2,3,3,2,5
#6,Shilton,19.3,1,0,1,4.0,2.0,0,0,1,6,0,0,0,2,1,2,2,3,5
#20,Alexei,7.9,0,0,0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,2,0,2
#11,Gui Carvalho,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
#8,Jackson Jr,6.6,1,0,0,0.0,0.0,0,0,0,2,0,0,0,1,0,0,0,1,1
#13,Tiago,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
#3,Queiroz,0.5,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
#12,Ribeiro,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equipe,Equipe,0.0,11,3,6,20.0,25.0,12,2,83,175,8,22,16,38,27,33,26,18,44
#2,Fuller,31.9,1,0,0,2.0,4.0,1,0,22,47,2,8,6,9,4,5,1,0,1
#1,Fischer,26.1,9,0,0,2.0,3.0,2,0,18,35,3,6,3,6,3,5,2,0,2
#12,Humberto,24.7,1,2,0,5.0,0.0,0,0,14,25,4,5,1,5,0,0,0,3,3
#25,Nesbitt,32.0,0,1,1,2.0,4.0,1,0,7,24,1,4,1,4,2,2,2,3,5
#23,Pecos,14.3,2,0,0,2.0,3.0,1,0,6,28,1,7,1,3,1,1,3,0,3
#0,Douglas Santos,5.3,0,0,0,0.0,0.0,0,0,6,8,0,0,3,4,0,0,1,2,3
#21,Wesley,21.6,2,3,2,2.0,3.0,0,0,5,12,0,2,2,2,1,2,4,3,7
#11,Teichmann,16.0,3,2,0,5.0,0.0,0,0,4,6,0,0,2,3,0,0,2,1,3
#32,Johnson,4.4,0,0,0,3.0,1.0,1,0,0,8,0,0,0,4,0,0,0,2,2
#31,Robinson,8.1,0,0,0,2.0,0.0,0,0,0,3,0,1,0,0,0,0,0,0,0
#30,Von Haydin,0.1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
#10,Vezaro,15.6,1,0,0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,1,1,2
Equipe,Equipe,0.0,19,8,3,28.0,19.0,6,0,82,196,11,33,19,40,11,15,19,19,38
