Nr.,Jogador,Min,AS,BR,TO,FC,FR,ER,EN,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT
#19,Leandrinho,41.1,3,1,0,0.0,3.0,2,0,30,66,3,10,8,15,5,6,4,1,5
#5,Davi,27.6,4,0,0,5.0,1.0,0,0,14,23,3,5,2,3,1,2,1,1,2
#10,Alex,28.8,3,0,1,5.0,3.0,1,0,13,35,0,4,5,10,3,3,5,2,7
#0,Tyrone,40.0,5,3,1,2.0,2.0,2,1,13,37,2,9,3,4,1,2,3,3,6
#22,Scott,30.4,3,0,0,4.0,6.0,1,2,9,14,0,0,4,6,1,2,6,7,13
#1,Deodato,22.4,2,2,0,2.0,1.0,2,0,4,19,0,5,2,2,0,0,2,1,3
#8,Jackson Jr,14.4,0,0,0,3.0,1.0,1,0,3,22,1,6,0,2,0,0,1,0,1
#6,Shilton,18.2,0,1,0,3.0,2.0,0,0,3,10,0,0,1,4,1,2,4,3,7
#3,Queiroz,1.5,0,0,0,1.0,0.0,0,0,0,3,0,1,0,0,0,0,1,0,1
#20,Alexei,0.7,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
#35,Marcos,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
#13,Tiago,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equipe,Equipe,0.0,20,7,2,25.0,19.0,10,3,89,229,9,40,25,46,12,17,30,20,50
#9,Lucas Dias,35.2,2,0,0,0.0,4.0,1,2,24,48,4,9,4,8,4,5,7,1,8
#32,David Jackson,38.7,4,0,1,1.0,7.0,0,0,23,33,2,3,4,7,9,10,5,0,5
#5,Elinho,41.7,7,1,1,3.0,3.0,5,0,14,35,3,7,2,6,1,2,6,0,6
#30,Hettsheimeir,28.4,0,0,0,4.0,4.0,1,0,14,31,2,4,4,9,0,1,2,1,3
#87,Guilherme,16.6,3,0,0,3.0,3.0,2,1,9,15,0,1,2,3,5,6,3,0,3
#18,Jimmy,37.6,1,0,0,4.0,2.0,3,2,7,18,1,2,2,6,0,0,2,3,5
#20,Schattmann,13.8,3,0,0,3.0,2.0,1,0,6,6,2,2,0,0,0,0,0,0,0
#23,Augusto,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
#15,Cipolini,9.9,0,2,1,1.0,0.0,1,0,0,3,0,1,0,0,0,0,3,0,3
#5,Jean,3.3,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,1
Equipe,Equipe,0.0,21,3,3,20.0,25.0,15,5,97,189,14,29,18,39,19,24,32,7,39
