Nr.,Jogador,Min,AS,BR,TO,FC,FR,ER,EN,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT
#9,Lucas Dias,32.6,1,0,0,1.0,5.0,1,1,23,34,2,4,6,7,5,8,1,0,1
#32,David Jackson,35.1,2,1,0,3.0,6.0,1,0,17,51,2,8,2,10,7,7,4,2,6
#30,Hettsheimeir,28.8,5,1,0,4.0,3.0,2,0,10,26,1,4,3,6,1,2,3,3,6
#5,Elinho,30.1,3,2,0,3.0,2.0,1,0,9,14,3,4,0,1,0,0,3,1,4
#20,Schattmann,21.7,4,1,0,3.0,2.0,2,0,9,20,1,4,2,3,2,2,5,1,6
#87,Guilherme,14.6,1,0,0,3.0,4.0,1,0,9,11,0,0,2,2,5,7,1,1,2
#18,Jimmy,24.5,1,1,0,0.0,0.0,0,0,5,5,1,1,1,1,0,0,2,0,2
#33,Guilherme,4.7,0,0,0,0.0,1.0,0,0,2,2,0,0,0,0,2,2,0,0,0
#4,Adyel,6.4,1,0,1,2.0,2.0,0,0,1,7,0,1,0,1,1,2,1,0,1
#3,Márcio,0.9,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,1
#11,Edu Marília,0.6,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
#21,Parodi,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equipe,Equipe,0.0,18,6,1,20.0,25.0,9,1,85,170,10,26,16,31,23,30,28,10,38
#28,Lucas,25.9,0,0,1,2.0,4.0,0,1,13,37,2,9,2,3,3,4,4,0,4
#9,Paulinho,18.7,3,0,0,2.0,2.0,1,0,12,26,4,8,0,1,0,0,2,0,2
#5,Jamaal,28.8,4,2,0,1.0,4.0,3,0,10,24,2,6,1,2,2,2,2,2,4
#4,Cauê,27.7,0,1,0,3.0,2.0,3,0,9,15,0,2,3,3,3,3,2,2,4
#15,Diego,15.9,3,0,0,3.0,1.0,2,0,7,12,1,2,2,3,0,0,1,1,2
#17,Du Sommer,16.9,1,0,0,2.0,3.0,0,0,7,16,1,2,1,4,2,2,5,3,8
#36,Arthur,20.9,1,0,0,4.0,0.0,2,0,4,26,1,7,0,2,1,1,0,0,0
#3,Mogi,20.8,1,1,0,4.0,1.0,0,0,3,12,0,0,1,5,1,2,2,2,4
#35,Freddie,18.7,0,0,0,2.0,1.0,0,0,3,11,1,3,0,1,0,0,4,3,7
#13,Jackson,4.1,0,0,0,1.0,0.0,0,0,0,3,0,1,0,0,0,0,0,0,0
#21,Wesley,1.6,0,0,0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equipe,Equipe,0.0,13,4,1,27.0,18.0,12,1,68,182,12,40,10,24,12,14,23,14,37
