Nr.,Jogador,Min,AS,BR,TO,FC,FR,ER,EN,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT
#10,Alex,25.8,1,0,0,0.0,3.0,0,0,21,44,4,9,4,7,1,3,3,3,6
#3,Brite,30.0,5,4,0,2.0,2.0,3,0,17,35,0,2,7,13,3,3,1,0,1
#33,Felipe,31.7,0,1,1,2.0,4.0,1,0,14,23,1,3,4,5,3,4,7,1,8
#20,Davis,19.4,1,1,0,2.0,3.0,2,0,7,20,2,5,0,2,1,1,1,0,1
#12,Mathias,24.3,2,0,0,4.0,2.0,0,0,7,10,0,0,2,3,3,4,8,1,9
#8,Cauê,19.9,3,1,0,3.0,1.0,0,0,5,7,1,1,0,1,2,2,3,2,5
#17,Rashaun,26.8,3,1,0,2.0,3.0,2,0,4,17,0,3,1,2,2,4,1,0,1
#11,Vinicius,15.8,0,0,1,1.0,3.0,3,0,3,6,0,1,1,1,1,1,2,0,2
#7,Gabriel,2.4,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
#5,Armani,3.5,1,0,0,0.0,0.0,0,0,0,2,0,0,0,1,0,0,0,1,1
#45,J. Gabriel,0.6,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equipe,Equipe,0.0,16,8,2,16.0,21.0,11,0,78,164,8,24,19,35,16,22,28,9,37
#10,Gustavo,34.6,2,2,0,2.0,4.0,3,0,17,36,1,4,5,10,4,4,5,2,7
#55,Augusto,24.5,1,2,1,4.0,2.0,1,0,15,24,3,4,3,6,0,0,2,0,2
#22,Paulo,25.9,1,1,0,2.0,0.0,3,1,9,22,1,2,3,8,0,0,1,1,2
#16,Rodrigues,17.5,0,1,0,2.0,5.0,2,0,6,12,0,0,1,3,4,6,3,3,6
#44,Coimbra,22.5,1,1,0,2.0,0.0,1,0,6,8,0,0,3,4,0,0,3,2,5
#19,Gegê,27.5,4,2,0,2.0,3.0,3,0,2,22,0,2,1,8,0,0,3,0,3
#25,Scheuer,9.9,1,0,0,1.0,0.0,0,0,2,4,0,0,1,2,0,0,1,0,1
#1,Funches III,12.9,0,0,2,3.0,1.0,0,0,1,10,0,0,0,4,1,2,4,0,4
#5,Murilo,6.1,1,0,0,1.0,0.0,2,0,0,2,0,0,0,1,0,0,0,1,1
#20,Aquiles,10.1,1,0,0,1.0,0.0,0,0,0,6,0,2,0,0,0,0,1,0,1
#6,Leandro,8.4,1,0,0,1.0,1.0,0,0,0,9,0,1,0,3,0,0,2,1,3
Equipe,Equipe,0.0,13,9,3,21.0,16.0,15,1,58,155,5,15,17,49,9,12,27,14,41
