Nr.,Jogador,Min,AS,BR,TO,FC,FR,ER,EN,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT
#3,Brite,30.6,1,1,0,4.0,2.0,2,0,21,38,5,10,2,3,2,2,3,2,5
#11,Vinicius,30.7,2,1,1,3.0,8.0,0,2,15,26,0,0,4,9,7,8,6,3,9
#17,Rashaun,34.2,1,0,0,2.0,4.0,1,0,14,38,2,7,2,6,4,5,2,0,2
#14,Sualisson,30.8,3,0,2,3.0,1.0,2,0,14,26,0,0,7,13,0,0,12,4,16
#8,Cauê,11.0,0,0,0,2.0,1.0,1,0,6,11,0,1,3,3,0,2,2,1,3
#10,Alex,25.5,0,0,1,5.0,3.0,0,0,5,18,1,4,0,1,2,4,2,1,3
#7,Gabriel,1.8,0,0,0,0.0,0.0,0,0,2,2,0,0,1,1,0,0,0,0,0
#20,Davis,23.7,0,2,0,4.0,2.0,2,0,1,19,0,5,0,1,1,2,2,0,2
#12,Mathias,9.4,0,0,0,2.0,1.0,2,0,1,5,0,1,0,0,1,2,3,0,3
#5,Armani,2.4,0,0,0,0.0,0.0,0,0,0,2,0,0,0,1,0,0,0,0,0
#45,J. Gabriel,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equipe,Equipe,0.0,7,4,4,25.0,22.0,12,2,79,185,8,28,19,38,17,25,34,12,46
#10,Alex,32.5,4,2,0,3.0,3.0,0,0,29,42,4,7,6,8,5,5,4,0,4
#1,Deodato,31.6,1,1,1,3.0,3.0,1,0,18,32,4,8,0,1,6,6,4,1,5
#22,Scott,25.1,1,0,0,4.0,7.0,1,0,15,24,0,0,4,7,7,10,4,1,5
#19,Leandrinho,30.4,7,1,0,3.0,3.0,4,0,6,30,0,6,2,4,2,4,2,1,3
#5,Davi,27.0,3,0,0,3.0,3.0,0,0,6,19,2,5,0,2,0,0,5,1,6
#6,Shilton,14.5,0,1,0,4.0,1.0,1,0,3,5,0,0,1,2,1,1,1,1,2
#0,Tyrone,16.7,2,0,0,1.0,2.0,2,0,3,17,0,2,1,5,1,1,4,0,4
#8,Jackson Jr,9.6,0,0,0,1.0,2.0,0,0,2,7,0,1,0,0,2,4,1,1,2
#3,Queiroz,6.5,0,0,0,1.0,0.0,0,0,0,3,0,1,0,0,0,0,3,0,3
#20,Alexei,6.1,0,0,0,0.0,1.0,0,0,0,9,0,3,0,0,0,0,1,0,1
Equipe,Equipe,0.0,18,5,1,23.0,25.0,9,0,82,188,10,33,14,29,24,31,31,8,39
