Nr.,Jogador,Min,AS,BR,TO,FC,FR,ER,EN,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT
#5,Jamaal,34.0,4,0,0,2.0,4.0,2,0,19,36,5,10,2,3,0,0,4,0,4
#15,Diego,26.2,2,4,0,2.0,5.0,2,0,17,29,3,5,2,5,4,4,4,0,4
#17,Du Sommer,32.2,3,1,2,2.0,2.0,1,1,13,19,2,2,3,6,1,1,4,0,4
#28,Lucas,10.8,0,2,0,3.0,1.0,0,1,12,21,1,2,4,7,1,1,0,2,2
#10,Coelho,22.3,6,2,0,4.0,3.0,0,0,11,18,1,2,2,4,4,4,0,1,1
#36,Arthur,15.0,3,0,0,1.0,0.0,1,0,6,15,0,3,3,3,0,0,1,2,3
#3,Mogi,17.6,1,0,0,4.0,1.0,0,0,5,10,1,2,0,1,2,2,3,1,4
#35,Freddie,7.1,0,1,1,4.0,2.0,1,0,5,11,1,1,0,2,2,2,2,1,3
#4,Cauê,24.4,1,1,0,3.0,3.0,1,0,2,18,0,4,1,3,0,0,3,1,4
#21,Wesley,3.8,0,1,0,1.0,2.0,0,0,2,2,0,0,1,1,0,0,0,0,0
#13,Jackson,1.6,0,0,0,1.0,0.0,0,0,0,3,0,1,0,0,0,0,0,0,0
#9,Paulinho,5.2,1,0,0,0.0,0.0,0,0,0,10,0,2,0,2,0,0,0,0,0
Equipe,Equipe,0.0,21,12,3,27.0,23.0,8,2,92,192,14,34,18,37,14,14,24,10,34
#1,Gerson,33.5,3,0,0,3.0,7.0,1,3,20,27,0,0,7,9,6,9,6,2,8
#23,Baxley,18.7,1,0,0,2.0,5.0,1,0,19,28,2,2,2,6,9,10,1,0,1
#12,Pedro,26.1,2,0,0,2.0,4.0,1,0,13,24,2,4,2,4,3,4,1,0,1
#30,Enzo,28.3,0,0,0,4.0,5.0,1,0,11,25,3,7,0,0,2,4,5,0,5
#9,Pastor,18.2,1,2,0,2.0,1.0,3,0,4,8,0,0,2,4,0,0,2,0,2
#10,Ansaloni,22.0,2,0,0,3.0,1.0,4,0,3,12,0,1,0,3,3,3,5,1,6
#32,Sahdi,22.4,5,1,0,2.0,3.0,6,0,2,8,0,2,0,0,2,2,1,0,1
#3,Lucão,4.9,0,0,0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0
#2,Thiaguinho,6.4,1,0,0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,1
#33,Figueroa,18.2,4,0,0,2.0,1.0,2,0,0,2,0,0,0,1,0,0,3,0,3
#34,Lelê,1.5,0,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equipe,Equipe,0.0,19,3,0,23.0,27.0,20,3,72,134,7,16,13,27,25,32,29,3,32
