Nr.,Jogador,Min,AS,BR,TO,FC,FR,ER,EN,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT
#2,Fúlvio,25.8,7,4,0,1.0,1.0,5,0,16,22,2,4,4,4,2,2,5,1,6
#40,André Goes,34.2,2,2,0,0.0,0.0,0,0,15,27,5,7,0,3,0,0,5,0,5
#24,Paranhos,21.0,0,0,1,1.0,4.0,0,1,13,24,0,0,5,10,3,4,2,4,6
#4,Alexey,20.2,3,2,0,3.0,5.0,4,0,12,25,2,5,2,3,2,4,1,1,2
#9,Fuzaro,33.6,1,2,2,2.0,3.0,2,1,11,27,0,3,4,7,3,4,7,1,8
#10,Fabricio,31.3,3,0,1,2.0,2.0,1,0,11,29,2,8,1,1,3,3,2,2,4
#32,Lessa,10.5,1,1,0,3.0,1.0,0,0,4,8,0,1,2,2,0,1,0,1,1
#16,João Pedro,12.0,1,0,1,3.0,0.0,1,0,3,6,1,2,0,0,0,0,2,0,2
#13,Alex,2.2,0,0,0,0.0,0.0,0,1,2,4,0,0,1,2,0,0,2,0,2
#22,F Cardoso,1.2,0,0,0,0.0,0.0,0,0,2,2,0,0,1,1,0,0,0,1,1
#8,Colina,1.5,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,1
#0,Guga,6.7,1,1,0,1.0,0.0,1,0,0,4,0,0,0,2,0,0,1,0,1
Equipe,Equipe,0.0,20,12,5,16.0,16.0,14,3,89,178,12,30,20,35,13,18,31,14,45
#5,Jamaal,32.1,6,1,0,3.0,8.0,5,0,18,25,4,5,1,3,4,4,1,0,1
#28,Lucas,29.3,2,1,2,0.0,5.0,2,0,13,26,1,4,4,6,2,2,4,2,6
#9,Paulinho,12.9,2,1,0,2.0,1.0,1,0,7,15,1,2,2,4,0,1,0,0,0
#15,Diego,18.3,0,0,0,2.0,0.0,0,0,6,17,0,1,3,7,0,0,3,1,4
#4,Cauê,36.7,2,1,0,2.0,1.0,2,0,6,18,2,4,0,3,0,0,2,0,2
#36,Arthur,19.6,1,1,0,2.0,0.0,2,0,4,14,0,2,2,4,0,0,3,1,4
#35,Freddie,17.6,0,1,2,3.0,1.0,0,0,4,13,0,1,2,5,0,0,2,0,2
#3,Mogi,31.3,1,0,0,2.0,0.0,3,0,3,19,1,5,0,2,0,0,4,1,5
#13,Jackson,2.2,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
#10,Coelho,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equipe,Equipe,0.0,14,6,4,16.0,16.0,16,0,61,147,9,24,14,34,6,7,22,5,27
