Nr.,Jogador,Min,AS,BR,TO,FC,FR,ER,EN,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT
#36,Arthur,35.0,2,0,0,1.0,4.0,1,0,25,47,4,7,4,10,5,6,8,3,11
#4,Cauê,36.3,5,2,2,1.0,10.0,3,0,20,35,1,4,5,8,7,7,3,2,5
#15,Diego,16.8,1,1,0,4.0,4.0,1,0,15,20,2,3,4,5,1,1,2,0,2
#9,Paulinho,23.6,2,1,0,2.0,0.0,4,0,8,23,2,5,1,4,0,0,2,0,2
#28,Lucas,15.1,1,1,0,3.0,0.0,5,1,7,11,1,1,2,4,0,0,3,2,5
#5,Jamaal,25.8,6,2,0,4.0,4.0,3,0,4,16,0,4,1,1,2,2,2,0,2
#3,Mogi,25.9,3,0,3,4.0,1.0,0,0,4,10,0,2,2,2,0,0,2,2,4
#17,Du Sommer,13.2,0,0,1,3.0,1.0,3,0,2,7,0,1,1,2,0,0,1,2,3
#10,Coelho,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
#13,Jackson,3.0,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
#21,Wesley,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
#35,Freddie,5.5,0,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,1
Equipe,Equipe,0.0,21,7,6,23.0,25.0,22,1,85,169,10,27,20,36,15,16,27,14,41
#55,Augusto,21.3,0,0,0,3.0,2.0,1,0,21,38,3,7,5,7,2,3,1,0,1
#19,Gegê,29.9,3,3,0,5.0,5.0,3,0,11,20,3,4,1,4,0,0,1,1,2
#10,Gustavo,30.6,3,2,0,4.0,2.0,2,0,11,20,1,4,3,3,2,2,2,0,2
#44,Coimbra,21.0,1,0,1,3.0,2.0,2,0,11,11,0,0,5,5,1,1,3,1,4
#22,Paulo,24.2,3,4,1,4.0,4.0,1,0,9,26,0,2,2,6,5,8,2,2,4
#1,Funches III,30.3,2,0,2,2.0,6.0,2,0,9,17,0,0,2,5,5,7,2,0,2
#2,Smith,28.0,4,1,0,1.0,1.0,4,0,5,26,1,6,1,4,0,0,1,1,2
#16,Rodrigues,7.2,1,0,0,2.0,0.0,1,1,2,4,0,0,1,2,0,0,0,0,0
#5,Murilo,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
#20,Aquiles,0.2,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1
#6,Leandro,4.3,0,0,0,1.0,0.0,0,0,0,3,0,1,0,0,0,0,2,0,2
#25,Scheuer,3.1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equipe,Equipe,0.0,17,10,4,25.0,22.0,17,1,79,165,8,24,20,36,15,21,16,9,25
