Nr.,Jogador,Min,AS,BR,TO,FC,FR,ER,EN,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT
#30,Hettsheimeir,29.9,2,0,0,3.0,7.0,3,1,28,52,2,6,8,14,6,6,9,3,12
#32,David Jackson,32.1,1,0,0,1.0,3.0,3,0,14,26,1,4,3,4,5,6,4,0,4
#9,Lucas Dias,27.7,0,0,0,3.0,4.0,0,0,12,17,2,3,1,2,4,4,0,1,1
#20,Schattmann,18.3,1,0,0,1.0,2.0,2,0,10,19,0,3,4,4,2,2,2,0,2
#21,Parodi,23.0,4,2,0,3.0,3.0,3,0,9,19,1,3,2,4,2,2,3,1,4
#15,Cipolini,12.1,1,0,0,0.0,2.0,1,0,9,17,1,3,2,3,2,2,1,0,1
#18,Jimmy,23.9,3,3,0,2.0,1.0,0,1,6,12,0,2,2,2,2,2,0,1,1
#87,Guilherme,10.1,1,0,0,5.0,2.0,0,0,3,10,0,2,0,0,3,4,2,1,3
#11,Edu Marília,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
#5,Elinho,22.9,2,1,0,3.0,1.0,0,0,0,10,0,2,0,2,0,0,4,2,6
#3,Márcio,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
#4,Adyel,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equipe,Equipe,0.0,15,6,0,21.0,25.0,12,2,91,182,7,28,22,35,26,28,27,11,38
#19,Leandrinho,33.0,3,3,0,4.0,7.0,3,0,33,55,2,7,10,13,7,8,2,0,2
#10,Alex,26.6,3,1,0,5.0,5.0,4,0,13,27,1,2,2,7,6,7,3,0,3
#8,Jackson Jr,28.6,0,0,0,4.0,3.0,2,0,13,27,3,7,2,3,0,0,2,1,3
#22,Scott,37.7,4,1,2,3.0,3.0,2,0,10,18,0,0,4,8,2,2,8,1,9
#0,Tyrone,30.1,2,0,0,3.0,2.0,0,0,6,12,0,2,3,3,0,0,3,1,4
#7,Black,7.9,0,0,0,3.0,0.0,1,0,3,6,1,2,0,0,0,0,0,0,0
#5,Davi,19.8,0,0,0,1.0,0.0,0,0,2,10,0,2,1,2,0,0,1,0,1
#1,Deodato,14.3,1,1,0,1.0,0.0,0,0,2,9,0,1,1,3,0,0,1,0,1
#6,Shilton,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
#20,Alexei,1.2,0,0,0,1.0,0.0,0,0,0,3,0,1,0,0,0,0,0,0,0
#3,Queiroz,0.9,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equipe,Equipe,0.0,13,6,2,25.0,20.0,13,0,82,167,7,24,23,39,15,17,23,4,27
