Nr.,Jogador,Min,AS,BR,TO,FC,FR,ER,EN,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT
#0,Thornton,26.1,0,0,0,2.0,1.0,0,0,13,27,1,2,5,10,0,1,2,0,2
#10,Gustavo,26.8,2,0,0,3.0,2.0,3,0,11,23,1,3,3,6,2,2,0,1,1
#16,Rodrigues,13.8,0,0,0,3.0,4.0,1,0,9,14,0,0,3,5,3,4,3,0,3
#1,Funches III,31.9,2,3,0,2.0,1.0,0,0,9,24,0,0,4,11,1,2,5,2,7
#19,Gegê,25.4,10,3,0,4.0,1.0,5,0,8,12,2,2,1,3,0,0,2,0,2
#22,Paulo,16.2,0,0,0,0.0,0.0,1,0,6,10,2,2,0,2,0,0,2,2,4
#55,Augusto,13.7,4,1,0,1.0,1.0,0,0,5,10,1,2,1,2,0,0,0,0,0
#25,Scheuer,12.2,0,0,0,2.0,1.0,0,0,4,6,0,0,2,3,0,0,2,1,3
#9,Phillips,19.8,3,1,0,1.0,2.0,0,0,2,17,0,3,1,4,0,0,3,0,3
#44,Coimbra,7.3,0,1,0,3.0,0.0,1,0,2,4,0,0,1,2,0,0,0,0,0
#20,Aquiles,2.3,0,0,0,0.0,1.0,0,0,2,3,0,0,1,1,0,1,0,0,0
#6,Leandro,4.7,0,1,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equipe,Equipe,0.0,21,10,0,21.0,15.0,11,0,71,150,7,14,22,49,6,10,20,7,27
#11,Marquinhos,30.7,8,1,0,1.0,6.0,3,0,21,35,3,7,3,4,6,6,5,0,5
#71,Demétrio,24.4,1,1,1,1.0,3.0,2,0,17,25,1,2,5,7,4,5,4,1,5
#32,Zach Graham,22.6,0,0,0,0.0,2.0,2,1,12,21,1,4,4,4,1,1,3,0,3
#33,Vargas,13.9,1,0,0,2.0,6.0,0,0,11,17,0,0,3,4,5,9,4,1,5
#7,Jhonatan,20.8,3,1,0,3.0,2.0,1,0,9,16,1,2,2,4,2,2,3,2,5
#9,Deryk,22.1,1,1,0,2.0,1.0,0,0,7,12,1,2,2,3,0,0,1,1,2
#6,Balbi,31.8,6,0,0,2.0,1.0,2,0,5,14,1,2,1,4,0,0,5,0,5
#12,Mineiro,20.8,2,0,0,3.0,0.0,0,0,4,9,0,1,2,3,0,0,2,1,3
#16,Olivinha,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
#1,Pedro Nunes,3.8,0,0,0,0.0,0.0,1,0,0,3,0,1,0,0,0,0,1,0,1
#34,Maciel,1.6,0,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,1
#55,Barrera,7.6,1,0,0,0.0,0.0,0,0,0,6,0,2,0,0,0,0,0,0,0
Equipe,Equipe,0.0,23,4,1,15.0,21.0,11,1,86,158,8,23,22,33,18,23,31,7,38
