Nr.,Jogador,Min,AS,BR,TO,FC,FR,ER,EN,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT
#36,Arthur,32.3,2,0,0,3.0,0.0,2,0,25,43,5,9,5,8,0,0,3,0,3
#5,Jamaal,37.0,4,2,0,4.0,8.0,2,0,11,34,1,7,2,3,4,7,4,0,4
#10,Coelho,34.0,6,1,0,4.0,4.0,4,0,10,29,1,7,2,2,3,4,0,5,5
#3,Mogi,24.1,1,0,0,3.0,2.0,0,0,10,21,2,5,2,3,0,0,2,0,2
#28,Lucas,13.2,0,0,1,3.0,3.0,4,0,6,17,0,1,3,7,0,0,1,3,4
#35,Freddie,14.7,1,0,1,1.0,0.0,1,0,5,18,1,2,1,6,0,0,4,1,5
#17,Du Sommer,28.4,2,1,0,5.0,2.0,2,0,2,14,0,2,1,4,0,0,4,3,7
#9,Paulinho,4.9,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
#13,Jackson,0.7,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
#4,Cauê,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
#21,Wesley,2.8,0,1,0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0
#15,Diego,7.9,2,0,0,3.0,0.0,0,0,0,5,0,1,0,1,0,0,0,1,1
Equipe,Equipe,0.0,19,5,2,27.0,19.0,17,0,69,181,10,34,16,34,7,11,21,15,36
#9,Fuzaro,33.0,6,3,0,1.0,7.0,3,0,19,24,2,3,4,5,5,5,3,1,4
#20,Gruber,24.8,1,0,0,3.0,3.0,2,0,16,31,2,5,3,6,4,4,1,2,3
#10,Fabricio,30.8,0,0,0,1.0,5.0,3,0,14,20,4,6,0,0,2,2,5,0,5
#24,Paranhos,27.6,0,2,0,3.0,4.0,4,0,12,20,0,0,6,9,0,2,6,3,9
#40,André Goes,35.2,7,5,0,4.0,4.0,7,0,11,26,0,1,3,8,5,7,6,0,6
#32,Lessa,10.3,0,0,0,2.0,0.0,0,0,3,10,1,2,0,2,0,0,1,0,1
#3,Lucas,20.1,2,0,0,0.0,0.0,1,0,2,12,0,2,1,3,0,0,2,1,3
#0,Guga,13.8,1,0,0,4.0,0.0,0,0,2,5,0,1,1,1,0,0,0,0,0
#13,Alex,4.5,0,0,1,1.0,1.0,1,0,0,2,0,0,0,1,0,0,0,1,1
#8,Colina,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equipe,Equipe,0.0,17,10,1,20.0,24.0,21,0,79,150,9,20,18,35,16,20,28,8,36
