Nr.,Jogador,Min,AS,BR,TO,FC,FR,ER,EN,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT
#23,Pecos,32.7,8,0,0,1.0,5.0,2,0,19,35,2,4,5,9,3,5,7,2,9
#2,Fuller,26.1,2,1,0,3.0,5.0,3,0,17,37,2,6,4,6,3,7,2,0,2
#25,Nesbitt,31.8,4,1,1,1.0,5.0,3,0,15,23,1,1,4,7,4,4,5,4,9
#10,Vezaro,19.5,2,0,0,4.0,2.0,0,0,11,20,2,5,1,1,3,3,3,1,4
#11,Teichmann,11.8,0,2,1,3.0,1.0,1,3,9,10,0,0,4,4,1,2,4,1,5
#32,Johnson,10.4,0,1,0,2.0,1.0,1,1,6,12,0,0,3,6,0,0,1,3,4
#31,Robinson,22.3,1,0,1,2.0,1.0,1,0,1,9,0,1,0,2,1,2,3,1,4
#12,Humberto,13.6,0,0,0,0.0,0.0,4,0,0,7,0,1,0,2,0,0,2,0,2
#21,Wesley,24.4,0,0,0,0.0,2.0,0,0,0,12,0,2,0,3,0,0,6,0,6
#0,Douglas Santos,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
#8,Dalaqua,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equipe,Equipe,0.0,17,5,3,16.0,22.0,16,4,78,165,7,20,21,40,15,23,34,13,47
#2,Yago,33.3,2,2,0,3.0,6.0,1,0,23,46,5,10,3,6,2,4,0,0,0
#1,Solano,31.9,2,0,0,3.0,4.0,3,0,16,40,2,6,4,10,2,2,2,0,2
#20,Dikembe,30.4,0,1,0,4.0,0.0,4,6,12,26,0,0,6,13,0,0,4,5,9
#10,Vitão,16.0,0,0,0,4.0,1.0,0,0,6,11,2,3,0,1,0,0,3,0,3
#7,D. Coleman,27.5,2,2,0,3.0,2.0,2,0,4,18,0,4,1,2,2,2,4,0,4
#33,Eddy,23.3,1,1,0,1.0,0.0,0,0,2,14,0,4,1,1,0,0,2,0,2
#4,Ruivo,12.2,1,0,0,1.0,2.0,0,0,1,5,0,1,0,0,1,2,3,0,3
#50,Jonatan,0.8,0,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
#32,Anderson,0.6,0,0,0,1.0,0.0,0,0,0,3,0,1,0,0,0,0,0,0,0
#16,Buiú,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
#35,Maique,14.3,0,0,0,0.0,1.0,1,0,0,2,0,0,0,1,0,0,1,2,3
#3,Kevin Foster,9.8,0,0,1,1.0,0.0,0,0,0,7,0,1,0,2,0,0,1,0,1
Equipe,Equipe,0.0,8,6,1,23.0,16.0,11,6,64,172,9,30,15,36,7,10,23,9,32
