Nr.,Jogador,Min,AS,BR,TO,FC,FR,ER,EN,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT
#35,Gemadinha,35.6,1,1,0,0.0,5.0,1,0,20,36,4,8,3,5,2,2,2,1,3
#34,Barnes,37.1,6,0,0,3.0,1.0,2,0,12,31,1,4,4,9,1,1,3,2,5
#33,Miller,26.9,1,1,0,1.0,1.0,1,1,10,33,2,7,2,6,0,0,2,1,3
#6,Gemerson,20.6,2,2,0,2.0,2.0,1,0,9,14,1,2,3,4,0,0,8,1,9
#24,Douglas Nunes,29.4,5,1,2,3.0,1.0,2,0,6,20,0,2,3,7,0,0,6,4,10
#7,Gabriel,15.5,0,1,0,1.0,1.0,1,0,6,16,0,2,3,4,0,2,0,0,0
#0,João Vitor,7.3,0,0,2,1.0,2.0,1,1,2,9,0,0,1,3,0,3,1,0,1
#25,Dixson,1.5,0,0,0,0.0,0.0,0,0,0,6,0,2,0,0,0,0,0,0,0
#4,Pepo Vidal,3.7,1,0,0,1.0,1.0,0,0,0,3,0,1,0,0,0,0,0,0,0
#10,R. Piru,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
#21,Pezão,3.3,0,0,0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,1,2
#11,Antonio,19.2,0,1,1,3.0,2.0,0,0,0,3,0,1,0,0,0,0,3,0,3
Equipe,Equipe,0.0,16,7,5,15.0,16.0,11,2,65,171,8,29,19,38,3,8,33,11,44
#17,Rashaun,28.5,2,0,0,4.0,0.0,1,0,10,33,2,3,2,12,0,0,5,0,5
#8,Cauê,24.5,0,1,0,2.0,2.0,0,0,10,21,0,2,4,6,2,3,4,2,6
#11,Vinicius,26.8,0,1,1,2.0,4.0,2,0,8,24,0,1,3,9,2,3,1,4,5
#14,Sualisson,29.9,0,2,1,2.0,2.0,2,1,8,21,0,1,4,8,0,0,4,4,8
#3,Brite,23.4,3,2,0,1.0,1.0,1,0,8,24,0,4,3,5,2,2,2,1,3
#20,Davis,16.4,1,1,0,2.0,1.0,1,0,6,27,2,7,0,3,0,0,0,1,1
#10,Alex,31.1,1,1,0,2.0,3.0,1,0,5,24,0,3,2,6,1,3,6,2,8
#7,Gabriel,2.2,0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
#5,Armani,4.0,0,0,0,0.0,1.0,2,0,0,0,0,0,0,0,0,0,0,0,0
#12,Mathias,13.2,0,0,2,1.0,0.0,0,0,0,3,0,1,0,0,0,0,3,0,3
Equipe,Equipe,0.0,7,9,4,17.0,14.0,12,1,55,177,4,22,18,49,7,11,29,19,48
