Nr.,Jogador,Min,AS,BR,TO,FC,FR,ER,EN,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT
#25,Gabriel Jaú,26.5,0,0,0,4.0,2.0,2,0,16,29,2,4,4,7,2,3,2,0,2
#4,Larry,29.2,2,1,0,2.0,2.0,3,0,15,26,3,4,3,6,0,2,2,1,3
#7,Wiggins,32.4,0,1,1,2.0,4.0,3,0,13,32,1,3,4,9,2,5,6,1,7
#3,Faggiano,27.4,2,2,0,3.0,3.0,4,0,12,22,0,1,3,6,6,7,3,0,3
#15,Renato,29.7,0,1,1,4.0,3.0,4,0,9,16,0,0,4,7,1,2,7,4,11
#10,Draper,16.3,0,1,0,5.0,1.0,0,0,6,11,0,1,3,4,0,0,4,0,4
#6,Brito,0.8,0,0,0,0.0,0.0,0,0,3,3,1,1,0,0,0,0,0,0,0
#20,Pará,10.1,1,0,0,2.0,2.0,0,0,1,5,0,1,0,0,1,2,2,0,2
#13,Malachias,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
#8,Crescenzi,27.9,1,1,0,0.0,1.0,2,0,0,14,0,4,0,1,0,0,4,0,4
Equipe,Equipe,0.0,6,7,2,23.0,18.0,20,0,75,158,7,19,21,40,12,21,32,10,42
#1,Fischer,30.6,5,1,0,2.0,5.0,5,0,18,26,2,4,5,6,2,2,2,1,3
#31,Robinson,27.9,1,1,1,3.0,2.0,0,0,15,32,1,4,5,8,2,4,5,0,5
#25,Nesbitt,30.5,3,1,0,4.0,4.0,1,1,13,23,1,3,3,5,4,4,4,3,7
#23,Pecos,19.9,1,1,0,3.0,3.0,0,0,8,24,2,4,0,5,2,2,5,3,8
#12,Humberto,25.8,2,0,0,3.0,2.0,1,0,8,19,1,3,1,3,3,4,2,1,3
#21,Wesley,19.1,2,1,0,0.0,2.0,0,0,5,14,0,1,2,5,1,1,2,0,2
#2,Fuller,21.9,0,1,0,1.0,0.0,2,0,4,19,0,3,2,5,0,0,1,0,1
#10,Vezaro,18.7,1,0,0,3.0,1.0,1,0,2,11,0,3,0,0,2,2,3,0,3
#32,Johnson,3.3,0,0,0,0.0,2.0,1,0,1,6,0,0,0,2,1,2,0,0,0
#0,Douglas Santos,2.3,0,0,0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0
#6,Honorato,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
#35,Yan,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equipe,Equipe,0.0,15,6,1,20.0,21.0,12,1,74,174,7,25,18,39,17,21,27,9,36
