,0
125,https://lnb.com.br/noticias/festa-em-dobro/
126,https://lnb.com.br/noticias/bola-na-mao-dele/
127,https://lnb.com.br/noticias/magic-smith/
128,https://lnb.com.br/noticias/de-ponta-a-ponta/
129,https://lnb.com.br/noticias/so-na-sexta-feira/
130,https://lnb.com.br/noticias/ferveu/
131,https://lnb.com.br/noticias/serie-dos-visitantes/
132,https://lnb.com.br/noticias/acabou-2/
133,https://lnb.com.br/noticias/primeira-vez/
134,https://lnb.com.br/noticias/de-outro-mundo/
135,https://lnb.com.br/noticias/na-experiencia/
136,https://lnb.com.br/noticias/nota-1000/
137,https://lnb.com.br/noticias/a-final-e-logo-ali/
138,https://lnb.com.br/noticias/tudoigual/
139,https://lnb.com.br/noticias/enfim-na-final/
140,https://lnb.com.br/noticias/no-embalo-da-torcida/
141,https://lnb.com.br/noticias/so-no-jogo-5/
142,https://lnb.com.br/noticias/38414/
143,https://lnb.com.br/noticias/flamengo-bicampeao/
