Nr.,Jogador,Min,AS,BR,TO,FC,FR,ER,EN,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT
#5,Jamaal,33.8,11,0,0,5.0,5.0,3,0,18,33,3,5,2,6,5,6,6,2,8
#36,Arthur,37.5,4,2,1,3.0,2.0,3,0,15,33,3,5,3,9,0,0,9,2,11
#10,Ansaloni,15.7,0,0,1,4.0,4.0,1,0,14,27,2,3,2,6,4,6,2,3,5
#35,Maique,29.6,2,1,1,3.0,2.0,4,3,12,24,0,0,5,10,2,2,5,3,8
#0,Guga,18.1,0,0,0,2.0,1.0,1,0,9,13,1,1,2,4,2,2,3,0,3
#3,Mogi,29.0,3,0,0,2.0,2.0,0,0,4,18,0,2,2,5,0,0,4,1,5
#21,Murilo,27.8,3,1,1,4.0,2.0,1,0,4,25,0,5,2,5,0,0,6,0,6
#11,Fabrício,6.5,0,0,0,2.0,2.0,0,0,1,9,0,1,0,2,1,2,0,0,0
#14,Yan,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
#23,Guapi,2.0,0,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1
Equipe,Equipe,0.0,23,4,4,26.0,20.0,14,3,77,182,9,22,18,47,14,18,36,13,49
#0,Roquemore,34.9,0,2,0,2.0,5.0,2,0,16,36,3,7,0,3,7,9,3,0,3
#14,Georginho,26.6,4,0,0,0.0,3.0,2,0,14,30,4,8,0,2,2,2,7,0,7
#23,Léo Meindl,30.4,6,0,0,4.0,6.0,2,0,13,32,1,4,4,9,2,2,9,2,11
#11,Antonio,16.0,1,1,0,3.0,3.0,1,1,9,14,0,1,3,3,3,5,0,4,4
#17,Du Sommer,17.8,0,0,0,5.0,2.0,2,0,7,20,0,0,2,8,3,4,2,2,4
#87,Guilherme,18.7,0,0,0,0.0,1.0,0,0,6,20,0,4,3,4,0,0,3,2,5
#2,Yago,19.3,4,1,0,2.0,3.0,2,0,5,20,1,4,0,3,2,2,4,0,4
#20,Dikembe,6.0,0,1,0,1.0,2.0,1,1,4,8,0,0,1,2,2,4,1,1,2
#33,Eddy,9.9,0,1,0,1.0,0.0,1,0,0,11,0,3,0,1,0,0,0,1,1
#10,Vitão,13.6,0,0,0,2.0,1.0,0,0,0,3,0,1,0,0,0,0,0,0,0
#44,Renan,6.6,0,0,0,1.0,0.0,0,0,0,8,0,2,0,1,0,0,1,1,2
#3,Danilo,0.4,0,0,0,0.0,0.0,0,0,0,3,0,1,0,0,0,0,0,0,0
Equipe,Equipe,0.0,15,6,0,21.0,26.0,14,2,74,205,9,35,13,36,21,28,32,15,47
