Nr.,Jogador,Min,AS,BR,TO,FC,FR,ER,EN,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT
#11,Jefferson,27.5,4,3,0,1.0,8.0,4,1,19,39,2,4,2,7,9,13,7,1,8
#30,Enzo,16.7,1,2,0,4.0,4.0,1,0,15,22,5,6,0,1,0,2,2,0,2
#28,Lucas,30.0,2,0,1,2.0,1.0,2,0,14,24,2,4,3,5,2,2,4,1,5
#10,Gustavo,21.3,2,3,0,3.0,1.0,1,0,8,13,2,3,1,2,0,0,1,0,1
#3,Gui Santos,25.6,2,3,0,4.0,3.0,1,0,7,21,0,1,3,8,1,2,3,0,3
#8,Cauê,28.1,5,1,0,2.0,0.0,1,0,6,6,2,2,0,0,0,0,3,0,3
#2,Fúlvio,20.2,2,0,0,0.0,2.0,2,0,6,6,2,2,0,0,0,0,2,0,2
#11,Vinicius,19.7,2,0,0,2.0,3.0,1,1,5,11,0,1,2,3,1,2,3,0,3
#7,Renato,4.6,0,0,0,1.0,0.0,0,0,2,4,0,0,1,2,0,0,1,1,2
#20,Pará,5.0,1,0,0,1.0,0.0,1,0,0,2,0,0,0,1,0,0,0,0,0
#11,Emanuel,1.3,0,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equipe,Equipe,0.0,21,12,1,21.0,22.0,14,2,82,148,15,23,12,29,13,21,30,4,34
#3,Mogi,19.1,2,0,0,4.0,6.0,1,1,12,26,1,4,4,5,1,4,4,1,5
#36,Arthur,33.6,0,0,0,3.0,1.0,4,0,12,28,2,6,2,4,2,2,3,1,4
#4,Cauê,30.7,1,3,0,3.0,3.0,3,0,10,25,1,5,3,4,1,2,1,0,1
#5,Jamaal,36.1,6,2,0,3.0,5.0,2,0,10,23,1,4,3,5,1,1,3,1,4
#10,Ansaloni,22.1,0,0,0,3.0,1.0,1,0,7,21,0,1,3,8,1,2,5,0,5
#21,Murilo,17.8,0,1,1,3.0,2.0,1,0,4,11,0,1,2,4,0,0,4,1,5
#35,Maique,8.0,0,1,0,3.0,1.0,0,2,4,4,0,0,2,2,0,0,3,1,4
#0,Guga,21.1,1,0,0,0.0,0.0,1,0,2,11,0,1,1,4,0,0,0,0,0
#23,Guapi,1.7,0,0,0,0.0,0.0,0,0,2,4,0,0,1,2,0,0,1,1,2
#11,Fabrício,10.0,1,0,0,1.0,1.0,0,0,0,2,0,0,0,1,0,0,1,0,1
Equipe,Equipe,0.0,11,7,1,23.0,20.0,14,3,63,155,5,22,21,39,6,11,25,7,32
