Nr.,Jogador,Min,AS,BR,TO,FC,FR,ER,EN,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT
#2,Fuller,35.6,3,1,1,1.0,6.0,0,0,32,53,5,10,3,6,11,11,2,1,3
#21,Parodi,32.4,6,0,2,2.0,3.0,1,0,9,33,1,5,3,9,0,0,6,2,8
#12,Humberto,32.7,3,1,1,2.0,2.0,2,0,8,21,1,3,2,5,1,2,1,1,2
#12,Giovannoni,21.4,4,0,0,4.0,1.0,1,0,7,13,0,1,3,4,1,2,5,0,5
#6,Shilton,16.9,1,0,0,4.0,2.0,1,0,6,11,0,0,3,5,0,1,2,4,6
#33,Abner,13.6,2,1,0,5.0,1.0,0,1,6,14,0,0,3,7,0,0,2,3,5
#0,Douglas Santos,15.6,1,1,1,2.0,2.0,1,1,5,11,0,1,2,3,1,2,4,1,5
#11,Teichmann,11.8,0,0,2,5.0,0.0,2,0,4,6,0,0,2,3,0,0,3,1,4
#10,Gustavinho,10.3,1,0,0,3.0,0.0,0,0,0,6,0,0,0,3,0,0,0,2,2
#77,Gui Bento,0.8,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
#3,Nicolas Ronsini,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
#15,Aguiar,8.9,1,0,0,1.0,0.0,1,0,0,12,0,2,0,3,0,0,1,0,1
Equipe,Equipe,0.0,22,4,7,29.0,17.0,9,2,77,180,7,22,21,48,14,18,28,16,44
#26,Betinho,26.1,0,1,0,3.0,7.0,2,0,24,39,4,6,3,7,6,7,2,0,2
#7,Isaac,20.1,0,0,0,1.0,1.0,2,0,15,28,3,6,2,4,2,2,2,1,3
#15,Renato,32.2,2,1,0,4.0,1.0,1,0,13,23,3,3,1,5,2,4,3,1,4
#3,Bennett,33.7,4,0,0,3.0,2.0,2,0,8,19,1,3,2,4,1,2,2,1,3
#13,Toledo,26.6,0,0,1,3.0,8.0,1,0,7,19,0,0,2,6,3,7,8,5,13
#50,Ware,19.5,0,0,1,2.0,4.0,1,0,7,13,0,1,2,3,3,4,5,0,5
#14,Dawkins,27.3,6,1,0,2.0,3.0,0,0,6,21,1,2,1,6,1,3,2,0,2
#4,Ruivo,8.3,2,0,0,0.0,1.0,0,0,0,3,0,1,0,0,0,0,0,0,0
#7,Gabriel,6.2,0,0,0,0.0,0.0,1,0,0,6,0,2,0,0,0,0,1,0,1
#24,Sena,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
#21,Luan,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
#42,Mamedes,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equipe,Equipe,0.0,14,3,2,18.0,27.0,10,0,80,171,12,24,13,35,18,29,29,11,40
