Nr.,Jogador,Min,AS,BR,TO,FC,FR,ER,EN,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT
#13,Schneider,19.4,0,1,0,3.0,2.0,2,1,17,31,4,7,2,4,1,2,1,1,2
#24,Douglas Nunes,29.6,2,0,0,0.0,2.0,1,1,16,27,2,3,3,7,4,4,3,4,7
#9,Pastor,14.4,3,1,1,1.0,1.0,0,0,10,10,2,2,1,1,2,2,3,3,6
#32,Sahdi,24.8,6,0,0,2.0,8.0,5,0,10,12,2,2,0,1,4,4,2,1,3
#44,Coimbra,17.3,1,0,0,2.0,0.0,2,0,6,8,0,0,3,4,0,0,1,2,3
#41,Mineiro,17.2,0,0,0,1.0,4.0,1,0,6,12,0,0,2,5,2,2,4,1,5
#12,Pedro,20.7,4,1,0,2.0,3.0,2,0,4,19,0,3,2,5,0,0,2,0,2
#8,Dedé,9.8,0,0,0,2.0,1.0,0,0,4,15,0,3,1,2,2,2,0,0,0
#15,Márcio,30.3,2,1,0,2.0,1.0,2,0,3,21,1,5,0,3,0,0,1,0,1
#5,Hélio,16.6,5,0,0,3.0,0.0,1,0,3,5,1,1,0,1,0,0,2,0,2
#11,Guirro,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
#6,Eugeniusz,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equipe,Equipe,0.0,23,4,1,18.0,22.0,17,2,79,160,12,26,14,33,15,16,25,14,39
#36,Arthur,32.0,1,0,0,4.0,3.0,5,0,14,31,1,5,4,6,3,4,5,2,7
#3,Mogi,28.7,3,1,0,1.0,2.0,1,1,13,23,1,2,5,8,0,1,3,2,5
#10,Coelho,30.7,7,2,0,5.0,5.0,1,0,11,30,1,5,4,7,0,1,2,0,2
#5,Jamaal,30.6,5,2,0,1.0,3.0,2,0,10,22,1,5,2,2,3,3,1,0,1
#10,Ansaloni,18.2,0,0,0,4.0,2.0,1,0,10,21,0,3,4,5,2,2,2,3,5
#15,Diego,22.8,1,1,0,4.0,2.0,0,1,10,18,2,4,2,3,0,0,3,0,3
#0,Guga,5.1,0,0,0,1.0,0.0,0,0,2,6,0,0,1,3,0,0,0,0,0
#13,Jackson,8.0,0,1,0,1.0,0.0,0,0,2,5,0,1,1,1,0,0,0,0,0
#11,Fabrício,2.5,1,0,0,1.0,0.0,0,0,0,2,0,0,0,1,0,0,0,0,0
#4,Cauê,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
#35,Maique,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equipe,Equipe,0.0,18,7,0,22.0,17.0,14,2,72,158,6,25,23,36,8,11,19,8,27
