Nr.,Jogador,Min,AS,BR,TO,FC,FR,ER,EN,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT
#6,Graterol,28.3,0,2,1,3.0,1.0,1,2,23,30,2,3,8,10,1,1,3,1,4
#32,Zach Graham,30.0,1,2,0,1.0,3.0,4,0,11,23,2,2,1,6,3,5,3,1,4
#4,Arthur,26.4,5,1,0,2.0,1.0,2,0,9,24,1,2,2,8,2,2,2,1,3
#22,Pedro,16.8,1,1,1,3.0,3.0,1,0,8,13,0,1,3,4,2,2,3,0,3
#23,Nezinho,25.0,7,0,1,2.0,4.0,2,0,5,16,1,4,0,1,2,2,1,0,1
#32,Ricky Sánchez,26.9,1,0,0,4.0,0.0,1,0,4,15,0,1,2,6,0,0,4,0,4
#9,Rafa Moreira,11.4,0,0,0,4.0,1.0,1,0,3,9,1,3,0,0,0,0,1,0,1
#7,Pedrinho Rava,9.1,1,0,0,2.0,0.0,1,0,3,8,1,2,0,1,0,0,1,0,1
#9,Luis,4.8,1,0,0,0.0,0.0,0,0,3,11,1,3,0,1,0,0,1,0,1
#5,Marcelão,6.6,0,0,0,1.0,0.0,0,0,0,4,0,0,0,2,0,0,3,1,4
#20,Rodrigo,8.4,0,0,0,0.0,0.0,4,0,0,6,0,0,0,3,0,0,1,1,2
#13,Andrezão,6.5,0,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equipe,Equipe,0.0,17,6,3,23.0,13.0,17,2,69,159,9,21,16,42,10,12,27,7,34
#16,Olivinha,21.7,0,0,0,0.0,1.0,2,0,21,35,3,5,5,9,2,2,5,3,8
#11,Marquinhos,23.7,3,0,1,2.0,2.0,1,0,16,32,4,6,1,6,2,2,5,1,6
#12,Mineiro,21.5,1,0,0,0.0,3.0,0,1,11,17,1,1,3,5,2,4,4,3,7
#25,Nesbitt,14.8,0,0,0,4.0,3.0,2,1,9,18,0,2,3,4,3,4,0,0,0
#7,Jhonatan,18.3,2,0,1,1.0,0.0,0,0,7,22,1,4,2,5,0,0,1,4,5
#8,Crescenzi,9.2,0,1,0,1.0,1.0,0,0,7,15,2,3,0,2,1,2,1,0,1
#9,Deryk,21.2,4,1,0,2.0,2.0,1,0,6,20,1,4,1,3,1,2,1,1,2
#17,Varejão,22.3,1,1,1,1.0,5.0,2,0,5,18,0,0,1,7,3,4,4,2,6
#6,Balbi,24.2,6,4,0,1.0,1.0,1,0,5,11,1,3,0,0,2,2,4,1,5
#5,Davi,19.7,2,2,0,4.0,2.0,2,0,4,11,0,1,1,3,2,2,2,3,5
#0,João Vitor,2.8,0,0,0,0.0,1.0,0,0,3,8,0,0,1,3,1,2,1,1,2
#25,Camargo,0.6,0,0,0,0.0,0.0,0,0,0,2,0,0,0,1,0,0,0,0,0
Equipe,Equipe,0.0,19,9,3,16.0,21.0,11,2,94,209,13,29,18,48,19,26,31,21,52
