Nr.,Jogador,Min,AS,BR,TO,FC,FR,ER,EN,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT
#10,Ansaloni,25.8,1,0,0,4.0,2.0,0,0,18,40,3,7,4,9,1,1,3,1,4
#10,Coelho,27.2,6,1,0,2.0,1.0,2,0,14,24,0,2,6,8,2,2,1,0,1
#36,Arthur,35.6,2,2,0,1.0,2.0,0,1,12,23,2,3,3,7,0,0,3,1,4
#13,Jackson,18.0,1,0,0,1.0,2.0,2,0,10,16,1,2,2,3,3,4,0,0,0
#5,Jamaal,36.5,5,2,0,2.0,1.0,2,0,9,25,3,7,0,2,0,0,3,1,4
#0,Guga,16.3,1,0,2,3.0,2.0,1,0,6,11,1,1,1,3,1,2,1,0,1
#3,Mogi,19.9,0,0,1,3.0,1.0,1,0,5,8,1,2,0,0,2,2,1,1,2
#15,Diego,19.5,3,1,0,2.0,6.0,0,0,4,17,1,3,0,3,1,2,4,3,7
#23,Guapi,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
#11,Fabrício,1.3,0,0,0,0.0,0.0,0,0,0,2,0,0,0,1,0,0,0,0,0
#14,Yan,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
#3,Pedro,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equipe,Equipe,0.0,19,6,3,18.0,17.0,10,1,78,166,12,27,16,36,10,13,18,10,28
#34,Kurtz,30.0,2,0,3,1.0,6.0,2,1,14,31,0,0,5,13,4,5,7,3,10
#10,Alex,26.4,2,0,0,2.0,3.0,0,0,13,31,3,9,2,2,0,0,0,0,0
#22,Paulo,14.2,1,0,0,1.0,2.0,2,0,12,16,3,3,1,3,1,1,3,1,4
#3,Brite,9.2,1,0,0,2.0,2.0,2,0,9,10,2,2,1,1,1,2,0,0,0
#21,Cobb,33.3,0,1,0,1.0,2.0,1,0,7,19,1,3,1,4,2,2,3,1,4
#14,Sualisson,17.3,0,0,0,4.0,1.0,0,0,5,17,0,1,2,6,1,2,1,2,3
#17,Rashaun,26.8,4,0,0,2.0,1.0,3,0,5,11,1,3,1,1,0,0,5,1,6
#9,Paulinho,13.3,1,0,0,0.0,1.0,4,0,3,9,1,3,0,0,0,0,0,0,0
#33,Felipe,20.7,1,1,0,2.0,0.0,1,0,1,5,0,1,0,0,1,2,4,1,5
#4,Victor,0.5,0,1,0,0.0,0.0,0,0,0,3,0,1,0,0,0,0,0,0,0
#21,B. Fiorotto,8.4,1,0,0,2.0,0.0,0,0,0,2,0,0,0,1,0,0,0,0,0
Equipe,Equipe,0.0,13,3,3,17.0,18.0,19,1,69,154,11,26,13,31,10,14,24,12,36
