Nr.,Jogador,Min,AS,BR,TO,FC,FR,ER,EN,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT
#10,Coelho,36.1,2,1,0,2.0,4.0,0,0,19,39,4,9,3,5,1,2,1,1,2
#15,Diego,36.9,3,1,1,3.0,3.0,2,0,13,38,2,8,2,5,3,4,5,3,8
#5,Jamaal,23.8,1,1,0,4.0,5.0,0,0,11,35,0,5,5,9,1,2,0,0,0
#4,Cauê,33.1,2,3,0,3.0,2.0,0,0,9,22,1,3,3,6,0,1,3,1,4
#10,Ansaloni,31.1,0,1,1,4.0,2.0,1,1,6,25,0,3,2,7,2,2,3,1,4
#35,Maique,8.8,0,1,0,3.0,2.0,1,0,5,5,0,0,2,2,1,1,2,0,2
#3,Mogi,23.6,3,0,1,0.0,0.0,0,0,4,10,0,0,2,5,0,0,1,4,5
#36,Arthur,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
#3,Pedro,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
#0,Guga,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
#11,Fabrício,0.5,0,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
#13,Jackson,6.0,1,0,0,2.0,0.0,0,0,0,5,0,1,0,1,0,0,1,0,1
Equipe,Equipe,0.0,12,8,3,22.0,18.0,5,1,67,179,7,29,19,40,8,12,16,11,27
#11,Marquinhos,32.3,4,0,0,3.0,3.0,1,0,22,36,4,8,4,5,2,2,8,1,9
#17,Varejão,25.1,2,1,0,2.0,3.0,3,0,11,18,0,0,4,7,3,4,2,3,5
#16,Olivinha,21.4,0,0,0,2.0,1.0,2,0,10,20,2,4,1,3,2,2,5,2,7
#25,Nesbitt,16.8,0,0,1,1.0,2.0,2,1,6,16,0,2,1,3,4,4,1,1,2
#9,Deryk,20.4,3,0,0,1.0,2.0,0,0,6,18,2,6,0,0,0,0,3,1,4
#6,Balbi,29.3,4,0,0,3.0,4.0,6,0,5,16,1,4,1,2,0,0,3,0,3
#12,Mineiro,15.9,1,0,0,2.0,3.0,1,0,4,8,0,0,0,1,4,6,1,1,2
#5,Davi,18.6,2,0,0,1.0,3.0,3,0,4,7,0,1,1,1,2,2,3,0,3
#7,Jhonatan,8.1,0,0,0,4.0,0.0,1,0,3,5,1,1,0,1,0,0,3,1,4
#8,Crescenzi,12.1,0,0,0,1.0,0.0,1,0,2,10,0,2,1,2,0,0,1,1,2
#32,Aieser,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
#8,Ruan,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equipe,Equipe,0.0,16,1,1,20.0,21.0,21,1,73,154,10,28,13,25,17,20,33,15,48
