Nr.,Jogador,Min,AS,BR,TO,FC,FR,ER,EN,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT
#11,Jefferson,35.2,0,2,0,1.0,4.0,2,0,23,53,3,10,4,8,6,7,5,1,6
#4,Larry,33.0,5,1,0,1.0,0.0,0,0,13,31,1,5,5,8,0,0,3,3,6
#28,Lucas,37.5,0,0,0,1.0,3.0,4,0,12,29,0,1,6,11,0,2,2,5,7
#2,Fúlvio,31.0,8,1,0,2.0,5.0,3,0,10,18,2,4,1,2,2,2,3,0,3
#8,Cauê,18.3,0,0,0,4.0,2.0,0,0,10,12,2,2,2,3,0,0,1,1,2
#10,Gustavo,17.2,0,2,0,0.0,2.0,1,0,7,10,1,2,1,1,2,2,0,3,3
#30,Enzo,14.8,1,0,0,3.0,1.0,1,0,5,14,1,4,0,0,2,2,2,0,2
#11,Vinicius,6.2,0,1,0,0.0,1.0,0,0,1,2,0,0,0,0,1,2,0,1,1
#7,Renato,1.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
#11,Emanuel,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
#10,Alex,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
#20,Pará,5.9,1,0,0,0.0,1.0,0,0,0,5,0,1,0,0,0,2,0,0,0
Equipe,Equipe,0.0,15,7,0,12.0,19.0,11,0,81,174,10,29,19,33,13,19,17,15,32
#23,Pecos,37.0,9,5,0,1.0,4.0,3,0,25,36,3,4,7,11,2,2,4,2,6
#13,JP Batista,31.2,0,1,0,3.0,3.0,2,0,22,24,0,0,9,10,4,4,2,2,4
#3,Lucas,21.6,2,2,0,3.0,2.0,2,0,13,19,3,5,2,2,0,0,1,1,2
#20,Gruber,32.1,4,0,0,5.0,0.0,2,0,8,27,2,7,1,3,0,0,5,0,5
#8,Shamell,33.1,5,1,0,1.0,1.0,1,0,8,19,2,5,1,2,0,0,1,1,2
#32,Lessa,16.9,0,0,0,2.0,1.0,0,0,6,13,2,3,0,2,0,0,2,0,2
#16,João Pedro,11.8,0,0,0,1.0,0.0,0,0,6,8,0,0,3,4,0,0,2,0,2
#35,José Carlos,7.5,2,0,0,2.0,1.0,0,0,5,8,1,2,1,1,0,0,2,0,2
#42,Cafferata,8.9,0,0,0,2.0,0.0,1,0,3,3,1,1,0,0,0,0,0,0,0
Equipe,Equipe,0.0,22,9,0,20.0,12.0,11,0,96,157,14,27,24,35,6,6,23,6,29
