Nr.,Jogador,Min,AS,BR,TO,FC,FR,ER,EN,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT
#13,JP Batista,23.4,2,0,2,5.0,3.0,1,0,24,36,0,0,10,16,4,4,3,4,7
#1,Deodato,37.9,5,2,0,2.0,5.0,1,1,24,48,3,8,4,8,7,8,5,1,6
#42,Cafferata,25.9,4,3,0,4.0,6.0,2,0,15,21,2,3,4,5,1,2,2,1,3
#20,Gruber,25.2,3,0,1,4.0,4.0,1,0,13,22,2,3,1,3,5,7,2,0,2
#16,João Pedro,12.5,1,0,2,2.0,2.0,0,1,6,11,0,0,2,4,2,3,6,1,7
#8,Shamell,26.0,3,0,0,1.0,2.0,1,0,5,24,1,6,0,1,2,4,3,0,3
#35,José Carlos,20.1,0,1,1,2.0,1.0,0,0,4,9,0,1,1,2,2,2,3,2,5
#23,Pecos,22.6,1,0,0,3.0,1.0,6,0,3,9,1,1,0,3,0,0,5,1,6
#32,Lessa,5.3,0,1,0,3.0,0.0,1,0,3,3,1,1,0,0,0,0,0,0,0
#3,Lucas,1.1,0,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
#3,Vinícius,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
#8,Colina,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equipe,Equipe,0.0,19,7,6,27.0,24.0,14,2,97,183,10,23,22,42,23,30,30,13,43
#23,Nezinho,30.2,5,1,0,4.0,7.0,4,0,16,39,2,6,2,5,6,11,5,0,5
#22,Pedro,23.2,1,1,0,3.0,5.0,1,0,15,24,1,2,4,6,4,6,4,0,4
#32,Zach Graham,36.3,1,1,1,2.0,3.0,1,0,15,42,1,6,4,10,4,4,1,0,1
#4,Arthur,25.1,1,0,0,3.0,3.0,2,0,8,12,1,2,1,1,3,4,1,0,1
#9,Rafa Moreira,16.2,0,0,0,4.0,4.0,0,0,7,20,0,3,1,2,5,7,1,1,2
#32,Ricky Sánchez,30.8,2,1,1,3.0,4.0,1,0,7,23,1,5,1,3,2,2,2,0,2
#6,Graterol,18.9,0,0,0,3.0,1.0,0,1,6,12,0,0,3,6,0,0,1,2,3
#20,Rodrigo,6.4,2,1,0,0.0,0.0,0,0,6,11,0,1,3,4,0,0,1,1,2
#13,Andrezão,8.2,0,0,0,1.0,0.0,0,0,2,4,0,0,1,2,0,0,2,2,4
#7,Pedrinho Rava,4.8,0,0,0,2.0,0.0,1,0,0,2,0,0,0,1,0,0,1,1,2
#9,Luis,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equipe,Equipe,0.0,12,5,2,25.0,27.0,12,1,82,189,6,25,20,40,24,34,21,13,34
