Nr.,Jogador,Min,AS,BR,TO,FC,FR,ER,EN,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT
#32,David Jackson,35.6,2,3,0,2.0,6.0,2,0,18,36,1,4,5,9,5,6,6,2,8
#7,Didi,12.0,1,0,0,2.0,4.0,1,0,12,16,0,0,3,4,6,8,0,2,2
#15,Cipolini,16.9,0,0,0,2.0,3.0,0,1,9,12,1,2,1,1,4,4,1,0,1
#30,Hettsheimeir,21.0,0,0,0,3.0,2.0,1,0,9,25,1,5,2,4,2,2,3,1,4
#18,Jimmy,32.4,0,1,0,4.0,0.0,2,0,7,17,1,3,2,3,0,0,5,0,5
#9,Lucas Dias,29.4,0,2,0,2.0,6.0,0,1,7,29,0,3,2,8,3,4,5,1,6
#40,André Goes,12.8,0,0,1,2.0,2.0,0,0,5,12,0,2,2,2,1,2,0,0,0
#4,Alexey,19.8,3,0,0,2.0,0.0,2,0,5,14,1,2,1,4,0,0,0,1,1
#6,Adriano Big,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
#33,Guilherme,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
#5,Elinho,20.2,5,0,0,2.0,0.0,0,0,0,8,0,2,0,1,0,0,2,0,2
#23,Augusto,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equipe,Equipe,0.0,11,6,1,21.0,23.0,8,2,72,169,5,23,18,36,21,26,25,9,34
#11,Marquinhos,35.8,0,0,0,1.0,2.0,0,0,18,29,2,3,4,8,4,4,4,0,4
#6,Balbi,33.2,6,1,0,3.0,6.0,2,0,15,39,1,7,4,7,4,4,6,0,6
#9,Deryk,16.5,1,2,0,2.0,0.0,1,0,12,18,2,4,3,3,0,0,0,0,0
#16,Olivinha,20.6,1,1,0,3.0,3.0,0,0,12,26,1,2,2,7,5,6,8,2,10
#17,Varejão,21.8,0,1,0,3.0,5.0,2,0,7,22,1,3,2,6,0,1,3,3,6
#12,Mineiro,20.2,1,0,2,4.0,1.0,1,1,6,18,1,4,1,2,1,2,2,1,3
#25,Nesbitt,12.5,0,0,0,0.0,2.0,0,0,6,6,0,0,1,1,4,4,1,0,1
#8,Crescenzi,15.1,1,0,0,2.0,0.0,2,0,3,5,1,1,0,1,0,0,0,1,1
#5,Davi,16.4,0,0,0,4.0,1.0,1,0,2,5,0,1,1,1,0,0,2,0,2
#13,Matheus Weber,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
#7,Jhonatan,8.0,1,0,0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,1
#8,Ruan,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equipe,Equipe,0.0,11,5,2,24.0,20.0,11,1,81,168,9,25,18,36,18,21,29,9,38
