Nr.,Jogador,Min,AS,BR,TO,FC,FR,ER,EN,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT
#10,Duda,35.6,5,0,0,3.0,4.0,3,0,14,29,2,5,1,4,6,6,1,1,2
#33,C. Torres,15.0,0,0,0,2.0,1.0,0,0,12,22,1,2,4,7,1,2,2,1,3
#9,Vithinho,33.0,10,0,0,2.0,3.0,4,0,12,27,1,5,4,5,1,2,7,0,7
#16,Rafael,19.3,0,0,0,2.0,5.0,1,0,11,14,0,0,2,3,7,8,2,0,2
#3,Lucão,7.8,1,0,1,0.0,2.0,2,1,10,13,0,0,5,6,0,1,4,3,7
#8,Gabriel,23.3,3,3,0,1.0,1.0,0,0,7,18,1,4,2,3,0,0,1,0,1
#18,Lupa,5.8,0,0,0,3.0,0.0,2,0,4,4,0,0,2,2,0,0,0,1,1
#6,Gemerson,20.4,1,1,0,1.0,4.0,0,0,4,23,0,5,2,4,0,0,4,0,4
#20,Alexei,18.9,0,0,0,2.0,1.0,1,0,2,14,0,2,1,4,0,0,0,1,1
#12,Rafael,11.4,1,0,2,0.0,2.0,0,0,2,8,0,0,0,2,2,4,2,1,3
#5,Pilar,7.0,0,0,0,2.0,0.0,1,0,0,4,0,0,0,2,0,0,0,1,1
#35,L. Felipe,2.7,0,0,0,0.0,0.0,0,0,0,2,0,0,0,1,0,0,0,1,1
Equipe,Equipe,0.0,21,4,3,18.0,23.0,15,1,78,178,5,23,23,43,17,23,27,11,38
#32,Zach Graham,32.1,3,1,0,0.0,4.0,1,0,18,38,1,4,6,11,3,4,1,0,1
#22,Pedro,23.1,1,1,0,2.0,3.0,0,0,16,24,2,4,3,4,4,4,2,0,2
#4,Arthur,21.5,1,0,0,3.0,2.0,0,0,14,24,2,5,3,3,2,3,2,0,2
#6,Graterol,14.8,0,1,1,4.0,2.0,1,1,12,26,0,2,6,10,0,0,4,4,8
#9,Rafa Moreira,29.4,2,1,0,2.0,1.0,1,0,12,26,2,4,3,7,0,0,4,3,7
#23,Nezinho,29.1,7,3,0,3.0,4.0,3,0,8,21,1,5,1,1,3,4,5,0,5
#5,Marcelão,13.3,0,1,1,3.0,1.0,4,0,7,10,0,0,3,4,1,2,6,2,8
#3,Gui Santos,16.7,0,2,0,2.0,1.0,1,0,5,10,0,0,2,4,1,2,0,0,0
#13,Andrezão,10.0,1,0,1,5.0,0.0,0,0,2,11,0,1,1,4,0,0,1,1,2
#7,Pedrinho Rava,10.1,1,1,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equipe,Equipe,0.0,16,11,3,25.0,18.0,11,1,94,190,8,25,28,48,14,19,29,10,39
