Nr.,Jogador,Min,AS,BR,TO,FC,FR,ER,EN,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT
#2,Yago,32.4,7,2,0,2.0,8.0,2,0,24,45,3,8,3,5,9,11,3,0,3
#23,Léo Meindl,29.1,4,0,0,4.0,6.0,3,0,22,38,1,4,7,10,5,6,8,5,13
#33,Eddy,25.8,2,0,0,2.0,2.0,1,0,16,34,3,9,2,2,3,3,2,1,3
#44,Renan,23.5,1,0,1,4.0,3.0,1,1,14,22,1,3,3,4,5,5,3,0,3
#87,Guilherme,20.2,1,0,0,2.0,0.0,3,0,5,18,1,4,1,3,0,0,4,1,5
#11,Antonio,15.4,1,2,0,2.0,0.0,1,1,4,11,0,1,2,3,0,0,2,1,3
#10,Vitão,4.6,0,0,0,2.0,1.0,1,0,0,3,0,1,0,0,0,0,0,0,0
#17,Du Sommer,11.9,0,1,0,5.0,1.0,0,0,0,9,0,1,0,2,0,0,1,1,2
#20,Dikembe,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
#5,Beto,3.7,0,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
#14,Georginho,14.7,1,0,0,5.0,2.0,2,0,0,14,0,4,0,1,0,0,1,0,1
#0,Roquemore,18.8,2,0,0,1.0,1.0,0,0,0,8,0,2,0,1,0,0,1,1,2
Equipe,Equipe,0.0,19,5,1,31.0,24.0,15,2,85,202,9,37,18,31,22,25,29,13,42
#14,Dawkins,26.2,5,3,0,3.0,2.0,1,0,18,28,2,4,4,6,4,4,1,1,2
#26,Betinho,27.4,2,0,0,2.0,7.0,3,0,16,39,3,7,2,6,3,6,4,0,4
#15,Renato,28.1,3,1,0,5.0,1.0,1,0,12,30,2,6,3,6,0,0,3,3,6
#4,Ruivo,19.2,3,0,0,2.0,4.0,0,0,9,17,2,3,0,1,3,6,4,0,4
#3,Bennett,19.1,1,1,0,0.0,1.0,2,0,9,12,1,2,2,2,2,2,3,0,3
#7,Isaac,28.0,1,0,0,3.0,2.0,1,0,9,21,1,3,3,6,0,0,3,1,4
#50,Ware,23.1,2,0,0,4.0,3.0,1,0,9,21,1,3,1,3,4,6,6,0,6
#13,Toledo,20.2,1,1,0,4.0,6.0,3,0,6,13,0,0,2,4,2,5,3,4,7
#7,Gabriel,7.8,0,0,0,2.0,2.0,1,0,3,6,0,1,0,0,3,3,2,0,2
#24,Sena,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
#42,Mamedes,1.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
#44,Maicon,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equipe,Equipe,0.0,18,6,0,26.0,28.0,15,0,91,187,12,29,17,34,21,32,31,11,42
