Nr.,Jogador,Min,AS,BR,TO,FC,FR,ER,EN,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT
#10,Vezaro,32.1,1,2,0,4.0,2.0,1,0,19,38,4,8,3,6,1,2,2,0,2
#14,A. Bambu,30.9,3,0,0,3.0,0.0,1,0,13,27,3,7,2,3,0,0,1,0,1
#0,Cook,27.2,1,1,0,3.0,2.0,4,0,13,30,2,7,3,4,1,1,2,4,6
#4,Vezarinho,18.8,2,1,0,2.0,6.0,4,0,12,31,2,6,2,4,2,5,3,0,3
#54,J. Socas,22.8,5,1,0,2.0,2.0,0,0,9,23,1,3,3,7,0,0,4,3,7
#12,Mathias,35.1,3,1,0,3.0,2.0,2,0,8,18,0,1,4,6,0,1,9,0,9
#40,Dieguinho,9.8,0,1,1,1.0,0.0,0,0,3,5,1,1,0,1,0,0,1,0,1
#13,Rosniak,6.3,0,0,0,3.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0
#24,Laster,2.4,0,0,0,0.0,0.0,0,0,0,6,0,2,0,0,0,0,0,0,0
#8,Colimerio,7.4,0,0,0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,1
#23,Weihermann,7.4,1,0,0,0.0,0.0,0,0,0,2,0,0,0,1,0,0,0,0,0
Equipe,Equipe,0.0,16,7,1,22.0,14.0,15,0,77,180,13,35,17,32,4,9,25,12,37
#23,Nezinho,32.7,5,2,0,3.0,8.0,3,0,25,51,6,13,2,4,3,4,5,0,5
#32,Zach Graham,38.8,0,1,0,3.0,5.0,3,0,23,32,3,6,4,4,6,6,3,0,3
#9,Rafa Moreira,27.5,1,1,1,2.0,2.0,0,0,8,19,2,5,0,1,2,2,0,1,1
#7,Pedrinho Rava,15.8,1,2,0,0.0,1.0,1,0,8,11,0,1,3,3,2,2,1,0,1
#6,Graterol,25.8,1,0,0,2.0,1.0,2,0,7,9,1,1,2,2,0,2,7,0,7
#13,Andrezão,17.8,1,1,0,1.0,1.0,0,0,6,19,0,1,2,7,2,2,3,2,5
#32,Ricky Sánchez,32.9,3,0,1,2.0,1.0,2,0,5,18,1,4,1,3,0,0,4,0,4
#20,Rodrigo,7.8,0,0,0,1.0,3.0,0,0,2,2,0,0,0,0,2,2,4,0,4
#9,Luis,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
#5,Marcelão,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
#17,Danilo,0.9,0,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equipe,Equipe,0.0,12,7,2,15.0,22.0,11,0,84,161,13,31,14,24,17,20,29,5,34
