Nr.,Jogador,Min,AS,BR,TO,FC,FR,ER,EN,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT
#13,JP Batista,30.4,1,0,0,4.0,5.0,3,0,23,36,0,0,10,16,3,4,5,1,6
#20,Gruber,30.2,5,0,2,3.0,3.0,0,1,18,25,2,4,5,5,2,3,5,2,7
#8,Shamell,34.5,3,2,0,1.0,3.0,3,0,15,37,2,6,3,7,3,5,2,0,2
#23,Pecos,31.9,8,1,0,1.0,5.0,1,0,15,32,1,4,4,7,4,6,8,2,10
#32,Lessa,16.1,0,0,0,4.0,1.0,0,0,6,11,2,3,0,1,0,0,1,1,2
#16,João Pedro,7.4,0,1,2,1.0,1.0,1,0,4,4,0,0,1,1,2,2,2,0,2
#3,Lucas,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
#1,Deodato,24.0,2,1,0,0.0,2.0,1,0,0,14,0,2,0,3,0,2,4,0,4
#3,Vinícius,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
#42,Cafferata,11.0,3,1,0,2.0,1.0,0,0,0,9,0,1,0,3,0,0,1,1,2
#8,Colina,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
#11,Filipin,14.6,1,0,0,3.0,0.0,1,0,0,3,0,1,0,0,0,0,0,0,0
Equipe,Equipe,0.0,23,6,4,19.0,21.0,11,1,81,171,7,21,23,43,14,22,32,8,40
#12,Mathias,27.5,0,0,3,4.0,2.0,2,0,19,31,0,1,8,12,3,4,10,1,11
#0,Cook,28.9,4,0,1,3.0,3.0,2,0,13,37,2,7,2,5,3,6,1,1,2
#10,Vezaro,32.6,2,2,0,2.0,1.0,3,0,8,15,2,3,1,2,0,2,2,2,4
#54,J. Socas,34.6,6,1,0,1.0,4.0,4,0,8,27,0,4,3,6,2,3,8,0,8
#4,Vezarinho,14.9,2,1,0,5.0,4.0,1,0,7,23,0,3,1,3,5,8,0,0,0
#14,A. Bambu,33.0,1,1,1,3.0,2.0,1,0,4,11,0,1,2,4,0,0,3,3,6
#8,Colimerio,11.1,0,0,0,0.0,1.0,0,1,3,6,0,0,1,2,1,2,0,3,3
#40,Dieguinho,4.5,0,0,0,2.0,2.0,0,0,3,10,0,2,0,0,3,4,1,0,1
#13,Rosniak,2.4,0,0,0,1.0,0.0,1,0,2,2,0,0,1,1,0,0,0,0,0
#24,Laster,2.3,0,0,0,0.0,0.0,0,0,0,8,0,2,0,1,0,0,1,0,1
#23,Weihermann,6.7,0,0,0,0.0,0.0,0,0,0,9,0,3,0,0,0,0,1,0,1
#31,Maxwell,1.8,0,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equipe,Equipe,0.0,15,5,5,22.0,19.0,16,1,67,179,4,26,19,36,17,29,31,11,42
