Nr.,Jogador,Min,AS,BR,TO,FC,FR,ER,EN,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT
#10,Duda,38.2,3,2,1,3.0,1.0,2,0,25,40,6,9,2,5,3,3,4,0,4
#9,Vithinho,36.3,7,4,0,2.0,6.0,3,0,17,35,2,4,5,10,1,3,7,1,8
#6,Gemerson,28.8,1,1,0,5.0,2.0,1,0,14,38,2,6,4,10,0,0,3,2,5
#18,Lupa,25.6,1,1,0,1.0,2.0,1,0,9,20,0,0,4,9,1,2,5,3,8
#3,Lucão,15.3,0,1,0,3.0,1.0,2,0,6,8,0,0,3,4,0,0,2,1,3
#2,Okorie,34.4,5,2,0,4.0,2.0,0,0,6,16,1,2,1,4,1,2,1,0,1
#20,Alexei,7.1,0,0,0,2.0,4.0,0,0,2,4,0,0,0,0,2,4,2,0,2
#16,Rafael,4.4,0,0,0,1.0,0.0,0,0,2,5,0,1,1,1,0,0,0,1,1
#8,Gabriel,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
#5,Pilar,10.0,0,0,0,0.0,1.0,3,0,0,6,0,2,0,0,0,0,0,0,0
#5,Armani,0.1,0,0,0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0
#35,L. Felipe,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equipe,Equipe,0.0,17,11,1,21.0,19.0,14,0,81,172,11,24,20,43,8,14,26,11,37
#24,Douglas Nunes,34.0,1,2,0,3.0,4.0,5,1,17,34,1,4,5,8,4,6,8,0,8
#13,Schneider,16.5,0,1,0,0.0,0.0,1,1,15,20,1,2,6,7,0,0,2,0,2
#9,Pastor,23.9,3,1,2,2.0,4.0,0,0,14,22,1,1,4,8,3,3,6,4,10
#15,Márcio,31.2,1,0,0,1.0,1.0,2,0,9,17,2,4,1,2,1,1,2,0,2
#5,Hélio,17.1,2,0,0,4.0,1.0,2,0,8,17,0,3,3,3,2,2,3,0,3
#32,Sahdi,26.3,9,0,0,4.0,6.0,2,0,7,20,1,3,1,4,2,3,3,1,4
#12,Pedro,20.2,1,3,0,3.0,2.0,2,0,5,29,0,6,2,5,1,1,3,0,3
#41,Mineiro,15.0,1,0,0,0.0,1.0,2,0,2,7,0,1,1,2,0,0,2,1,3
#44,Coimbra,7.1,0,0,0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0
#32,Johnson,5.9,0,0,0,0.0,0.0,0,0,0,2,0,0,0,0,0,0,0,0,0
#10,Panunzio,2.9,0,0,0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equipe,Equipe,0.0,18,7,2,20.0,20.0,17,2,77,168,6,24,23,39,13,16,29,8,37
