Nr.,Jogador,Min,AS,BR,TO,FC,FR,ER,EN,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT
#8,Shamell,33.2,3,0,0,2.0,4.0,3,0,24,41,4,7,4,7,4,6,5,0,5
#4,Larry,31.1,5,2,1,4.0,3.0,4,0,16,35,3,7,3,6,1,2,6,1,7
#33,C. Torres,28.6,1,1,0,2.0,6.0,0,0,15,22,0,1,6,7,3,5,6,6,12
#11,Filipin,29.4,2,1,1,3.0,1.0,0,0,7,19,1,3,2,5,0,0,3,2,5
#9,Vithinho,32.1,9,0,0,1.0,7.0,2,0,7,33,0,8,2,2,3,5,2,1,3
#10,Fabricio,9.4,0,0,1,1.0,1.0,0,0,6,11,2,3,0,0,0,2,0,0,0
#0,Tyrone,10.8,1,1,1,2.0,3.0,0,1,4,9,0,1,2,3,0,0,1,1,2
#18,Jimmy,13.1,3,1,0,2.0,0.0,0,0,2,10,0,2,1,2,0,0,2,0,2
#32,Lessa,1.6,0,0,0,1.0,1.0,0,0,1,2,0,0,0,0,1,2,0,0,0
#21,Wesley,2.7,0,0,0,2.0,0.0,2,0,0,2,0,0,0,1,0,0,0,0,0
#11,Vieira,4.6,0,0,0,0.0,0.0,0,0,0,2,0,0,0,1,0,0,0,1,1
#35,José Carlos,3.5,0,0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equipe,Equipe,0.0,24,6,4,22.0,27.0,11,1,82,186,10,32,20,34,12,22,29,15,44
#0,Cook,34.7,3,0,0,4.0,4.0,1,0,24,52,4,10,4,9,4,4,5,2,7
#3,Brite,26.9,4,1,0,2.0,1.0,0,0,14,38,2,8,3,6,2,2,6,2,8
#13,Jackson,24.9,4,0,0,2.0,5.0,1,0,10,21,0,3,2,3,6,6,1,1,2
#24,Lucas,26.0,1,1,1,2.0,2.0,1,0,9,14,1,2,3,4,0,0,2,0,2
#8,Crescenzi,18.1,0,0,1,3.0,0.0,1,0,7,22,1,3,2,6,0,1,4,0,4
#3,Lucão,7.3,0,0,0,1.0,2.0,0,0,4,6,0,0,1,2,2,2,1,1,2
#11,Ferros,5.8,0,0,0,4.0,1.0,2,0,3,6,0,1,1,1,1,1,1,1,2
#22,Leandro,22.9,0,2,0,3.0,0.0,0,0,2,5,0,1,1,1,0,0,2,3,5
#19,Drudi,8.9,0,0,0,1.0,0.0,0,0,0,7,0,1,0,2,0,0,2,1,3
#9,Luis,15.3,1,0,0,3.0,0.0,1,0,0,4,0,0,0,2,0,0,0,0,0
#41,Mineiro,7.5,0,0,0,3.0,1.0,2,0,0,5,0,1,0,1,0,0,0,0,0
#10,Raphael,1.7,0,0,0,2.0,1.0,1,0,0,3,0,1,0,0,0,0,0,0,0
Equipe,Equipe,0.0,13,4,2,32.0,17.0,11,0,73,183,8,31,17,37,15,16,25,13,38
