Nr.,Jogador,Min,AS,BR,TO,FC,FR,ER,EN,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT
#30,Hettsheimeir,27.6,1,0,0,1.0,10.0,4,1,28,39,2,4,8,10,6,7,5,1,6
#10,Duda,25.0,2,0,0,0.0,4.0,2,0,13,33,1,7,3,4,4,4,1,2,3
#10,Alex,34.8,2,1,0,4.0,4.0,1,0,12,36,2,6,2,6,2,6,0,0,0
#4,Stefano,21.4,3,0,0,2.0,1.0,0,0,10,12,2,2,1,2,2,2,4,0,4
#25,Gabriel Jaú,13.0,0,1,0,4.0,1.0,0,0,9,10,2,2,1,1,1,2,4,1,5
#44,Renan,26.5,2,1,1,4.0,2.0,1,0,8,14,0,1,3,4,2,3,4,0,4
#6,Shilton,12.4,0,0,0,3.0,0.0,1,0,4,6,0,0,2,3,0,0,2,1,3
#0,Anthony,16.9,3,0,0,3.0,1.0,1,0,3,15,0,2,1,4,1,1,0,0,0
#7,Isaac,22.4,0,0,0,3.0,0.0,2,0,0,6,0,2,0,0,0,0,3,1,4
#5,André,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
#8,Henrique,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
#5,João Marcos,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equipe,Equipe,0.0,13,3,1,24.0,23.0,12,1,87,171,9,26,21,34,18,25,26,7,33
#21,B. Fiorotto,30.5,2,1,0,5.0,6.0,2,1,18,31,2,2,5,9,2,7,4,1,5
#9,Paulinho,23.9,3,2,0,4.0,2.0,1,0,15,35,1,6,5,7,2,3,2,2,4
#5,Davi,32.8,4,0,0,2.0,5.0,2,0,15,29,2,4,1,4,7,9,3,0,3
#23,Leonardo,23.4,0,1,0,4.0,4.0,1,0,11,23,0,0,4,9,3,5,4,2,6
#17,Rashaun,34.5,2,3,0,1.0,2.0,1,0,10,16,1,2,3,4,1,2,5,0,5
#33,Felipe,18.5,1,0,1,4.0,2.0,1,0,9,11,1,1,1,2,4,4,4,1,5
#26,Betinho,24.0,1,0,1,2.0,1.0,0,0,3,12,1,2,0,3,0,0,1,0,1
#14,Sualisson,2.2,0,0,0,1.0,1.0,0,0,1,5,0,1,0,0,1,2,0,0,0
#8,W. Guilherme,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
#5,Armani,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
#32,Leal,4.4,0,0,0,1.0,1.0,0,0,0,2,0,0,0,1,0,0,0,3,3
#24,Laster,5.9,0,0,0,0.0,1.0,0,0,0,7,0,1,0,1,0,2,1,1,2
Equipe,Equipe,0.0,13,7,2,24.0,25.0,9,1,82,171,8,19,19,40,20,34,26,11,37
