Nr.,Jogador,Min,AS,BR,TO,FC,FR,ER,EN,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT
#0,Anthony,29.1,1,0,0,1.0,7.0,2,0,19,32,0,2,6,9,7,8,1,0,1
#10,Duda,21.0,2,3,0,2.0,3.0,6,0,17,31,2,6,3,4,5,5,0,0,0
#6,Shilton,23.2,1,0,0,3.0,1.0,1,0,6,10,0,0,3,5,0,0,6,3,9
#7,Isaac,24.7,0,0,0,1.0,6.0,4,0,6,22,0,3,1,4,4,5,3,0,3
#13,Matulionis,26.4,1,2,0,2.0,0.0,2,0,6,19,2,5,0,2,0,0,5,0,5
#44,Renan,27.2,1,3,3,2.0,0.0,1,0,2,24,0,6,1,3,0,0,4,1,5
#25,Gabriel Jaú,23.8,0,1,1,5.0,0.0,4,0,2,8,0,2,1,1,0,0,3,2,5
#4,Stefano,10.9,2,1,0,0.0,2.0,1,0,1,11,0,3,0,0,1,2,0,0,0
#18,Michael,13.8,0,0,2,2.0,3.0,3,0,1,2,0,0,0,0,1,2,1,2,3
#8,Henrique,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
#20,Pará,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
#5,João Marcos,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equipe,Equipe,0.0,8,10,6,19.0,22.0,24,0,60,159,4,27,15,28,18,22,26,9,35
#19,Leandrinho,26.3,0,3,0,3.0,4.0,1,0,22,37,1,4,7,10,5,5,1,0,1
#23,Léo Meindl,30.4,5,3,0,2.0,4.0,4,0,14,25,2,4,1,3,6,7,6,2,8
#20,Gruber,17.4,1,1,2,1.0,0.0,1,1,7,14,1,2,2,4,0,0,2,1,3
#11,Antonio,18.6,1,0,0,1.0,0.0,1,0,7,16,1,2,2,5,0,0,1,2,3
#11,Jefferson,21.7,0,1,0,2.0,2.0,2,0,6,21,0,3,3,6,0,0,3,0,3
#15,Cipolini,19.3,2,0,0,2.0,2.0,1,1,6,17,0,3,2,3,2,2,4,1,5
#55,Rafa Luz,15.5,1,2,0,1.0,1.0,0,0,6,6,0,0,3,3,0,0,0,0,0
#12,Mineiro,21.7,0,2,0,4.0,1.0,2,0,6,13,0,1,3,5,0,0,3,1,4
#10,Coelho,24.5,7,1,0,3.0,2.0,2,0,5,17,0,2,2,5,1,1,1,0,1
#12,Pedro,4.1,0,0,0,4.0,0.0,1,0,2,2,0,0,1,1,0,0,1,0,1
#16,João Pedro,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
#7,Didi,0.6,0,0,0,0.0,0.0,0,0,0,3,0,1,0,0,0,0,0,0,0
Equipe,Equipe,0.0,17,13,2,23.0,16.0,15,2,81,171,5,22,26,45,14,15,26,9,35
