Nr.,Jogador,Min,AS,BR,TO,FC,FR,ER,EN,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT
#0,Anthony,31.7,4,0,0,3.0,3.0,2,0,20,34,2,5,6,8,2,3,3,0,3
#10,Alex,31.8,6,0,0,1.0,3.0,1,0,18,39,2,7,5,8,2,2,9,1,10
#18,Michael,16.6,0,0,1,2.0,2.0,0,1,12,16,0,0,5,7,2,2,1,2,3
#10,Duda,23.4,0,2,0,1.0,3.0,2,0,10,31,1,4,3,9,1,1,2,1,3
#44,Renan,21.3,0,0,0,4.0,0.0,0,0,8,15,2,3,1,3,0,0,2,1,3
#6,Shilton,15.8,0,1,0,1.0,3.0,0,0,2,4,0,0,0,0,2,4,1,1,2
#3,Gui Santos,11.6,0,0,0,2.0,0.0,0,0,2,8,0,0,1,4,0,0,3,0,3
#4,Stefano,8.1,1,0,0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,2
#8,Henrique,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
#25,Gabriel Jaú,10.9,0,1,1,4.0,0.0,0,0,0,6,0,0,0,3,0,0,2,0,2
#30,Hettsheimeir,15.6,2,0,0,1.0,2.0,1,0,0,15,0,3,0,3,0,0,3,0,3
#7,Isaac,13.6,0,0,0,2.0,2.0,0,0,0,3,0,1,0,0,0,0,2,0,2
Equipe,Equipe,0.0,13,4,2,23.0,18.0,6,1,72,171,7,23,21,45,9,12,33,8,41
#9,Lucas Dias,30.1,1,0,0,1.0,9.0,2,0,17,33,1,4,5,6,4,9,4,4,8
#17,Du Sommer,21.1,0,2,0,3.0,4.0,2,0,14,23,0,0,5,8,4,7,3,3,6
#33,Eddy,20.2,1,1,1,3.0,3.0,0,0,12,27,1,5,2,3,5,6,3,0,3
#87,Guilherme,13.7,1,0,0,2.0,0.0,0,0,9,12,1,2,3,3,0,0,3,1,4
#5,Elinho,25.8,10,0,0,1.0,2.0,0,0,7,16,1,2,1,4,2,2,4,0,4
#2,Yago,17.6,1,0,0,1.0,0.0,0,0,5,15,1,1,1,6,0,0,2,2,4
#7,Jhonatan,18.8,1,1,0,2.0,1.0,0,0,5,21,1,5,1,3,0,0,4,2,6
#25,Nesbitt,16.6,1,0,1,1.0,1.0,2,0,2,14,0,2,1,3,0,2,4,1,5
#9,Deryk,16.0,1,0,0,3.0,0.0,1,0,0,11,0,3,0,1,0,0,1,0,1
#20,Dikembe,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
#2,Fuller,20.2,0,0,0,1.0,3.0,1,0,0,21,0,5,0,3,0,0,2,0,2
Equipe,Equipe,0.0,17,4,2,18.0,23.0,8,0,71,193,6,29,19,40,15,26,34,15,49
