Nr.,Jogador,Min,AS,BR,TO,FC,FR,ER,EN,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT
#2,Fuller,22.6,1,0,0,0.0,3.0,0,0,15,33,2,8,3,3,3,3,3,1,4
#9,Deryk,19.8,7,1,0,1.0,1.0,1,0,15,24,5,8,0,0,0,0,1,0,1
#25,Nesbitt,24.7,0,1,0,1.0,4.0,2,1,11,17,1,3,3,3,2,2,7,1,8
#9,Lucas Dias,21.1,1,0,1,2.0,3.0,3,0,10,21,0,3,2,3,6,6,2,0,2
#10,Vitão,17.8,0,0,0,3.0,2.0,1,0,9,17,1,2,3,5,0,1,0,2,2
#17,Du Sommer,12.5,0,0,0,3.0,1.0,1,0,8,10,0,0,3,4,2,2,2,0,2
#33,Eddy,20.1,2,1,0,2.0,1.0,0,0,6,17,1,3,1,3,1,2,4,1,5
#7,Jhonatan,19.3,0,1,1,2.0,3.0,0,0,6,10,1,2,0,0,3,4,4,1,5
#5,Elinho,20.9,5,1,0,1.0,3.0,2,0,6,10,0,1,1,1,4,5,0,0,0
#2,Yago,11.7,4,0,0,2.0,1.0,2,0,2,14,0,4,1,1,0,0,1,0,1
#13,Alex,4.8,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1
#20,Dikembe,4.9,0,0,1,0.0,0.0,0,0,0,5,0,1,0,1,0,0,1,1,2
Equipe,Equipe,0.0,20,5,3,18.0,22.0,12,1,88,178,11,35,17,24,21,25,26,8,34
#11,Vinicius,24.7,2,0,0,4.0,6.0,1,1,14,25,0,3,5,6,4,4,4,1,5
#22,Pedro,21.5,2,1,0,4.0,1.0,4,0,12,21,2,5,2,2,2,2,1,0,1
#10,Alex,31.2,2,0,0,2.0,4.0,3,0,9,24,1,6,1,1,4,4,3,2,5
#42,Cafferata,22.9,1,1,0,2.0,1.0,1,0,8,10,2,2,1,2,0,0,3,1,4
#8,Cauê,18.4,2,0,1,4.0,1.0,1,0,7,9,1,1,2,3,0,0,2,0,2
#49,Nandão,9.6,2,0,0,1.0,0.0,0,0,7,7,1,1,2,2,0,0,0,0,0
#2,Warren,19.5,3,1,0,3.0,1.0,0,0,7,24,1,4,2,6,0,0,0,0,0
#4,Cauê,26.2,3,1,0,1.0,2.0,1,0,3,15,0,1,0,4,3,4,1,1,2
#29,Jonathan,3.2,0,0,0,0.0,0.0,0,0,2,2,0,0,1,1,0,0,1,0,1
#24,Paranhos,15.4,1,1,0,2.0,1.0,1,0,1,12,0,0,0,5,1,2,3,1,4
#27,Buboltz,5.0,0,0,0,0.0,0.0,0,0,0,3,0,1,0,0,0,0,0,0,0
#22,Dida,3.7,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,1
Equipe,Equipe,0.0,18,5,1,24.0,17.0,13,1,70,152,8,24,16,32,14,16,21,7,28
