Nr.,Jogador,Min,AS,BR,TO,FC,FR,ER,EN,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT
#18,Jimmy,32.2,1,1,0,2.0,1.0,1,0,17,23,5,7,1,1,0,0,0,0,0
#4,Larry,25.9,6,1,0,0.0,2.0,5,0,15,32,3,6,2,6,2,2,5,1,6
#21,Wesley,19.5,0,0,1,4.0,5.0,1,0,14,15,1,1,3,3,5,6,2,1,3
#11,Filipin,15.8,1,0,0,1.0,1.0,1,0,12,20,3,5,0,1,3,3,0,1,1
#8,Shamell,29.8,5,0,0,0.0,3.0,1,0,10,34,2,7,2,6,0,1,5,2,7
#11,Vieira,7.9,0,2,0,2.0,1.0,1,1,6,12,0,0,3,6,0,0,2,0,2
#33,C. Torres,26.7,1,2,0,1.0,1.0,0,0,6,10,0,0,2,4,2,2,6,1,7
#9,Rafa Moreira,1.0,0,0,0,0.0,0.0,0,0,0,5,0,1,0,1,0,0,0,0,0
#9,Vithinho,11.4,6,0,0,0.0,0.0,4,0,0,2,0,0,0,1,0,0,1,0,1
#35,José Carlos,3.0,0,1,0,1.0,0.0,0,0,0,2,0,0,0,1,0,0,2,0,2
#10,Fabricio,25.9,2,1,0,2.0,1.0,0,0,0,9,0,3,0,0,0,0,3,0,3
#32,Lessa,1.0,1,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equipe,Equipe,0.0,23,8,1,14.0,15.0,15,1,80,164,14,30,13,30,12,14,27,6,33
#21,B. Fiorotto,29.9,1,1,0,1.0,2.0,2,0,16,28,1,2,6,10,1,2,3,3,6
#26,Betinho,31.3,4,1,0,0.0,2.0,3,0,12,31,2,7,2,4,2,2,4,0,4
#14,Sualisson,22.3,4,1,0,4.0,1.0,2,0,10,17,0,1,5,7,0,0,1,1,2
#5,Davi,34.8,3,6,0,2.0,1.0,4,0,8,26,2,8,1,1,0,0,7,0,7
#9,Paulinho,18.3,3,0,0,1.0,5.0,1,0,7,30,0,5,3,7,1,1,1,0,1
#8,W. Guilherme,8.4,0,0,0,0.0,0.0,0,0,3,5,1,1,0,1,0,0,0,1,1
#23,Leonardo,19.2,0,0,1,3.0,3.0,1,0,2,6,0,0,1,3,0,0,4,1,5
#24,Laster,4.9,0,0,0,1.0,0.0,1,0,2,7,0,1,1,2,0,0,0,1,1
#19,Molony-Benjamin,19.6,1,1,1,2.0,0.0,3,1,2,4,0,0,1,2,0,0,5,1,6
#5,Armani,1.2,0,0,0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,1
#13,João,4.9,0,0,0,0.0,0.0,0,0,0,3,0,1,0,0,0,0,0,0,0
#32,Leal,5.3,0,0,0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0
Equipe,Equipe,0.0,16,10,2,15.0,14.0,20,1,62,157,6,26,20,37,4,5,29,9,38
