Nr.,Jogador,Min,AS,BR,TO,FC,FR,ER,EN,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT
#14,Dawkins,27.9,2,2,0,1.0,6.0,2,0,19,41,2,8,3,5,7,7,3,1,4
#7,Renato,29.4,2,1,0,3.0,3.0,3,1,16,20,2,2,4,6,2,2,9,2,11
#4,Arthur,19.8,2,1,0,3.0,3.0,1,0,16,35,4,7,2,6,0,2,0,1,1
#2,Okorie,20.0,0,2,0,4.0,1.0,1,1,15,24,3,4,3,6,0,0,4,0,4
#35,Maique,17.4,0,0,2,4.0,0.0,0,0,6,21,0,3,3,6,0,0,0,1,1
#34,Kurtz,28.5,1,1,2,2.0,5.0,0,2,5,17,0,0,2,7,1,3,4,2,6
#40,André Goes,27.8,5,2,0,0.0,0.0,3,0,5,18,1,4,1,3,0,0,7,0,7
#3,João Pedro,8.5,2,1,0,2.0,1.0,0,0,5,8,1,2,0,0,2,2,0,0,0
#17,Edu Mariano,16.1,5,1,0,1.0,0.0,1,0,2,9,0,1,1,3,0,0,3,1,4
#21,Murilo,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
#10,Vitinho,2.7,0,0,0,0.0,0.0,0,0,0,2,0,0,0,1,0,0,2,0,2
#66,Marcelo,2.1,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1
Equipe,Equipe,0.0,20,11,4,20.0,19.0,12,4,89,195,13,31,19,43,12,16,33,9,42
#21,B. Fiorotto,32.2,3,1,1,2.0,5.0,3,0,17,37,2,3,4,10,3,8,11,1,12
#17,Rashaun,31.5,3,1,0,1.0,2.0,2,0,17,39,4,6,1,9,3,3,3,1,4
#5,Davi,31.2,4,0,0,2.0,3.0,4,0,13,30,1,4,4,7,2,4,1,0,1
#9,Paulinho,19.0,1,0,0,2.0,1.0,5,0,7,18,1,2,1,5,2,2,0,0,0
#33,Felipe,19.1,0,1,0,0.0,3.0,1,0,6,16,1,2,0,3,3,4,2,1,3
#26,Betinho,12.8,0,1,0,2.0,0.0,0,0,3,21,0,4,1,4,1,1,2,0,2
#23,Leonardo,21.1,0,1,0,4.0,3.0,0,0,2,4,0,0,0,1,2,2,6,2,8
#14,Sualisson,14.2,0,0,0,2.0,1.0,0,0,2,4,0,0,1,2,0,0,0,1,1
#19,Molony-Benjamin,2.1,0,0,0,0.0,1.0,0,0,1,4,0,0,0,1,1,2,0,1,1
#8,W. Guilherme,4.8,0,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
#5,Armani,9.5,2,0,0,2.0,0.0,0,0,0,8,0,2,0,1,0,0,0,1,1
#24,Laster,2.6,0,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equipe,Equipe,0.0,13,5,1,20.0,19.0,15,0,68,181,9,23,12,43,17,26,31,10,41
