,Tempo,Ponto,diferenca_placar_casa,Quarto,Indicador,Nome
0,12:00,,,1,,DAL
1,12:00,,,1,Jump Ball Ibaka vs. Powell: Tip to Kennard,LAC
2,11:41,0 - 2,2,1,George 19' Step Back Jump Shot (2 PTS),LAC
3,11:24,2 - 2,TIE,1,Doncic 3' Floating Jump Shot (2 PTS),DAL
4,11:12,,,1,MISS Kennard 16' Pullup Jump Shot,LAC
5,11:09,,,1,Hardaway Jr. REBOUND (Off:0 Def:1),DAL
6,11:04,,,1,MISS Hardaway Jr. 2' Running Layup,DAL
7,11:02,,,1,Kennard REBOUND (Off:0 Def:1),LAC
8,10:58,,,1,MISS Ibaka 28' 3PT Running Pull-Up Jump Shot,LAC
9,10:52,,,1,Doncic REBOUND (Off:0 Def:1),DAL
10,10:47,,,1,MISS Doncic 10' Pullup Jump Shot,DAL
11,10:44,,,1,Ibaka REBOUND (Off:0 Def:1),LAC
12,10:34,,,1,Doncic STEAL (1 STL)George Bad Pass Turnover (P1.T1),LAC
13,10:26,4 - 2,-2,1,Richardson 6' Jump Shot (2 PTS) (Doncic 1 AST),DAL
14,10:26,,,1,Batum S.FOUL (P1.T1) (M.Davis),LAC
15,10:26,5 - 2,-3,1,Richardson Free Throw 1 of 1 (3 PTS),DAL
16,10:10,,,1,MISS Batum 26' 3PT Jump Shot,LAC
17,10:08,,,1,Finney-Smith REBOUND (Off:0 Def:1),DAL
18,9:57,7 - 2,-5,1,Powell 2' Alley Oop Dunk (2 PTS) (Doncic 2 AST),DAL
19,9:41,,,1,Powell STEAL (1 STL)George Bad Pass Turnover (P2.T2),LAC
20,9:38,9 - 2,-7,1,Doncic 1' Running Layup (4 PTS) (Richardson 1 AST),DAL
21,9:38,,,1,Beverley S.FOUL (P1.T2) (N.Green),LAC
22,9:38,,,1,CLIPPERS Timeout: Regular (Full 1 Short 0),LAC
23,9:38,10 - 2,-8,1,Doncic Free Throw 1 of 1 (5 PTS),DAL
24,9:12,,,1,MISS Kennard 25' 3PT Jump Shot,LAC
25,9:11,,,1,Doncic REBOUND (Off:0 Def:2),DAL
