,Tempo,Ponto,diferenca_placar_casa,Quarto,Indicador,Nome
76,2:28,,,1,Gordon REBOUND (Off:1 Def:2),NYK
77,2:24,,,1,MISS Clark 25' 3PT Jump Shot,NYK
78,2:22,,,1,Rivers REBOUND (Off:0 Def:2),ORL
79,1:57,,,1,MISS Knox II 18' Pullup Jump Shot,ORL
80,1:55,,,1,Ross REBOUND (Off:0 Def:1),NYK
81,1:51,,,1,Rivers P.FOUL (P1.T2) (M.Myers),ORL
82,1:39,,,1,Quickley S.FOUL (P1.PN) (B.Barnaky),ORL
83,1:39,,,1,SUB: Toppin FOR Randle,ORL
84,1:39,10 - 17,7,1,Gordon Free Throw 1 of 2 (1 PTS),NYK
85,1:39,11 - 17,6,1,Gordon Free Throw 2 of 2 (2 PTS),NYK
86,1:24,,,1,Bone P.FOUL (P1.T3) (S.Wright),NYK
87,1:14,11 - 19,8,1,Quickley 16' Driving Floating Jump Shot (2 PTS),ORL
88,0:58,,,1,Ross Bad Pass Turnover (P1.T2)Knox II STEAL (1 STL),ORL
89,0:55,,,1,MISS Toppin 25' 3PT Pullup Jump Shot,ORL
90,0:50,,,1,Gordon REBOUND (Off:1 Def:3),NYK
91,0:44,13 - 19,6,1,Gordon 2' Driving Layup (4 PTS),NYK
92,0:27,,,1,MISS Knox II  3PT Jump Shot,ORL
93,0:26,,,1,Gordon REBOUND (Off:1 Def:4),NYK
94,0:08,,,1,MISS Birch 20' Jump Shot,NYK
95,0:05,,,1,Noel REBOUND (Off:0 Def:2),ORL
96,0:00,,,1,MISS Quickley 14' Driving Floating Jump Shot,ORL
97,0:00,,,1,Noel REBOUND (Off:1 Def:2),ORL
98,0:00,13 - 19,6,1,,NYK
99,12:00,13 - 19,6,2,,NYK
100,11:45,15 - 19,4,2,Ross 3' Driving Layup (2 PTS) (Gordon 1 AST),NYK
101,11:28,,,2,Clark S.FOUL (P1.T1) (B.Barnaky),NYK
102,11:28,15 - 20,5,2,Knox II Free Throw 1 of 2 (1 PTS),ORL
103,11:28,15 - 21,6,2,Knox II Free Throw 2 of 2 (2 PTS),ORL
104,11:17,,,2,Rivers S.FOUL (P2.T1) (B.Barnaky),ORL
105,11:17,,,2,MISS Ross Free Throw 1 of 2,NYK
106,11:17,,,2,Magic Rebound,NYK
107,11:17,16 - 21,5,2,Ross Free Throw 2 of 2 (3 PTS),NYK
108,11:03,,,2,Ennis III P.FOUL (P1.T2) (S.Wright),NYK
109,11:03,16 - 22,6,2,Quickley Free Throw 1 of 2 (3 PTS),ORL
110,11:03,16 - 23,7,2,Quickley Free Throw 2 of 2 (4 PTS),ORL
111,10:51,18 - 23,5,2,Birch 8' Turnaround Jump Shot (2 PTS) (Gordon 2 AST),NYK
112,10:44,18 - 26,8,2,Quickley 25' 3PT Jump Shot (7 PTS),ORL
113,10:32,,,2,MISS Ross 12' Floating Jump Shot,NYK
114,10:30,,,2,Rivers REBOUND (Off:0 Def:3),ORL
115,10:12,,,2,MISS Rivers 7' Floating Jump Shot,ORL
116,10:10,,,2,Gordon REBOUND (Off:1 Def:5),NYK
117,10:05,,,2,MISS Clark 25' 3PT Pullup Jump Shot,NYK
118,10:03,,,2,Toppin REBOUND (Off:0 Def:1),ORL
119,9:58,,,2,MISS Knox II 25' 3PT Jump Shot,ORL
120,9:56,,,2,Gordon REBOUND (Off:1 Def:6),NYK
121,9:40,21 - 26,5,2,Ennis III  3PT Jump Shot (3 PTS) (Gordon 3 AST),NYK
122,9:30,21 - 28,7,2,Quickley 13' Floating Jump Shot (9 PTS),ORL
123,9:22,,,2,Gordon Out of Bounds - Bad Pass Turnover Turnover (P1.T3),NYK
124,9:04,,,2,MISS Knox II 26' 3PT Jump Shot,ORL
125,9:02,,,2,Ennis III REBOUND (Off:0 Def:1),NYK
126,8:54,,,2,Quickley S.FOUL (P2.T2) (S.Wright),ORL
127,8:54,,,2,SUB: Barrett FOR Knox II,ORL
128,8:54,,,2,MISS Birch Free Throw 1 of 2,NYK
129,8:54,,,2,Magic Rebound,NYK
130,8:54,22 - 28,6,2,Birch Free Throw 2 of 2 (3 PTS),NYK
131,8:41,,,2,Ennis III P.FOUL (P2.T3) (B.Barnaky),NYK
132,8:37,,,2,Birch STEAL (1 STL)Noel Lost Ball Turnover (P1.T1),ORL
133,8:22,,,2,Barrett P.FOUL (P1.T3) (B.Barnaky),ORL
134,8:22,,,2,SUB: Vucevic FOR Birch,NYK
135,8:22,,,2,SUB: Robinson FOR Noel,ORL
136,8:16,24 - 28,4,2,Vucevic 19' Jump Shot (11 PTS) (Ross 1 AST),NYK
137,8:00,24 - 30,6,2,Barrett 1' Driving Layup (8 PTS) (Toppin 1 AST),ORL
138,7:51,27 - 30,3,2,Gordon 25' 3PT Jump Shot (7 PTS),NYK
139,7:27,,,2,MISS Toppin 24' 3PT Jump Shot,ORL
140,7:25,,,2,Robinson REBOUND (Off:1 Def:1),ORL
141,7:23,27 - 32,5,2,Robinson 1' Dunk (2 PTS),ORL
142,7:12,,,2,MISS Gordon 3' Driving Layup,NYK
143,7:10,,,2,Gordon REBOUND (Off:2 Def:6),NYK
144,7:10,29 - 32,3,2,Gordon  Tip Layup Shot (9 PTS),NYK
145,6:59,,,2,Ennis III S.FOUL (P3.T4) (S.Wright),NYK
146,6:59,,,2,KNICKS Timeout: Regular (Full 2 Short 0),ORL
147,6:59,,,2,SUB: Randle FOR Toppin,ORL
148,6:59,,,2,SUB: Bone FOR Gordon,NYK
149,6:59,,,2,SUB: Bacon FOR Ennis III,NYK
150,6:59,,,2,MISS Rivers Free Throw 1 of 2,ORL
151,6:59,,,2,KNICKS Rebound,ORL
152,6:59,29 - 33,4,2,Rivers Free Throw 2 of 2 (1 PTS),ORL
153,6:42,,,2,MISS Clark 26' 3PT Jump Shot,NYK
154,6:40,,,2,Rivers REBOUND (Off:0 Def:4),ORL
155,6:34,,,2,MISS Rivers 2' Driving Reverse Layup,ORL
156,6:32,,,2,Ross REBOUND (Off:0 Def:2),NYK
157,6:21,31 - 33,2,2,Bone 4' Layup (2 PTS),NYK
158,6:01,,,2,MISS Quickley 26' 3PT Jump Shot,ORL
159,5:59,,,2,Robinson REBOUND (Off:2 Def:1),ORL
160,5:53,,,2,MISS Randle 25' 3PT Jump Shot,ORL
161,5:52,,,2,Vucevic REBOUND (Off:2 Def:6),NYK
162,5:45,,,2,MISS Vucevic 25' 3PT Jump Shot,NYK
163,5:43,,,2,Quickley REBOUND (Off:0 Def:1),ORL
164,5:32,31 - 35,4,2,Quickley 14' Driving Floating Jump Shot (11 PTS),ORL
165,5:22,,,2,Bone Out of Bounds - Bad Pass Turnover Turnover (P1.T4),NYK
166,5:22,,,2,SUB: Bullock FOR Rivers,ORL
167,5:22,,,2,SUB: Anthony FOR Ross,NYK
168,5:08,,,2,Bacon S.FOUL (P1.PN) (S.Wright),NYK
169,5:08,31 - 36,5,2,Barrett Free Throw 1 of 2 (9 PTS),ORL
170,5:08,31 - 37,6,2,Barrett Free Throw 2 of 2 (10 PTS),ORL
171,5:00,,,2,Robinson P.FOUL (P1.T4) (B.Barnaky),ORL
172,4:55,,,2,MISS Anthony 8' Driving Floating Jump Shot,NYK
173,4:54,,,2,KNICKS Rebound,ORL
174,4:30,,,2,MISS Quickley 16' Driving Floating Jump Shot,ORL
175,4:28,,,2,Vucevic REBOUND (Off:2 Def:7),NYK
176,4:20,,,2,Robinson S.FOUL (P2.PN) (M.Myers),ORL
177,4:20,,,2,SUB: Payton FOR Quickley,ORL
178,4:20,,,2,SUB: Ross FOR Clark,NYK
179,4:20,,,2,SUB: Birch FOR Bone,NYK
180,4:20,32 - 37,5,2,Vucevic Free Throw 1 of 2 (12 PTS),NYK
181,4:20,33 - 37,4,2,Vucevic Free Throw 2 of 2 (13 PTS),NYK
182,4:04,33 - 39,6,2,Randle 2' Driving Layup (5 PTS) (Barrett 2 AST),ORL
183,3:52,,,2,MISS Vucevic 26' 3PT Jump Shot,NYK
184,3:50,,,2,Barrett REBOUND (Off:0 Def:4),ORL
185,3:38,,,2,MISS Randle 1' Layup,ORL
186,3:36,,,2,Randle REBOUND (Off:1 Def:4),ORL
187,3:34,,,2,MISS Randle 2' Layup,ORL
188,3:32,,,2,Payton REBOUND (Off:1 Def:0),ORL
189,3:32,,,2,MISS Payton  Tip Layup Shot,ORL
190,3:30,,,2,Payton REBOUND (Off:2 Def:0),ORL
191,3:21,,,2,MISS Barrett 15' Pullup Jump Shot,ORL
192,3:19,,,2,Robinson REBOUND (Off:3 Def:1),ORL
193,3:18,,,2,MISS Robinson 1' Dunk,ORL
194,3:16,,,2,Anthony REBOUND (Off:0 Def:2),NYK
195,3:04,,,2,MISS Vucevic 2' Turnaround Hook Shot,NYK
196,3:03,,,2,Barrett REBOUND (Off:0 Def:5),ORL
197,3:03,,,2,Bacon P.FOUL (P2.PN) (S.Wright),NYK
198,3:03,,,2,SUB: Gordon FOR Bacon,NYK
199,3:03,33 - 40,7,2,Barrett Free Throw 1 of 2 (11 PTS),ORL
200,3:03,33 - 41,8,2,Barrett Free Throw 2 of 2 (12 PTS),ORL
201,2:49,36 - 41,5,2,Anthony 25' 3PT Jump Shot (3 PTS) (Ross 2 AST),NYK
202,2:27,36 - 44,8,2,Bullock 26' 3PT Jump Shot (5 PTS) (Payton 2 AST),ORL
203,2:09,,,2,MISS Ross 25' 3PT Jump Shot,NYK
204,2:07,,,2,Bullock REBOUND (Off:0 Def:1),ORL
205,1:50,,,2,MISS Randle 3' Layup,ORL
206,1:49,,,2,Magic Rebound,NYK
207,1:49,,,2,Randle L.B.FOUL (P1.PN) (M.Myers),ORL
208,1:49,,,2,Magic Timeout: Regular (Reg.2 Short 0),NYK
209,1:49,37 - 44,7,2,Birch Free Throw 1 of 2 (4 PTS),NYK
210,1:49,38 - 44,6,2,Birch Free Throw 2 of 2 (5 PTS),NYK
211,1:28,,,2,MISS Bullock 25' 3PT Jump Shot,ORL
212,1:26,,,2,Birch REBOUND (Off:0 Def:2),NYK
213,1:17,,,2,MISS Anthony 1' Driving Finger Roll Layup,NYK
214,1:16,,,2,KNICKS Rebound,ORL
215,0:52,,,2,Anthony STEAL (1 STL)Bullock Lost Ball Turnover (P1.T2),ORL
216,0:48,,,2,MISS Gordon 25' 3PT Jump Shot,NYK
217,0:46,,,2,Randle REBOUND (Off:1 Def:5),ORL
218,0:34,,,2,MISS Randle 5' Turnaround Jump Shot,ORL
219,0:33,,,2,Birch REBOUND (Off:0 Def:3),NYK
220,0:18,,,2,Gordon Bad Pass Turnover (P2.T5)Robinson STEAL (1 STL),ORL
221,0:00,38 - 47,9,2,Randle 25' 3PT Jump Shot (8 PTS) (Barrett 3 AST),ORL
222,0:00,38 - 47,9,2,,NYK
223,12:00,38 - 47,9,3,,NYK
224,11:35,,,3,Magic Turnover: Shot Clock (T#6),NYK
225,11:22,,,3,MISS Barrett 3' Driving Layup,ORL
226,11:20,,,3,Vucevic REBOUND (Off:2 Def:8),NYK
227,11:15,,,3,MISS Vucevic 25' 3PT Jump Shot,NYK
228,11:13,,,3,Randle REBOUND (Off:1 Def:6),ORL
229,11:03,,,3,Barrett Traveling Turnover (P1.T3),ORL
230,10:52,,,3,MISS Anthony 6' Driving Floating Jump Shot,NYK
231,10:51,,,3,Robinson REBOUND (Off:3 Def:2),ORL
232,10:37,38 - 49,11,3,Barrett 2' Driving Layup (14 PTS),ORL
233,10:20,,,3,MISS Vucevic 10' Turnaround Hook Shot,NYK
234,10:19,,,3,Barrett REBOUND (Off:0 Def:6),ORL
235,10:15,,,3,Barrett OFF.Foul (P2) (S.Wright),ORL
236,10:15,,,3,Barrett Offensive Foul Turnover (P2.T4),ORL
237,10:02,40 - 49,9,3,Ennis III 9' Turnaround Jump Shot (5 PTS),NYK
238,9:41,,,3,MISS Randle 5' Driving Layup,ORL
239,9:39,,,3,Anthony REBOUND (Off:0 Def:3),NYK
240,9:33,,,3,MISS Anthony 13' Jump Shot,NYK
241,9:31,,,3,Bullock REBOUND (Off:0 Def:2),ORL
242,9:22,,,3,Vucevic BLOCK (1 BLK)MISS Payton 10' Driving Floating Jump Shot,ORL
243,9:20,,,3,Ennis III REBOUND (Off:0 Def:2),NYK
244,9:16,42 - 49,7,3,Bacon 1' Cutting Dunk Shot (2 PTS) (Ennis III 1 AST),NYK
245,9:10,,,3,KNICKS Timeout: Regular (Full 3 Short 0),ORL
246,8:57,42 - 51,9,3,Robinson 3' Alley Oop Layup (4 PTS) (Bullock 2 AST),ORL
247,8:40,,,3,Randle P.FOUL (P2.T1) (B.Barnaky),ORL
248,8:39,,,3,Ennis III OFF.Foul (P4) (M.Myers),NYK
249,8:39,,,3,Ennis III Offensive Foul Turnover (P1.T7),NYK
250,8:16,,,3,MISS Bullock 35' 3PT Jump Shot,ORL
251,8:15,,,3,KNICKS Rebound,ORL
252,8:15,,,3,KNICKS Turnover: Shot Clock (T#5),ORL
253,7:54,45 - 51,6,3,Anthony 26' 3PT Jump Shot (6 PTS) (Gordon 4 AST),NYK
254,7:41,45 - 53,8,3,Payton 17' Pullup Jump Shot (8 PTS),ORL
255,7:17,47 - 53,6,3,Vucevic 16' Jump Shot (15 PTS),NYK
256,7:04,,,3,Ennis III STEAL (1 STL)Payton Bad Pass Turnover (P1.T6),ORL
257,7:02,,,3,Randle P.FOUL (P3.T2) (M.Myers),ORL
258,7:02,,,3,SUB: Birch FOR Gordon,NYK
259,6:56,,,3,MISS Anthony 15' Driving Floating Jump Shot,NYK
260,6:54,,,3,Randle REBOUND (Off:1 Def:7),ORL
261,6:43,47 - 56,9,3,Bullock 25' 3PT Jump Shot (8 PTS) (Payton 3 AST),ORL
262,6:25,49 - 56,7,3,Vucevic 16' Jump Shot (17 PTS) (Ennis III 2 AST),NYK
263,6:08,,,3,MISS Randle 18' Jump Shot,ORL
264,6:07,,,3,Vucevic REBOUND (Off:2 Def:9),NYK
265,5:54,,,3,Anthony Bad Pass Turnover (P1.T8)Payton STEAL (1 STL),ORL
266,5:51,,,3,MISS Randle 4' Running Jump Shot,ORL
267,5:50,,,3,Randle REBOUND (Off:2 Def:7),ORL
268,5:49,,,3,Anthony S.FOUL (P2.T1) (M.Myers),NYK
269,5:49,49 - 57,8,3,Randle Free Throw 1 of 2 (9 PTS),ORL
270,5:49,49 - 58,9,3,Randle Free Throw 2 of 2 (10 PTS),ORL
271,5:25,,,3,MISS Ennis III 3' Driving LayupBarrett BLOCK (1 BLK),ORL
272,5:24,,,3,KNICKS Rebound,ORL
273,5:24,,,3,SUB: Ross FOR Ennis III,NYK
274,5:14,,,3,MISS Bullock 14' Pullup Jump Shot,ORL
275,5:13,,,3,Magic Rebound,NYK
276,4:59,,,3,MISS Bacon 24' 3PT Jump Shot,NYK
277,4:57,,,3,Robinson REBOUND (Off:3 Def:3),ORL
278,4:46,,,3,MISS Bullock  3PT Jump Shot,ORL
279,4:44,,,3,Anthony REBOUND (Off:0 Def:4),NYK
280,4:32,,,3,MISS Anthony 26' 3PT Jump Shot,NYK
281,4:30,,,3,Barrett REBOUND (Off:0 Def:7),ORL
282,4:21,,,3,MISS Barrett 15' Step Back Jump Shot,ORL
283,4:20,,,3,Robinson REBOUND (Off:4 Def:3),ORL
284,4:19,,,3,Anthony S.FOUL (P3.T2) (S.Wright),NYK
285,4:19,,,3,SUB: Rivers FOR Bullock,ORL
286,4:19,,,3,SUB: Bone FOR Anthony,NYK
287,4:19,,,3,MISS Robinson Free Throw 1 of 2,ORL
288,4:19,,,3,KNICKS Rebound,ORL
289,4:19,49 - 59,10,3,Robinson Free Throw 2 of 2 (5 PTS),ORL
290,4:07,,,3,MISS Ross 13' Floating Jump Shot,NYK
291,4:05,,,3,Randle REBOUND (Off:2 Def:8),ORL
292,4:01,,,3,Vucevic S.FOUL (P1.T3) (B.Barnaky),NYK
293,4:01,,,3,SUB: Clark FOR Vucevic,NYK
294,4:01,,,3,MISS Randle Free Throw 1 of 2,ORL
295,4:01,,,3,KNICKS Rebound,ORL
296,4:01,,,3,MISS Randle Free Throw 2 of 2,ORL
297,3:59,,,3,Birch REBOUND (Off:0 Def:4),NYK
298,3:41,,,3,MISS Ross 19' Pullup Jump Shot,NYK
299,3:40,,,3,Randle REBOUND (Off:2 Def:9),ORL
300,3:39,,,3,Ross Personal Take Foul (P2.T4) (B.Barnaky),NYK
301,3:31,,,3,Ross S.FOUL (P3.PN) (M.Myers),NYK
302,3:31,,,3,MISS Robinson Free Throw 1 of 2,ORL
303,3:31,,,3,KNICKS Rebound,ORL
304,3:31,49 - 60,11,3,Robinson Free Throw 2 of 2 (6 PTS),ORL
305,3:18,,,3,MISS Bacon 25' 3PT Step Back Jump Shot,NYK
306,3:16,,,3,Rivers REBOUND (Off:0 Def:5),ORL
307,3:10,,,3,MISS Rivers 25' 3PT Jump Shot,ORL
308,3:08,,,3,Robinson REBOUND (Off:5 Def:3),ORL
309,3:05,,,3,Clark BLOCK (1 BLK)MISS Robinson 5' Layup,ORL
310,3:03,,,3,Randle REBOUND (Off:3 Def:9),ORL
311,3:00,,,3,MISS Barrett  3PT Jump Shot,ORL
312,2:58,,,3,Clark REBOUND (Off:0 Def:1),NYK
313,2:43,,,3,MISS Ross 22' Pullup Jump Shot,NYK
314,2:41,,,3,Randle REBOUND (Off:3 Def:10),ORL
315,2:29,49 - 62,13,3,Payton 1' Driving Dunk (10 PTS),ORL
316,2:25,,,3,Magic Timeout: Regular (Reg.3 Short 0),NYK
317,2:25,,,3,SUB: Noel FOR Robinson,ORL
318,2:25,,,3,SUB: Gordon FOR Bacon,NYK
319,2:16,,,3,Ross Backcourt Turnover (P2.T9),NYK
320,2:16,,,3,Ross T.FOUL (P3.PN) (S.Wright),NYK
321,2:16,,,3,MISS Randle Free Throw Technical,ORL
322,2:16,,,3,KNICKS Rebound,ORL
323,1:59,,,3,Birch STEAL (2 STL)Barrett Bad Pass Turnover (P3.T7),ORL
324,1:48,,,3,MISS Gordon 3' Driving LayupNoel BLOCK (1 BLK),ORL
325,1:46,,,3,Gordon REBOUND (Off:3 Def:6),NYK
326,1:43,51 - 62,11,3,Gordon 1' Dunk (11 PTS),NYK
327,1:34,51 - 64,13,3,Barrett 1' Driving Layup (16 PTS),ORL
328,1:18,,,3,Gordon Bad Pass Turnover (P3.T10)Payton STEAL (2 STL),ORL
329,1:14,51 - 66,15,3,Randle  Cutting Layup Shot (12 PTS) (Payton 4 AST),ORL
330,1:02,,,3,Ross Lost Ball Turnover (P3.T11)Noel STEAL (1 STL),ORL
331,0:57,,,3,Ross BLOCK (1 BLK)MISS Randle 2' Alley Oop Layup,ORL
332,0:55,,,3,Birch REBOUND (Off:0 Def:5),NYK
333,0:44,,,3,MISS Clark 26' 3PT Jump Shot,NYK
334,0:42,,,3,Birch REBOUND (Off:1 Def:5),NYK
335,0:36,,,3,MISS Ross 25' 3PT Jump Shot,NYK
336,0:34,,,3,Gordon REBOUND (Off:4 Def:6),NYK
