,Unnamed: 0,Ponto,diferenca_placar_casa,Quarto,Indicador,Nome,Tempo
0,0,,,1,,DAL,0
1,1,,,1,Jump Ball Ibaka vs. Powell: Tip to Kennard,LAC,0
2,2,0 - 2,2,1,George 19' Step Back Jump Shot (2 PTS),LAC,19
3,3,2 - 2,TIE,1,Doncic 3' Floating Jump Shot (2 PTS),DAL,36
4,4,,,1,MISS Kennard 16' Pullup Jump Shot,LAC,48
5,5,,,1,Hardaway Jr. REBOUND (Off:0 Def:1),DAL,51
6,6,,,1,MISS Hardaway Jr. 2' Running Layup,DAL,56
7,7,,,1,Kennard REBOUND (Off:0 Def:1),LAC,58
8,8,,,1,MISS Ibaka 28' 3PT Running Pull-Up Jump Shot,LAC,62
9,9,,,1,Doncic REBOUND (Off:0 Def:1),DAL,68
10,10,,,1,MISS Doncic 10' Pullup Jump Shot,DAL,73
11,11,,,1,Ibaka REBOUND (Off:0 Def:1),LAC,76
12,12,,,1,Doncic STEAL (1 STL)George Bad Pass Turnover (P1.T1),LAC,86
13,13,4 - 2,-2,1,Richardson 6' Jump Shot (2 PTS) (Doncic 1 AST),DAL,94
14,14,,,1,Batum S.FOUL (P1.T1) (M.Davis),LAC,94
15,15,5 - 2,-3,1,Richardson Free Throw 1 of 1 (3 PTS),DAL,94
16,16,,,1,MISS Batum 26' 3PT Jump Shot,LAC,110
17,17,,,1,Finney-Smith REBOUND (Off:0 Def:1),DAL,112
18,18,7 - 2,-5,1,Powell 2' Alley Oop Dunk (2 PTS) (Doncic 2 AST),DAL,123
19,19,,,1,Powell STEAL (1 STL)George Bad Pass Turnover (P2.T2),LAC,139
20,20,9 - 2,-7,1,Doncic 1' Running Layup (4 PTS) (Richardson 1 AST),DAL,142
21,21,,,1,Beverley S.FOUL (P1.T2) (N.Green),LAC,142
22,22,,,1,CLIPPERS Timeout: Regular (Full 1 Short 0),LAC,142
23,23,10 - 2,-8,1,Doncic Free Throw 1 of 1 (5 PTS),DAL,142
24,24,,,1,MISS Kennard 25' 3PT Jump Shot,LAC,168
25,25,,,1,Doncic REBOUND (Off:0 Def:2),DAL,169
26,26,,,1,MISS Richardson 27' 3PT Jump Shot,DAL,185
27,27,,,1,Ibaka REBOUND (Off:0 Def:2),LAC,187
28,28,,,1,MISS George 17' Jump Shot,LAC,198
29,29,,,1,Doncic REBOUND (Off:0 Def:3),DAL,201
30,30,,,1,MISS Doncic 29' 3PT Step Back Jump Shot,DAL,211
31,31,,,1,Powell REBOUND (Off:1 Def:0),DAL,215
32,32,,,1,Powell Out of Bounds - Bad Pass Turnover Turnover (P1.T1),DAL,215
33,33,10 - 4,-6,1,George 3' Driving Reverse Layup (4 PTS),LAC,229
34,34,,,1,MISS Hardaway Jr. 26' 3PT Step Back Jump Shot,DAL,249
35,35,,,1,Ibaka REBOUND (Off:0 Def:3),LAC,252
36,36,,,1,MISS George 25' 3PT Jump Shot,LAC,267
37,37,,,1,Hardaway Jr. REBOUND (Off:0 Def:2),DAL,271
38,38,13 - 4,-9,1,Finney-Smith 26' 3PT Jump Shot (3 PTS),DAL,283
39,39,,,1,MISS Kennard 27' 3PT Jump Shot,LAC,302
40,40,,,1,Doncic REBOUND (Off:0 Def:4),DAL,305
41,41,,,1,MISS Doncic 3' Driving Layup,DAL,310
42,42,,,1,Ibaka REBOUND (Off:0 Def:4),LAC,313
43,43,,,1,Powell S.FOUL (P1.T1) (D.Collins),DAL,324
44,44,,,1,MISS George Free Throw 1 of 2,LAC,324
45,45,,,1,CLIPPERS Rebound,LAC,324
46,46,,,1,SUB: Burke FOR Hardaway Jr.,DAL,324
47,47,,,1,SUB: Kleber FOR Powell,DAL,324
48,48,13 - 5,-8,1,George Free Throw 2 of 2 (5 PTS),LAC,324
49,49,,,1,MISS Burke  3PT Jump Shot,DAL,344
50,50,,,1,Ibaka REBOUND (Off:0 Def:5),LAC,348
51,51,,,1,MISS Ibaka 7' Hook Shot,LAC,358
52,52,,,1,Kleber REBOUND (Off:0 Def:1),DAL,360
53,53,16 - 5,-11,1,Kleber 25' 3PT Jump Shot (3 PTS) (Doncic 3 AST),DAL,370
54,54,,,1,MISS George 27' 3PT Jump Shot,LAC,385
55,55,,,1,Doncic REBOUND (Off:0 Def:5),DAL,387
56,56,,,1,Ibaka P.FOUL (P1.T3) (M.Davis),LAC,391
57,57,,,1,SUB: Zubac FOR Ibaka,LAC,391
58,58,,,1,SUB: Williams FOR Kennard,LAC,391
59,59,,,1,SUB: Cauley-Stein FOR Finney-Smith,DAL,391
60,60,,,1,MISS Doncic 27' 3PT Jump Shot,DAL,398
61,61,,,1,Beverley REBOUND (Off:0 Def:1),LAC,403
62,62,,,1,MISS George 26' 3PT Jump Shot,LAC,407
63,63,,,1,Kleber REBOUND (Off:0 Def:2),DAL,409
64,64,,,1,MISS Richardson  3PT Jump Shot,DAL,415
65,65,,,1,Cauley-Stein REBOUND (Off:1 Def:0),DAL,421
66,66,18 - 5,-13,1,Richardson 1' Driving Layup (5 PTS) (Doncic 4 AST),DAL,428
67,67,,,1,MISS Zubac 6' Hook Shot,LAC,447
68,68,,,1,Kleber REBOUND (Off:0 Def:3),DAL,448
69,69,,,1,George S.FOUL (P1.T4) (N.Green),LAC,456
70,70,19 - 5,-14,1,Doncic Free Throw 1 of 2 (6 PTS),DAL,456
71,71,,,1,SUB: Jackson FOR Beverley,LAC,456
72,72,20 - 5,-15,1,Doncic Free Throw 2 of 2 (7 PTS),DAL,456
73,73,,,1,Cauley-Stein BLOCK (1 BLK)MISS Williams 3' Driving Finger Roll Layup,LAC,477
74,74,,,1,Doncic REBOUND (Off:0 Def:6),DAL,480
75,75,,,1,MISS Kleber 28' 3PT Jump Shot,DAL,483
76,76,,,1,Cauley-Stein REBOUND (Off:2 Def:0),DAL,487
77,77,,,1,MISS Cauley-Stein 1' Putback Layup,DAL,487
78,78,,,1,Mavericks Rebound,DAL,487
79,79,,,1,Mavericks Timeout: Regular (Reg.1 Short 0),DAL,487
80,80,22 - 5,-17,1,Richardson 21' Step Back Jump Shot (7 PTS) (Cauley-Stein 1 AST),DAL,500
81,81,22 - 5,-17,1,,DAL,500
82,82,,,1,Burke STEAL (1 STL)Batum Bad Pass Turnover (P1.T3),LAC,510
83,83,25 - 5,-20,1,Richardson 28' 3PT Jump Shot (10 PTS) (Burke 1 AST),DAL,517
84,84,,,1,Kleber S.FOUL (P1.T2) (N.Green),DAL,530
85,85,25 - 6,-19,1,George Free Throw 1 of 2 (6 PTS),LAC,530
86,86,,,1,SUB: Patterson FOR Batum,LAC,530
87,87,25 - 7,-18,1,George Free Throw 2 of 2 (7 PTS),LAC,530
88,88,27 - 7,-20,1,Burke 10' Step Back Jump Shot (2 PTS),DAL,541
89,89,,,1,MISS Williams 18' Pullup Jump Shot,LAC,552
90,90,,,1,Cauley-Stein REBOUND (Off:2 Def:1),DAL,554
91,91,,,1,MISS Doncic 8' Floating Jump Shot,DAL,562
92,92,,,1,Richardson REBOUND (Off:1 Def:0),DAL,565
93,93,,,1,MISS Richardson 3' Putback Layup,DAL,566
94,94,,,1,Patterson REBOUND (Off:0 Def:1),LAC,568
95,95,,,1,Kleber BLOCK (1 BLK)MISS Williams 2' Layup,LAC,577
96,96,,,1,Williams REBOUND (Off:1 Def:0),LAC,580
97,97,,,1,MISS George 4' Layup,LAC,586
98,98,,,1,Zubac REBOUND (Off:1 Def:0),LAC,592
