,Tempo,Ponto,diferenca_placar_casa,Quarto,Indicador,Nome
0,12:00,,,1,,BKN
1,12:00,,,1,Jump Ball Lopez vs. Jordan: Tip to Irving,WAS
2,11:44,,,1,MISS Durant 14' Turnaround Jump Shot,BKN
3,11:37,,,1,Westbrook REBOUND (Off:0 Def:1),WAS
4,11:33,,,1,MISS Avdija 26' 3PT Jump Shot,WAS
5,11:29,,,1,Brown REBOUND (Off:0 Def:1),BKN
6,11:21,3 - 0,-3,1,Durant 28' 3PT Jump Shot (3 PTS) (Jordan 1 AST),BKN
7,11:08,,,1,Jordan P.FOUL (P1.T1) (J.Goble),BKN
8,10:59,,,1,MISS Hachimura 16' Jump Shot,WAS
9,10:55,,,1,Brown REBOUND (Off:0 Def:2),BKN
10,10:47,,,1,MISS Harris 25' 3PT Jump Shot,BKN
11,10:45,,,1,WIZARDS Rebound,WAS
12,10:36,,,1,Brown S.FOUL (P1.T2) (J.Goble),BKN
13,10:36,3 - 1,-2,1,Beal Free Throw 1 of 2 (1 PTS),WAS
14,10:36,3 - 2,-1,1,Beal Free Throw 2 of 2 (2 PTS),WAS
15,10:22,6 - 2,-4,1,Harris 27' 3PT Jump Shot (3 PTS) (Durant 1 AST),BKN
16,10:09,,,1,MISS Westbrook 5' Driving Layup,WAS
17,10:07,,,1,Westbrook REBOUND (Off:1 Def:1),WAS
18,10:06,6 - 4,-2,1,Westbrook  Putback Layup (2 PTS),WAS
19,9:51,,,1,MISS Irving 6' Layup,BKN
20,9:51,,,1,Jordan REBOUND (Off:1 Def:0),BKN
21,9:44,,,1,MISS Jordan  Tip Layup Shot,BKN
22,9:44,,,1,Jordan REBOUND (Off:2 Def:0),BKN
23,9:42,8 - 4,-4,1,Jordan  Tip Layup Shot (2 PTS),BKN
24,9:34,,,1,Brown STEAL (1 STL)Beal Bad Pass Turnover (P1.T1),WAS
25,9:31,11 - 4,-7,1,Harris 28' 3PT Pullup Jump Shot (6 PTS) (Brown 1 AST),BKN
26,9:12,,,1,MISS Hachimura 17' Pullup Jump Shot,WAS
27,9:09,,,1,Jordan REBOUND (Off:2 Def:1),BKN
28,8:57,14 - 4,-10,1,Durant 27' 3PT Jump Shot (6 PTS) (Irving 1 AST),BKN
29,8:56,,,1,WIZARDS Timeout: Regular (Full 1 Short 0),WAS
30,8:45,,,1,MISS Hachimura  3PT Jump Shot,WAS
31,8:39,,,1,Westbrook REBOUND (Off:2 Def:1),WAS
32,8:37,,,1,Irving S.FOUL (P1.T3) (E.Scott),BKN
33,8:37,14 - 5,-9,1,Westbrook Free Throw 1 of 2 (3 PTS),WAS
34,8:37,,,1,MISS Westbrook Free Throw 2 of 2,WAS
35,8:33,,,1,Durant REBOUND (Off:0 Def:1),BKN
36,8:19,,,1,MISS Harris 29' 3PT Jump Shot,BKN
37,8:15,,,1,Brown REBOUND (Off:1 Def:2),BKN
38,8:05,16 - 5,-11,1,Jordan 6' Cutting Dunk Shot (4 PTS) (Durant 2 AST),BKN
39,7:52,,,1,Jordan BLOCK (1 BLK)MISS Westbrook 5' Layup,WAS
40,7:49,,,1,Durant REBOUND (Off:0 Def:2),BKN
41,7:47,19 - 5,-14,1,Harris 28' 3PT Jump Shot (9 PTS) (Durant 3 AST),BKN
42,7:45,,,1,WIZARDS Timeout: Regular (Full 2 Short 0),WAS
43,7:45,,,1,SUB: Bertans FOR Avdija,WAS
44,7:45,,,1,SUB: Mathews FOR Hachimura,WAS
45,7:34,,,1,MISS Bertans 28' 3PT Jump Shot,WAS
46,7:28,,,1,Nets Rebound,BKN
47,7:15,,,1,Jordan Out of Bounds - Bad Pass Turnover Turnover (P1.T1),BKN
48,7:15,,,1,SUB: Smith FOR Westbrook,WAS
49,7:15,,,1,SUB: Len FOR Lopez,WAS
50,7:08,19 - 7,-12,1,Smith 2' Running Layup (2 PTS),WAS
51,6:54,21 - 7,-14,1,Durant 16' Turnaround Fadeaway (8 PTS),BKN
52,6:35,,,1,MISS Bertans 24' 3PT Jump Shot,WAS
53,6:31,,,1,Brown REBOUND (Off:1 Def:3),BKN
54,6:23,,,1,Durant Bad Pass Turnover (P1.T2)Smith STEAL (1 STL),WAS
55,6:15,,,1,MISS Len  3PT Jump Shot,WAS
56,6:15,,,1,Nets Rebound,BKN
57,6:15,,,1,Len P.FOUL (P1.T1) (J.Goble),WAS
58,6:15,,,1,SUB: Green FOR Jordan,BKN
59,6:03,,,1,MISS Irving 12' Floating Jump Shot,BKN
60,6:01,,,1,WIZARDS Rebound,WAS
61,5:43,21 - 9,-12,1,Smith 19' Pullup Jump Shot (4 PTS) (Beal 1 AST),WAS
62,5:27,,,1,Mathews P.FOUL (P1.T2) (E.Scott),WAS
63,5:27,,,1,SUB: Luwawu-Cabarrot FOR Brown,BKN
64,5:21,,,1,MISS Irving 13' Turnaround Fadeaway Shot,BKN
65,5:18,,,1,Green REBOUND (Off:1 Def:0),BKN
66,5:14,,,1,MISS Green 27' 3PT Jump Shot,BKN
67,5:11,,,1,Smith REBOUND (Off:0 Def:1),WAS
68,5:05,,,1,MISS Mathews 27' 3PT Jump Shot,WAS
69,5:00,,,1,Irving REBOUND (Off:0 Def:1),BKN
70,4:54,23 - 9,-14,1,Green 6' Driving Dunk (2 PTS) (Luwawu-Cabarrot 1 AST),BKN
71,4:33,23 - 11,-12,1,Len 4' Dunk (2 PTS) (Smith 1 AST),WAS
72,4:25,25 - 11,-14,1,Irving 4' Driving Layup (2 PTS),BKN
73,4:16,25 - 13,-12,1,Bertans 3' Driving Layup (2 PTS) (Smith 2 AST),WAS
74,4:07,,,1,Green Offensive Charge Foul (P1.T4) (J.Goble),BKN
75,4:07,,,1,Green Offensive Foul Turnover (P1.T3),BKN
76,4:07,,,1,SUB: Shamet FOR Harris,BKN
77,4:07,,,1,,BKN
78,4:07,26 - 13,-13,1,Irving Free Throw Technical (3 PTS),BKN
79,3:55,,,1,Shamet STEAL (1 STL)Len Bad Pass Turnover (P1.T2),WAS
80,3:45,29 - 13,-16,1,Luwawu-Cabarrot  3PT Jump Shot (3 PTS) (Irving 2 AST),BKN
81,3:29,,,1,MISS Bertans 24' 3PT Jump Shot,WAS
82,3:27,,,1,Durant REBOUND (Off:0 Def:3),BKN
83,3:19,,,1,MISS Durant 19' Pullup Jump Shot,BKN
84,3:15,,,1,Smith REBOUND (Off:0 Def:2),WAS
85,3:08,,,1,Green BLOCK (1 BLK)MISS Len 6' Driving Layup,WAS
86,3:05,,,1,Green REBOUND (Off:1 Def:1),BKN
87,2:58,31 - 13,-18,1,Irving 15' Fadeaway Jumper (5 PTS),BKN
88,2:56,,,1,WIZARDS Timeout: Regular (Full 3 Short 0),WAS
89,2:56,,,1,SUB: Westbrook FOR Beal,WAS
90,2:56,,,1,SUB: Wagner FOR Len,WAS
91,2:41,31 - 16,-15,1,Westbrook 26' 3PT Jump Shot (6 PTS) (Smith 3 AST),WAS
92,2:20,,,1,Wagner S.FOUL (P1.T3) (J.Goble),WAS
93,2:20,32 - 16,-16,1,Shamet Free Throw 1 of 2 (1 PTS),BKN
94,2:20,33 - 16,-17,1,Shamet Free Throw 2 of 2 (2 PTS),BKN
95,2:20,,,1,SUB: Perry FOR Durant,BKN
96,2:07,33 - 18,-15,1,Westbrook 1' Layup (8 PTS),WAS
97,1:58,,,1,MISS Perry 28' 3PT Jump Shot,BKN
98,1:51,,,1,Wagner REBOUND (Off:0 Def:1),WAS
99,1:45,,,1,MISS Bertans 27' 3PT Jump Shot,WAS
100,1:41,,,1,Green REBOUND (Off:1 Def:2),BKN
101,1:39,,,1,Perry Offensive Charge Foul (P1.PN) (E.Scott),BKN
102,1:39,,,1,Perry Offensive Foul Turnover (P1.T4),BKN
103,1:27,,,1,Green STEAL (1 STL)Westbrook Lost Ball Turnover (P1.T3),WAS
104,1:27,,,1,Luwawu-Cabarrot Lost Ball Turnover (P1.T5)Mathews STEAL (1 STL),WAS
105,1:20,33 - 20,-13,1,Mathews 1' Layup (2 PTS),WAS
106,1:03,,,1,MISS Irving 9' Jump Shot,BKN
107,0:57,,,1,Bertans REBOUND (Off:0 Def:1),WAS
108,0:55,,,1,Shamet BLOCK (1 BLK)MISS Smith 4' Layup,WAS
109,0:55,,,1,WIZARDS Rebound,WAS
110,0:50,33 - 23,-10,1,Westbrook  3PT Jump Shot (11 PTS),WAS
111,0:39,36 - 23,-13,1,Shamet 30' 3PT Jump Shot (5 PTS) (Irving 3 AST),BKN
112,0:26,36 - 25,-11,1,Smith 11' Pullup Jump Shot (6 PTS),WAS
113,0:04,38 - 25,-13,1,Green 14' Hook Shot (4 PTS),BKN
114,0:00,38 - 28,-10,1,Bertans 28' 3PT Running Pull-Up Jump Shot (5 PTS),WAS
115,0:00,38 - 28,-10,1,,BKN
116,12:00,38 - 28,-10,2,,BKN
117,11:48,,,2,Perry S.FOUL (P2.T1) (J.Goble),BKN
118,11:48,38 - 29,-9,2,Wagner Free Throw 1 of 2 (1 PTS),WAS
119,11:48,,,2,MISS Wagner Free Throw 2 of 2,WAS
120,11:46,,,2,Perry REBOUND (Off:0 Def:1),BKN
121,11:34,,,2,MISS Harris 27' 3PT Jump Shot,BKN
122,11:31,,,2,Wagner REBOUND (Off:0 Def:2),WAS
123,11:25,,,2,MISS Bertans 27' 3PT Jump Shot,WAS
124,11:23,,,2,WIZARDS Rebound,WAS
125,11:23,,,2,Perry P.FOUL (P3.T2) (G.Petraitis),BKN
126,11:23,,,2,SUB: Hachimura FOR Bertans,WAS
127,11:15,,,2,MISS Westbrook 20' Pullup Jump Shot,WAS
128,11:12,,,2,Johnson REBOUND (Off:0 Def:1),BKN
129,11:06,,,2,Johnson Bad Pass Turnover (P1.T6)Mathews STEAL (2 STL),WAS
130,11:00,,,2,Green P.FOUL (P2.T3) (G.Petraitis),BKN
