,Time,posse,Tempo_de_posse,Ataques/min,2_Pts_C,2_Pts_E,2_Pts_T,3_Pts_C,3_Pts_E,3_Pts_T,LL_Pts_C,LL_Pts_E,LL_Pts_T,%2_Pts_C,%2_Pts_E,%3_Pts_C,%3_Pts_E,%LL_Pts_C,%LL_Pts_E
0,FRA,86,18,4.78,17.0,16.0,33.0,13.0,14.0,27.0,6.0,2.0,8.0,20,19,15,16,7,2
1,BSB,85,22,3.86,15.0,17.0,32.0,15.0,19.0,34.0,7.0,2.0,9.0,18,20,18,22,8,2
0,BSB,91,23,3.96,15.0,13.0,28.0,15.0,13.0,28.0,7.0,8.0,15.0,16,14,16,14,8,9
1,PAT,91,22,4.14,25.0,9.0,34.0,8.0,17.0,25.0,11.0,5.0,16.0,27,10,9,19,12,5
0,CMO,76,20,3.8,24.0,8.0,32.0,11.0,13.0,24.0,4.0,4.0,8.0,32,11,14,17,5,5
1,BSB,76,20,3.8,15.0,9.0,24.0,12.0,14.0,26.0,6.0,3.0,9.0,20,12,16,18,8,4
0,CER,79,20,3.95,26.0,6.0,32.0,6.0,11.0,17.0,12.0,5.0,17.0,33,8,8,14,15,6
1,BSB,79,20,3.95,16.0,14.0,30.0,8.0,11.0,19.0,15.0,1.0,16.0,20,18,10,14,19,1
0,BSB,77,20,3.85,20.0,15.0,35.0,9.0,15.0,24.0,8.0,1.0,9.0,26,19,12,19,10,1
1,MOG,77,20,3.85,16.0,14.0,30.0,12.0,11.0,23.0,9.0,0.0,9.0,21,18,16,14,12,0
0,PAT,74,20,3.7,21.0,8.0,29.0,12.0,12.0,24.0,5.0,2.0,7.0,28,11,16,16,7,3
1,BSB,74,20,3.7,10.0,12.0,22.0,11.0,19.0,30.0,10.0,2.0,12.0,14,16,15,26,14,3
0,BSB,73,23,3.17,11.0,15.0,26.0,10.0,15.0,25.0,10.0,2.0,12.0,15,21,14,21,14,3
1,MIN,72,17,4.24,24.0,15.0,39.0,8.0,8.0,16.0,11.0,2.0,13.0,33,21,11,11,15,3
0,BSB,80,21,3.81,23.0,9.0,32.0,6.0,9.0,15.0,9.0,4.0,13.0,29,11,8,11,11,5
1,UFC,79,19,4.16,24.0,12.0,36.0,12.0,14.0,26.0,6.0,2.0,8.0,30,15,15,18,8,3
0,BSB,68,19,3.58,13.0,17.0,30.0,7.0,14.0,21.0,4.0,0.0,4.0,19,25,10,21,6,0
1,CAP,68,21,3.24,14.0,17.0,31.0,11.0,9.0,20.0,7.0,0.0,7.0,21,25,16,13,10,0
0,BSB,77,20,3.85,16.0,9.0,25.0,9.0,12.0,21.0,13.0,2.0,15.0,21,12,12,16,17,3
1,FOR,77,19,4.05,19.0,13.0,32.0,6.0,23.0,29.0,4.0,1.0,5.0,25,17,8,30,5,1
0,BSB,71,17,4.18,15.0,14.0,29.0,9.0,15.0,24.0,5.0,1.0,6.0,21,20,13,21,7,1
1,CER,71,23,3.09,14.0,17.0,31.0,13.0,12.0,25.0,7.0,0.0,7.0,20,24,18,17,10,0
0,BAU,75,19,3.95,20.0,12.0,32.0,12.0,12.0,24.0,6.0,0.0,6.0,27,16,16,16,8,0
1,BSB,76,21,3.62,13.0,9.0,22.0,8.0,13.0,21.0,9.0,5.0,14.0,17,12,11,17,12,7
0,CAX,69,20,3.45,16.0,12.0,28.0,12.0,6.0,18.0,5.0,4.0,9.0,23,17,17,9,7,6
1,BSB,70,19,3.68,18.0,12.0,30.0,6.0,14.0,20.0,6.0,2.0,8.0,26,17,9,20,9,3
0,BSB,70,21,3.33,19.0,8.0,27.0,10.0,8.0,18.0,9.0,2.0,11.0,27,11,14,11,13,3
1,PIN,71,19,3.74,16.0,15.0,31.0,11.0,9.0,20.0,5.0,1.0,6.0,23,21,15,13,7,1
0,BSB,72,21,3.43,12.0,20.0,32.0,8.0,11.0,19.0,10.0,2.0,12.0,17,28,11,15,14,3
1,COR,72,19,3.79,13.0,10.0,23.0,11.0,18.0,29.0,9.0,2.0,11.0,18,14,15,25,12,3
0,MIN,89,21,4.24,24.0,9.0,33.0,7.0,13.0,20.0,15.0,1.0,16.0,27,10,8,15,17,1
1,BSB,89,24,3.71,11.0,9.0,20.0,16.0,17.0,33.0,14.0,2.0,16.0,12,10,18,19,16,2
0,UFC,73,20,3.65,28.0,10.0,38.0,9.0,10.0,19.0,4.0,0.0,4.0,38,14,12,14,5,0
1,BSB,73,20,3.65,11.0,12.0,23.0,9.0,15.0,24.0,11.0,1.0,12.0,15,16,12,21,15,1
0,FOR,76,20,3.8,12.0,18.0,30.0,9.0,11.0,20.0,9.0,1.0,10.0,16,24,12,14,12,1
1,BSB,76,19,4.0,16.0,11.0,27.0,7.0,14.0,21.0,5.0,4.0,9.0,21,14,9,18,7,5
0,BSB,81,20,4.05,16.0,14.0,30.0,11.0,16.0,27.0,6.0,2.0,8.0,20,17,14,20,7,2
1,SPF,81,19,4.26,27.0,10.0,37.0,10.0,18.0,28.0,8.0,0.0,8.0,33,12,12,22,10,0
